N	3gram	Ircho_Kome	Literetu
1	в то же	11	21
2	то же время	11	21
3	в том что	15	21
4	по отношению к	4	12
5	с одной стороны	4	12
6	в отличие от	3	11
7	состоит в том	2	11
8	в конечном счете	2	10
9	о том что	7	10
10	так или иначе	3	10
11	в этом отношении	2	10
12	с точки зрения	6	8
13	не говоря уже	2	8
14	с другой стороны	2	7
15	говоря уже о	2	6
16	в том числе	2	6
17	к тому же	9	6
18	едва ли не	4	6
19	тем не менее	3	5
20	в связи с	3	5
21	бы то ни	3	4
22	то ни было	3	4
23	и т п	4	3
24	во всяком случае	3	3
25	то же самое	3	3
26	в самом деле	13	3
27	одной стороны и	2	3
28	речь идет о	3	3
29	том числе и	2	3
30	в том же	2	3
31	в свою очередь	10	3
32	в первой половине	2	2
33	для того чтобы	8	2
34	на мой взгляд	2	2
35	что он в	2	2
36	в этой связи	3	2
37	берет на себя	2	2
38	чуть ли не	2	2
39	и в самом	7	2
40	в этом случае	2	2
41	вместе с тем	5	2
42	до тех пор	5	2
43	по отношению ко	2	2
