N	2gram	Tiupa_Anal	Mirosoze
1	и в	36	97
2	может быть	19	64
3	не только	40	63
4	в этом	19	55
5	но и	26	54
6	он не	9	53
7	а не	16	53
8	в нем	3	49
9	не может	3	49
10	у него	2	47
11	и не	14	39
12	никогда не	7	38
13	в ней	2	37
14	не было	3	36
15	не в	9	34
16	для него	8	31
17	человека в	3	30
18	не есть	6	30
19	прежде всего	7	29
20	как и	27	29
21	но в	8	27
22	и он	4	27
23	в мире	17	27
24	человека и	2	26
25	в своей	12	25
26	он был	3	25
27	и все	3	24
28	в своем	7	23
29	ведет к	2	23
30	что в	15	23
31	что он	5	22
32	в самом	7	21
33	в себе	7	20
34	отношение к	2	20
35	как бы	14	19
36	в его	12	18
37	и потому	3	17
38	того что	4	17
39	любви к	2	17
40	в том	16	16
41	том что	19	16
42	то что	5	16
43	было бы	6	16
44	и его	18	16
45	в этой	10	15
46	не знает	2	15
47	в конце	6	14
48	она не	3	14
49	в глубине	3	14
50	и вот	2	13
51	и на	5	13
52	это не	4	12
53	в них	4	12
54	все это	5	12
55	от свободы	2	12
56	но не	13	12
57	он сам	2	12
58	с тем	2	11
59	но это	3	11
60	только в	9	11
61	как в	9	11
62	и для	4	11
63	в русской	9	11
64	уже не	9	11
65	и к	7	11
66	жизни и	2	11
67	не могут	2	10
68	есть не	2	10
69	это и	4	10
70	один из	6	10
71	то же	7	10
72	бы и	2	9
73	а в	17	9
74	к тому	10	9
75	не будет	3	9
76	что и	10	9
77	я не	3	9
78	то есть	15	9
79	все что	2	9
80	в свою	9	9
81	с ним	2	9
82	лишь в	9	9
83	не мог	4	9
84	вместе с	3	9
85	ничего не	3	8
86	в этих	2	8
87	не так	2	8
88	они не	2	8
89	жизнь в	2	8
90	мира и	2	8
91	что не	3	8
92	в отношении	2	8
93	т е	2	8
94	с его	15	8
95	себя в	6	8
96	за пределы	3	8
97	тем что	3	8
98	о том	9	8
99	уже в	5	8
100	те же	3	7
101	более чем	2	7
102	мог бы	3	7
103	точки зрения	3	7
104	себя и	2	7
105	все еще	2	7
106	что она	3	7
107	на этом	2	7
108	жизни в	4	7
109	в жизни	2	7
110	в нашем	4	7
111	отношения к	6	7
112	во всем	5	7
113	его в	4	6
114	или к	2	6
115	личности и	4	6
116	не как	3	6
117	на пути	2	6
118	этом он	2	6
119	в ее	5	6
120	свободы но	2	6
121	его не	3	6
122	должен был	2	6
123	и от	3	6
124	можно было	2	6
125	если бы	2	6
126	по своей	5	6
127	к чему	2	6
128	жизнь и	3	6
129	что у	3	6
130	и здесь	4	6
131	и если	2	5
132	оно не	2	5
133	в то	8	5
134	к которому	2	5
135	жизни это	2	5
136	в их	7	5
137	так и	19	5
138	тот кто	2	5
139	как у	3	5
140	не для	2	5
141	и я	3	5
142	сказать что	2	5
143	тот же	3	5
144	во всяком	6	5
145	в основе	2	5
146	да и	3	5
147	одно из	3	5
148	с этим	4	5
149	вопроса о	2	5
150	по преимуществу	3	5
151	с самим	3	5
152	и как	5	5
153	еще не	7	5
154	он же	2	5
155	когда он	2	5
156	личности в	5	5
157	перед ним	2	5
158	отрекается от	3	5
159	той же	7	5
160	по отношению	9	4
161	как о	3	4
162	в каждом	4	4
163	как к	2	4
164	не всегда	4	4
165	так что	2	4
166	в момент	3	4
167	есть в	2	4
168	а с	2	4
169	по своему	3	4
170	в чем	2	4
171	а для	3	4
172	к этой	2	4
173	место в	4	4
174	человеческой жизни	2	4
175	могут быть	4	4
176	в начале	10	4
177	и до	2	4
178	все эти	2	4
179	что они	3	4
180	к миру	2	4
181	не от	2	4
182	у всех	2	4
183	любви и	2	4
184	и даже	12	4
185	и по	3	4
186	и их	3	4
187	мы не	4	4
188	отношению к	9	4
189	от его	2	4
190	не случайно	13	4
191	путь к	4	4
192	в той	3	4
193	в своих	3	4
194	и что	2	4
195	к его	2	3
196	были бы	3	3
197	о чем	5	3
198	в состоянии	2	3
199	для себя	2	3
200	на смену	5	3
201	а лишь	2	3
202	и тем	3	3
203	все же	6	3
204	одной и	2	3
205	все его	2	3
206	между тем	8	3
207	на его	3	3
208	принадлежит к	4	3
209	с таким	5	3
210	хотя и	4	3
211	и то	2	3
212	значительной степени	3	3
213	личной ответственности	2	3
