N	3gram	Losev_Dial	Morfolog
1	и т д	28	60
2	не может быть	4	9
3	в связи с	3	9
4	с точки зрения	18	6
5	тем не менее	3	6
6	с другой стороны	7	5
7	связи с этим	2	5
8	на самом деле	3	4
9	но все же	2	4
10	в том что	12	4
11	к тому что	3	4
12	т д но	2	4
13	о том что	6	3
14	то время как	2	3
15	в то время	2	3
16	на первый взгляд	2	3
17	не значит что	6	3
18	на то что	4	3
19	это не значит	3	2
20	же может быть	2	2
21	во всяком случае	3	2
22	не что иное	4	2
23	что иное как	4	2
24	более или менее	5	2
25	в этом отношении	2	2
26	это и не	2	2
27	друг к другу	2	2
28	точно так же	3	2
29	может быть и	6	2
30	можно было бы	4	2
31	с одной стороны	3	2
