N	2gram	Losev_Vlad	VrazhdaK
1	в году	54	18
2	не только	35	9
3	и что	11	8
4	в этом	30	8
5	и в	56	8
6	что в	24	7
7	но и	26	7
8	и все	8	7
9	то что	30	7
10	года в	9	7
11	но в	19	6
12	как и	7	6
13	в котором	10	6
14	в начале	7	6
15	в нем	7	6
16	и с	27	6
17	о нем	9	6
18	все же	11	6
19	и даже	23	6
20	и не	33	5
21	не было	12	5
22	об этом	13	5
23	в россии	7	5
24	то же	10	5
25	александра ii	3	5
26	в то	15	5
27	же время	7	5
28	у него	28	5
29	в письме	16	5
30	для нас	9	4
31	уже в	9	4
32	несмотря на	7	4
33	у достоевского	2	4
34	во многом	3	4
35	в вестнике	3	4
36	в своих	7	4
37	это не	3	4
38	в россию	5	4
39	все это	7	4
40	при этом	5	4
41	о том	13	4
42	в ней	5	4
43	как бы	5	4
44	так же	4	4
45	что он	22	4
46	в истории	4	4
47	письме к	14	4
48	он считал	2	4
49	вестнике европы	3	4
50	летом года	6	4
51	с ним	10	4
52	может быть	12	4
53	и у	4	3
54	относился к	4	3
55	в том	26	3
56	в чем	4	3
57	одним из	3	3
58	его в	3	3
59	который был	4	3
60	в париже	8	3
61	в январе	3	3
62	в петербург	8	3
63	я хотел	2	3
64	что у	4	3
65	и во	3	3
66	в своем	10	3
67	том что	22	3
68	в его	18	3
69	в связи	9	3
70	апреля года	2	3
71	и о	6	3
72	и его	12	3
73	в те	12	3
74	и как	7	3
75	в этот	5	3
76	он был	20	3
77	он не	13	3
78	связи с	7	3
79	к этому	11	3
80	но он	7	3
81	чтобы он	3	3
82	на то	7	3
83	я не	8	3
84	года он	16	3
85	в конце	22	3
86	марта года	7	3
87	с его	15	3
88	тем что	2	3
89	никогда не	15	2
90	и то	13	2
91	в них	5	2
92	уже не	6	2
93	а н	14	2
94	письмо к	3	2
95	европы №	3	2
96	начиная с	3	2
97	место в	2	2
98	в эти	14	2
99	в той	2	2
100	что к	3	2
101	для него	16	2
102	и это	4	2
103	в в	4	2
104	на первый	4	2
105	мы знаем	5	2
106	а в	20	2
107	человека с	2	2
108	он писал	5	2
109	а также	12	2
110	он сам	3	2
111	в этой	4	2
112	те годы	3	2
113	том же	4	2
114	в своей	7	2
115	как раз	7	2
116	в петербургском	2	2
117	он пишет	5	2
118	же в	3	2
119	но как	6	2
120	и он	7	2
121	в себе	5	2
122	еще не	2	2
123	и а	2	2
124	точки зрения	4	2
125	о чем	6	2
126	тем более	4	2
127	году и	2	2
128	это в	2	2
129	после этого	2	2
130	таким образом	6	2
131	во время	4	2
132	мая года	3	2
133	в ноябре	4	2
134	в период	6	2
135	что я	5	2
136	в момент	2	2
137	году в	3	2
138	его и	2	2
139	отношения к	4	2
140	время и	3	2
141	в свою	3	2
142	ноябре года	2	2
143	на это	2	2
144	после смерти	8	2
145	их в	3	2
146	о которой	3	2
147	эти годы	7	2
148	не может	12	2
149	из них	3	2
150	ответ на	2	2
151	в это	6	2
152	не менее	9	2
153	его на	4	2
154	и стал	3	2
155	там же	24	2
156	но это	6	2
157	об этой	2	2
158	но после	2	2
159	к себе	2	2
160	с которым	4	2
161	за границей	3	2
162	отнюдь не	3	2
163	а с	5	2
164	время он	3	2
165	ноября года	3	2
166	м м	19	2
167	не мог	10	2
168	этот момент	2	2
169	вместе с	9	2
170	приехал в	2	2
171	отношение к	7	2
