N	2gram	Nazirov_Tr	FransuaR
1	и в	18	367
2	то есть	3	209
3	в этом	9	112
4	и не	7	101
5	и его	6	99
6	в его	3	98
7	прежде всего	4	92
8	не только	8	87
9	но и	4	84
10	как бы	7	82
11	все эти	3	79
12	в романе	10	77
13	как и	5	76
14	в нем	4	75
15	но в	6	75
16	и на	7	72
17	в том	2	71
18	то же	5	66
19	и все	4	66
20	так и	5	65
21	в этой	4	65
22	и с	7	64
23	в то	5	63
24	все это	4	62
25	же время	6	55
26	что в	4	52
27	в своем	3	51
28	и до	2	46
29	том что	4	45
30	в году	9	44
31	то что	4	41
32	у него	6	40
33	в самом	2	38
34	с его	2	36
35	может быть	7	35
36	он был	2	35
37	о том	2	35
38	и даже	4	34
39	в себе	4	34
40	в конце	3	32
41	он не	2	32
42	для него	3	32
43	до конца	2	31
44	так же	4	30
45	никогда не	2	30
46	один из	3	30
47	потому что	2	30
48	не может	5	29
49	еще не	4	29
50	его в	2	29
51	не в	2	29
52	при этом	3	29
53	в одном	2	29
54	что он	6	29
55	все же	5	27
56	но это	4	25
57	отношение к	2	24
58	в ее	2	24
59	в частности	2	24
60	как в	3	24
61	он и	2	24
62	этот образ	4	24
63	своего рода	3	23
64	это не	5	23
65	с ним	3	23
66	и здесь	2	23
67	к нему	3	23
68	что и	2	22
69	тем что	2	22
70	что это	5	21
71	ни в	2	21
72	и как	3	21
73	уже в	3	21
74	в образе	6	20
75	и это	2	20
76	в дальнейшем	5	19
77	с ее	3	19
78	эпизод с	3	19
79	но они	2	18
80	перед нами	2	18
81	одна из	2	18
82	но все	2	17
83	ничего не	2	16
84	никто не	3	15
85	еще в	2	15
86	не мог	2	15
87	в данном	2	14
88	и он	3	14
89	несмотря на	5	14
90	отличие от	2	13
91	что все	2	13
92	жизнь и	3	13
93	в мире	3	13
94	и сам	3	13
95	в известной	2	13
96	о чем	3	13
97	в основном	3	13
98	не могут	2	12
99	и ее	2	12
100	не был	2	12
101	об этом	4	12
102	это уже	2	11
103	уже не	2	11
104	и что	4	11
105	из самых	2	11
106	в отличие	2	11
107	данном случае	2	10
108	к тому	2	10
109	в целом	4	10
110	не просто	2	10
111	еще раз	2	9
112	говорит о	2	9
113	как это	3	9
114	и то	2	9
115	что образ	3	9
116	не имеет	2	9
117	жизнью и	2	9
118	к жизни	5	9
119	так что	2	8
120	с тем	2	8
121	под влиянием	2	8
122	но эта	2	8
123	в это	2	8
124	по поводу	2	8
125	это очень	5	8
126	это был	2	8
127	одном из	2	8
128	а как	2	7
129	времени в	2	7
130	и за	2	7
131	в виде	2	7
132	в таком	2	7
133	xix веке	2	6
134	как у	2	6
135	вряд ли	2	6
136	было в	2	6
137	что она	2	6
138	но особенно	2	6
139	друг друга	2	6
140	году в	2	6
141	как будто	3	6
142	от всего	2	6
143	тем самым	3	5
144	в первом	2	5
145	говорит что	2	5
146	по словам	2	5
147	своего отца	3	5
148	ничем не	2	5
149	имеет в	2	5
150	должно быть	3	5
151	его за	2	5
152	бы и	2	5
153	он сам	7	5
154	тут же	2	5
155	раз и	2	5
156	между этими	2	5
157	состоит из	2	4
158	на страницах	3	4
159	что этот	2	4
160	что за	3	4
161	я не	4	4
162	что эти	2	4
163	не так	2	4
164	который в	2	4
165	не случайно	2	4
166	что я	4	4
167	о его	2	4
168	из своих	2	4
169	лицо его	2	3
170	права на	2	3
171	к людям	3	3
172	он всегда	4	3
173	и детей	2	3
174	но при	2	3
175	этого романа	2	3
176	отца и	2	3
177	в глаза	2	3
178	что с	3	3
179	чем он	2	3
180	как же	2	2
181	очень важно	2	2
182	бросается в	2	2
183	и я	2	2
184	в самую	2	2
185	в xii	2	2
186	нет в	2	2
187	мог бы	3	2
188	в силах	2	2
189	знает что	2	2
190	только к	2	2
191	этими двумя	2	2
192	но этого	2	2
193	дома и	2	2
194	что вы	3	2
195	в письмах	2	2
196	если б	2	2
197	раз он	2	2
198	только о	2	2
