N	2gram	Losev_Vlad	Myshleni
1	в том	26	195
2	в этом	30	167
3	то что	30	166
4	и в	56	162
5	том что	22	161
6	таким образом	6	147
7	точки зрения	4	143
8	что в	24	119
9	не только	35	116
10	того что	6	109
11	так же	4	100
12	и речи	3	96
13	потому что	16	95
14	того чтобы	4	91
15	может быть	12	89
16	что он	22	86
17	не может	12	81
18	как и	7	79
19	так как	11	78
20	для того	4	78
21	и не	33	78
22	только в	11	75
23	в целом	3	74
24	как мы	17	72
25	но и	26	70
26	в его	18	67
27	сказать что	14	65
28	как бы	5	64
29	вместе с	9	62
30	в качестве	7	60
31	и что	11	60
32	было бы	7	60
33	то же	10	58
34	в отношении	5	55
35	что мы	2	53
36	в самом	3	52
37	в сущности	2	51
38	мы должны	3	50
39	к тому	5	49
40	что они	4	48
41	тем что	2	48
42	мы не	2	47
43	если бы	2	46
44	но не	5	45
45	с другой	3	45
46	тем самым	2	43
47	с тем	4	43
48	как это	11	42
49	по своей	4	40
50	о том	13	40
51	так и	11	39
52	никогда не	15	39
53	в области	3	38
54	не в	12	37
55	в этой	4	37
56	и к	10	37
57	в своем	10	36
58	все эти	6	36
59	и его	12	36
60	как в	6	36
61	а не	5	36
62	того же	11	35
63	он не	13	35
64	в которой	8	35
65	в себе	5	35
66	для себя	6	35
67	и как	7	34
68	связи с	7	34
69	при этом	5	33
70	прежде всего	5	33
71	по себе	3	33
72	что и	6	32
73	именно в	4	32
74	по своему	5	32
75	но в	19	32
76	той же	6	32
77	и тем	2	32
78	и на	7	32
79	и то	13	31
80	все же	11	31
81	мысли и	5	30
82	этом отношении	2	30
83	на то	7	30
84	от того	2	29
85	как известно	2	29
86	с этим	3	28
87	что с	3	28
88	что все	2	27
89	в своей	7	27
90	только что	2	27
91	с этой	4	27
92	в результате	6	27
93	в то	15	27
94	другой стороны	3	27
95	и с	27	27
96	в их	2	26
97	в частности	4	26
98	что это	2	26
99	для него	16	26
100	все это	7	25
101	еще не	2	25
102	уже в	9	25
103	что она	2	25
104	это не	3	25
105	только не	2	25
106	в чем	4	25
107	можно сказать	10	25
108	мы уже	8	25
109	так что	13	24
110	мы знаем	5	24
111	тот же	7	24
112	в нем	7	24
113	того как	2	24
114	на этот	9	24
115	как уже	2	24
116	в высшей	2	24
117	как он	4	23
118	друг друга	3	23
119	ни в	4	23
120	речи с	2	23
121	во всяком	8	22
122	не могут	2	22
123	то время	6	22
124	отношение к	7	21
125	на основании	3	21
126	в истории	4	21
127	в нашем	5	21
128	его в	3	21
129	представление о	2	21
130	к этому	11	21
131	и все	8	21
132	между ними	2	21
133	не имеет	2	21
134	в котором	10	20
135	и других	2	20
136	по существу	4	20
137	а в	20	20
138	время как	3	20
139	из них	3	20
140	как раз	7	20
141	на вопрос	2	20
142	едва ли	3	20
143	на этом	3	20
144	не менее	9	20
145	говорит что	4	20
146	из этих	5	20
147	но мы	3	19
148	с ним	10	19
149	в той	2	19
150	как на	2	19
151	а с	5	19
152	и по	10	19
153	во всех	4	19
154	мы и	4	19
155	один из	4	19
156	в связи	9	19
157	во всем	4	18
158	чем в	2	18
159	всяком случае	8	18
160	но это	6	18
161	этом смысле	4	18
162	мы находим	2	17
163	и для	4	17
164	все что	2	17
165	в своих	7	17
166	в свою	3	17
167	в одном	2	17
168	и от	6	17
169	то и	3	17
170	и есть	2	17
171	не есть	4	17
172	в этих	5	17
173	их в	3	17
174	до конца	8	17
175	я не	8	17
176	у него	28	17
177	вовсе не	8	16
178	по поводу	15	16
179	и другие	2	16
180	для нас	9	16
181	которые в	2	16
182	то в	6	16
183	и даже	23	16
184	мы имеем	2	16
185	тем более	4	15
186	когда он	6	15
187	те же	2	15
188	но как	6	15
189	том же	4	15
190	по этому	3	15
191	что если	3	15
192	в начале	7	15
193	хотя бы	5	15
194	ничего не	4	15
195	на все	3	15
196	и это	4	15
197	в них	5	15
198	значение для	2	14
199	и во	3	14
200	что для	5	14
201	что у	4	14
202	учения о	3	14
203	из этого	6	14
204	когда мы	2	14
205	последнее время	2	14
206	одной из	2	14
207	в теории	2	14
208	но что	5	14
209	один и	2	14
210	о чем	6	14
211	свою очередь	2	14
212	об этом	13	14
213	с его	15	14
214	одним из	3	14
215	и здесь	3	14
216	этих двух	2	14
217	она не	3	13
218	на его	7	13
219	но все	3	13
220	и тот	2	13
221	в меру	2	13
222	лишь в	3	13
223	в виде	4	13
224	точно так	2	13
225	с ней	3	13
226	отнюдь не	3	13
227	к его	5	13
228	его к	3	13
229	для всех	2	13
230	в основном	5	13
231	но на	3	13
232	и потому	8	12
233	никак не	6	12
234	тем не	8	12
235	но только	3	12
236	первый план	4	12
237	даже в	4	12
238	с которыми	2	12
239	выражение в	2	12
240	это и	2	12
241	в самых	2	12
242	несмотря на	7	12
243	это мы	5	12
244	в ней	5	12
245	только к	3	12
246	том чтобы	4	12
247	еще более	3	12
248	на первый	4	12
249	ясно что	2	12
250	только на	3	12
251	к нему	6	12
252	за пределы	3	12
253	тому же	3	12
254	но он	7	12
255	в каком	3	11
256	в конце	22	11
257	что этот	4	11
258	мы будем	4	11
259	и при	2	11
260	на котором	2	11
261	ответ на	2	11
262	в последнее	2	11
263	мы увидим	4	11
264	что на	2	11
265	обстоятельство что	2	11
