N	2gram	Tiupa_Narr	VelikijI
1	и не	34	20
2	и в	22	16
3	то что	14	9
4	еще не	6	8
5	и потому	2	7
6	а не	27	7
7	в мире	8	5
8	как бы	11	5
9	на себя	5	5
10	но и	39	5
11	хотя и	8	5
12	того что	7	5
13	и все	7	4
14	как и	15	4
15	в котором	3	4
16	потому что	7	4
17	все что	4	4
18	в нем	9	4
19	в ней	5	4
20	что не	2	4
21	что мы	2	4
22	в его	12	4
23	в этом	23	4
24	что он	7	4
25	так и	12	4
26	никогда не	8	3
27	превращается в	2	3
28	в жизни	9	3
29	что в	6	3
30	в том	20	3
31	и для	4	3
32	не имеет	3	3
33	тому что	4	3
34	но в	10	3
35	к тому	13	3
36	их в	4	3
37	но это	2	3
38	оно не	4	3
39	хотя бы	4	3
40	в своей	8	3
41	во всех	2	3
42	от которого	3	3
43	к чему	3	3
44	в конце	4	3
45	жизни и	7	3
46	что и	3	3
47	не было	3	3
48	лишь в	3	3
49	если не	4	3
50	не в	12	3
51	все эти	3	3
52	первый раз	2	3
53	в этих	3	3
54	что я	4	3
55	должна быть	2	3
56	в чем	3	3
57	с его	6	3
58	когда в	4	2
59	и то	3	2
60	да и	5	2
61	они и	2	2
62	одна из	5	2
63	но не	7	2
64	тот кто	2	2
65	от этих	3	2
66	это не	6	2
67	не только	50	2
68	а в	19	2
69	том что	15	2
70	своей истории	2	2
71	мир и	2	2
72	на том	2	2
73	а к	3	2
74	во всяком	2	2
75	и тогда	2	2
76	вслед за	4	2
77	уже не	11	2
78	не к	4	2
79	значения и	2	2
80	один из	8	2
81	давно уже	2	2
82	в смысл	2	2
83	не будет	2	2
84	для них	2	2
85	не имел	2	2
86	того чтобы	7	2
87	более чем	2	2
88	мира в	4	2
89	мы не	5	2
90	человека как	2	2
91	быть личностью	2	2
92	можно было	2	2
93	только в	23	2
94	и сам	4	2
95	в форме	7	2
96	все равно	2	2
97	его и	2	2
98	для нас	2	2
99	в себя	3	2
100	людей и	2	2
101	прежде всего	7	2
102	и т	3	2
103	с ним	6	2
104	между тем	5	2
105	мы и	2	2
106	а с	2	2
107	для него	8	2
