N	2gram	Trubetskoy	Dialekti
1	не есть	3	181
2	и не	19	120
3	и т	3	82
4	по себе	2	79
5	а не	2	78
6	и в	14	77
7	точки зрения	11	72
8	может быть	9	71
9	не только	9	66
10	то что	13	59
11	и есть	2	55
12	не может	22	53
13	и даже	2	47
14	так как	4	46
15	с точки	9	46
16	что это	3	46
17	потому что	5	45
18	не просто	2	44
19	как бы	4	43
20	ни в	2	42
21	и что	2	42
22	в том	17	40
23	что такое	2	39
24	в этом	17	39
25	то же	11	39
26	в себе	9	38
27	это есть	2	38
28	том что	9	37
29	что он	6	37
30	прежде всего	8	37
31	так что	2	36
32	что в	4	34
33	в нем	5	34
34	– не	2	33
35	того что	3	33
36	но и	10	32
37	все это	6	31
38	ясно что	2	31
39	и как	3	30
40	отнюдь не	7	30
41	было бы	5	29
42	как и	4	28
43	никогда не	5	27
44	не в	4	26
45	есть и	2	26
46	сама по	2	26
47	и то	4	25
48	говорить о	3	25
49	если бы	6	24
50	но это	2	24
51	и вот	2	23
52	в то	10	23
53	что оно	3	23
54	таким образом	11	23
55	или от	2	22
56	она не	2	21
57	должна быть	2	21
58	что все	3	20
59	только в	5	20
60	что и	3	20
61	совершенно не	2	20
62	о том	7	20
63	уже не	2	20
64	и с	7	20
65	в таком	2	20
66	в своем	6	19
67	тогда когда	4	19
68	в самом	3	19
69	что же	4	18
70	хотя бы	5	18
71	же время	10	18
72	жизни и	4	18
73	но если	3	17
74	той или	3	17
75	должно быть	3	17
76	в своей	5	16
77	к нему	2	16
78	да и	3	16
79	то это	3	16
80	конечно не	5	16
81	и о	2	15
82	быть и	2	15
83	то в	3	15
84	все же	4	15
85	так же	2	15
86	в виде	3	15
87	самом деле	7	15
88	на то	5	15
89	несмотря на	3	15
90	мы уже	2	15
91	и потому	3	14
92	с ним	2	14
93	даже и	2	14
94	не было	3	14
95	и только	5	14
96	в силу	2	13
97	но в	2	13
98	в ней	2	13
99	отличается от	2	13
100	он не	5	13
101	что они	3	13
102	и к	6	13
103	вопрос о	5	12
104	еще не	3	12
105	все эти	2	12
106	именно в	3	12
107	и если	7	12
108	не могут	4	12
109	даже не	2	12
