N	3gram	Propp_Isto	Myshleni
1	в том что	8	133
2	по сравнению с	2	45
3	по отношению к	2	42
4	с одной стороны	2	39
5	так же как	7	39
6	друг с другом	2	35
7	можно было бы	2	28
8	в этом случае	8	27
9	с другой стороны	10	26
10	о том что	3	25
11	на то что	4	25
12	не может быть	4	23
13	в то время	2	22
14	смысле этого слова	3	22
15	можно сказать что	2	21
16	не только не	2	21
17	то время как	2	20
18	во всяком случае	2	18
19	состоит в том	2	18
20	до сих пор	7	17
21	как мы видели	7	17
22	в связи с	5	17
23	же как и	3	17
24	одной и той	2	15
25	в данном случае	6	15
26	и той же	2	15
27	и то что	4	15
28	мы видели что	6	14
29	подобно тому как	3	14
30	точно так же	8	13
31	тем не менее	6	12
32	том что в	2	11
33	мы видим в	3	9
34	как и в	2	9
35	что и в	3	8
36	независимо от того	2	8
37	содержит в себе	2	7
38	не что иное	6	6
39	что иное как	6	6
40	совершенно так же	4	6
41	чем перейти к	2	5
42	мы знаем что	8	5
43	но все же	5	5
44	таким образом мы	2	5
45	как мы увидим	2	5
46	не только в	3	5
47	показывает что в	2	5
48	есть не что	2	4
49	после того как	3	4
50	в тех случаях	2	4
51	ни один из	2	4
52	мы увидим что	2	4
53	но и в	2	4
54	это мы видим	2	4
55	таким образом и	2	4
56	тех случаях когда	2	4
57	мы видим что	6	4
58	совершенно то же	3	3
59	мы видели выше	2	3
60	мы имеем в	4	3
61	к тому же	4	3
62	наряду с этим	2	2
63	в одном случае	5	2
64	в одном из	2	2
65	на одной и	2	2
66	что в данном	2	2
67	с того что	2	2
68	к этому же	2	2
69	в этих случаях	13	2
70	в свете этих	2	2
71	но тем не	2	2
72	мы увидим ниже	3	2
73	видели что в	2	2
74	в большинстве случаев	2	2
75	здесь мы имеем	3	2
76	начинается с того	2	2
77	в другом случае	3	2
78	и тем что	2	2
79	мы уже видели	3	2
