N	2gram	Tiupa_Narr	VerxiiNi
1	и в	22	26
2	таким образом	5	22
3	в этом	23	15
4	вместе с	3	15
5	точки зрения	8	13
6	как бы	11	12
7	в том	20	11
8	не только	50	10
9	из этих	6	10
10	и с	3	10
11	может быть	24	10
12	после смерти	2	10
13	что в	6	9
14	в области	4	9
15	связи с	3	9
16	но и	39	9
17	но не	7	8
18	с другой	6	8
19	и у	4	8
20	и не	34	8
21	как на	2	8
22	к нему	5	7
23	потому что	7	7
24	одной стороны	5	7
25	из них	4	7
26	то что	14	7
27	с одной	5	7
28	но в	10	7
29	том что	15	7
30	а с	2	7
31	все же	10	6
32	к тому	13	6
33	о том	5	6
34	того же	2	6
35	в себе	14	6
36	в конце	4	6
37	всяком случае	2	6
38	что и	3	6
39	с точки	2	6
40	и т.д	7	6
41	все эти	3	6
42	и потому	2	6
43	так и	12	6
44	во всяком	2	6
45	никогда не	8	5
46	в мире	8	5
47	одной из	2	5
48	и для	4	5
49	не имеет	3	5
50	более или	2	5
51	так же	2	5
52	и к	7	5
53	в силу	5	5
54	отношение к	2	5
55	к жизни	3	5
56	того чтобы	7	5
57	лишь в	3	5
58	в его	12	5
59	для того	4	5
60	а не	27	5
61	тому же	9	5
62	сих пор	3	5
63	до сих	3	5
64	или менее	2	5
65	на этот	2	4
66	и от	3	4
67	далеко не	6	4
68	а в	19	4
69	в котором	3	4
70	в самом	8	4
71	в нем	9	4
72	не может	16	4
73	и тогда	2	4
74	то есть	15	4
75	в виде	2	4
76	то же	12	4
77	и по	3	4
78	в этих	3	4
79	только в	23	4
80	что он	7	4
81	и только	2	4
82	он не	8	4
83	во время	2	4
84	в этой	8	4
85	в то	9	4
86	что это	4	3
87	в рамках	6	3
88	на нее	2	3
89	в своем	7	3
90	если в	2	3
91	не вполне	3	3
92	к ним	2	3
93	точно так	2	3
94	или иначе	2	3
95	уже не	11	3
96	хотя бы	4	3
97	к этому	2	3
98	в результате	4	3
99	в которой	2	3
100	тем не	7	3
101	представляет собой	21	3
102	и даже	4	3
103	и как	4	3
104	если бы	9	3
105	же как	2	3
106	в других	2	3
107	при этом	31	3
108	не менее	6	3
109	как о	2	3
110	в качестве	27	3
111	с этой	3	3
112	в связи	3	3
113	в таком	4	3
114	ясно что	2	3
115	и о	4	3
116	можно сказать	11	3
117	отношению к	5	3
118	в одном	5	3
119	того что	7	3
120	для него	8	3
121	по своему	3	2
122	одно из	2	2
123	сказать что	5	2
124	о котором	4	2
125	начиная с	3	2
126	и является	2	2
127	или иной	6	2
128	но при	5	2
129	а также	11	2
130	на то	4	2
131	состоит в	19	2
132	мы имеем	6	2
133	в процессе	2	2
134	мы можем	2	2
135	в начале	4	2
136	свидетельствует о	4	2
137	ему в	2	2
138	вплоть до	5	2
139	между тем	5	2
140	одним из	2	2
141	только что	4	2
142	особенно в	3	2
143	к его	5	2
144	в свою	4	2
145	выступает в	2	2
146	не могла	2	2
147	именно в	5	2
148	если не	4	2
149	приводит к	2	2
150	что мы	2	2
151	только не	2	2
152	и на	5	2
153	и здесь	3	2
154	еще не	6	2
155	по своей	3	2
156	все что	4	2
157	его смерти	2	2
158	жизни и	7	2
159	что именно	2	2
160	не было	3	2
161	по своим	2	2
162	превращается в	2	2
163	когда же	2	2
164	можно назвать	2	2
165	этом отношении	5	2
166	не в	12	2
167	не всегда	4	2
168	и наконец	2	2
169	той или	7	2
170	и все	7	2
171	на друга	2	2
172	же время	7	2
173	один из	8	2
174	в виду	2	2
175	заключает в	2	2
176	со всеми	3	2
177	друг на	2	2
178	связано с	2	2
179	и после	3	2
180	не к	4	2
181	людей и	2	2
182	прежде всего	7	2
183	не могло	3	2
184	в глазах	7	2
185	с его	6	2
186	во всех	2	2
187	же самое	3	2
188	вслед за	4	2
189	и сами	2	2
190	быть и	3	2
