N	2gram	Medvedev_U	Sovremen
1	не может	7	17
2	может быть	6	12
3	таким образом	2	11
4	мы не	2	9
5	и в	14	7
6	в этом	7	7
7	и не	8	6
8	ничего не	2	6
9	как и	3	6
10	прежде всего	8	5
11	это не	3	4
12	не только	10	4
13	в том	2	4
14	и т.д	3	3
15	но в	3	3
16	не в	2	3
17	все же	3	3
18	мы получаем	2	3
19	было бы	3	3
20	в области	3	3
21	в себе	2	3
22	у нас	3	3
23	все это	5	3
24	а не	10	3
25	что она	2	3
26	в этой	4	3
27	при таком	2	3
28	то же	5	3
29	в конце	2	3
30	в системе	2	3
31	же самое	2	2
32	что все	2	2
33	не могут	2	2
34	в его	2	2
35	что такое	4	2
36	в самом	2	2
37	в некоторых	2	2
38	самом деле	2	2
39	то ни	3	2
40	могут быть	2	2
