N	3gram	Propp_Morf	Marksizm
1	с точки зрения	6	46
2	не может быть	9	25
3	по отношению к	7	15
4	в связи с	9	14
5	в том что	4	14
6	бы то ни	3	12
7	то ни было	2	12
8	для того чтобы	3	11
9	в большинстве случаев	3	9
10	может быть и	2	8
11	в настоящее время	3	8
12	с другой стороны	5	7
13	во всяком случае	2	6
14	на самом деле	4	6
15	на то что	3	6
16	с одной стороны	2	6
17	и пр и	3	6
18	в этом отношении	2	5
19	к тому что	4	5
20	в этом случае	10	5
21	в первом случае	3	4
22	о том что	3	4
23	но все же	4	4
24	тем не менее	6	3
25	более или менее	2	3
26	мы не будем	2	3
27	можно было бы	2	3
28	не могут быть	4	3
29	связи с этим	5	3
30	собственном смысле слова	3	2
31	вопрос о том	2	2
32	и в других	2	2
33	в данном случае	2	2
34	как и в	3	2
35	как мы увидим	5	2
36	в собственном смысле	3	2
37	независимо от того	4	2
