N	2gram	Medvedev_U	TeoriaLi
1	не только	10	24
2	и в	14	24
3	в частности	3	23
4	может быть	6	22
5	в том	2	20
6	и не	8	17
7	но и	4	14
8	а не	10	14
9	в себе	2	14
10	но не	2	13
11	в этом	7	12
12	то же	5	12
13	но в	3	12
14	сводится к	2	12
15	в его	2	12
16	том что	2	11
17	не в	2	9
18	в искусстве	6	9
19	с другой	4	9
20	в то	3	9
21	только в	2	9
22	не может	7	8
23	в своей	3	8
24	же время	3	8
25	в области	3	7
26	в самом	2	7
27	не столько	2	7
28	другой стороны	3	6
29	конечном счете	4	6
30	в конечном	4	6
31	то что	7	6
32	как и	3	6
33	с его	2	6
34	художественного произведения	2	5
35	для него	3	5
36	не случайно	2	5
37	между тем	2	5
38	могут быть	2	5
39	в художественном	5	5
40	художественного творчества	5	5
41	это не	3	4
42	и т.д	3	4
43	в их	4	4
44	что он	2	4
45	произведения искусства	3	4
46	не следует	3	4
47	и то	3	3
48	эстетического объекта	6	3
49	о чем	2	3
50	не все	2	3
51	и для	2	3
52	если бы	2	3
53	художественное произведение	5	3
54	одним из	2	3
55	к области	2	3
56	в итоге	2	3
57	или иных	2	3
58	в сторону	2	3
59	прежде всего	8	3
60	этом смысле	2	3
61	таким образом	2	3
62	тех или	2	3
63	в этой	4	3
64	как раз	2	3
65	не могут	2	2
66	для всех	2	2
67	что она	2	2
68	искусства как	2	2
69	это было	2	2
70	в конце	2	2
71	противном случае	2	2
72	превращается в	2	2
73	истории литературы	3	2
74	ни было	3	2
75	у нас	3	2
76	говоря иначе	2	2
77	самом деле	2	2
78	и является	2	2
79	что такое	4	2
80	могли бы	2	2
81	по себе	2	2
82	что и	2	2
83	в противном	2	2
84	то ни	3	2
85	все это	5	2
86	бы то	3	2
87	в системе	2	2
