N	3gram	Propp_Morf	Problema
1	тем не менее	6	56
2	о том что	3	39
3	в том что	4	37
4	и т д	60	33
5	в настоящее время	3	30
6	в связи с	9	29
7	в данном случае	2	28
8	во всяком случае	2	25
9	с точки зрения	6	25
10	с другой стороны	5	25
11	на то что	3	19
12	для того чтобы	3	17
13	точно так же	2	16
14	и тем не	2	15
15	не что иное	2	14
16	в этом случае	10	14
17	что иное как	2	14
18	на самом деле	4	13
19	можно было бы	2	13
20	не может быть	9	12
21	в то время	3	12
22	то время как	3	12
23	бы то ни	3	11
24	с одной стороны	2	11
25	более или менее	2	10
26	может быть и	2	9
27	мы не будем	2	8
28	хотя и не	2	7
29	о том как	2	7
30	то что в	2	6
31	то ни было	2	6
32	и в других	2	6
33	на первый взгляд	3	6
34	в этом отношении	2	6
35	а вовсе не	2	5
36	в собственном смысле	3	5
37	а также и	5	5
38	это и не	2	5
39	не значит что	3	4
40	вопрос о том	2	4
41	дело не в	2	4
42	в таких случаях	2	4
43	но все же	4	4
44	друг к другу	2	4
45	собственном смысле слова	3	4
46	связи с этим	5	4
47	в этих случаях	14	4
48	подобно тому как	5	4
49	в тех случаях	2	3
50	к тому что	4	3
51	мы увидим ниже	6	3
52	как и в	3	3
53	это не значит	2	3
54	как мы увидим	5	3
55	говорить о том	2	3
56	тех случаях когда	2	3
57	далеко не все	3	3
58	мы уже видели	2	3
59	мы имеем в	2	2
60	в том случае	3	2
61	он может быть	2	2
62	тем и другим	2	2
63	случае не является	2	2
64	по отношению к	7	2
65	но если это	2	2
66	друг на друга	2	2
67	если это так	2	2
68	не может считаться	4	2
69	то перед нами	5	2
70	здесь прежде всего	3	2
