N	3gram	Losev_Prob	Freidism
1	с точки зрения	3	15
2	не может быть	5	14
3	в самом деле	4	10
4	в том что	7	9
5	во всяком случае	11	8
6	в то же	4	6
7	может быть и	5	6
8	можно сказать что	6	5
9	как мы уже	2	5
10	с самого начала	2	5
11	в таком случае	14	4
12	тем не менее	25	4
13	на первый план	3	4
14	в этом отношении	2	4
15	сам по себе	7	4
16	это вовсе не	2	4
17	в данном случае	10	4
18	на самом деле	6	4
19	бы то ни	2	3
20	о том что	16	3
21	так и в	2	3
22	для того чтобы	9	3
23	только то что	6	3
24	до сих пор	6	3
25	что же касается	3	3
26	в таких случаях	2	2
27	то же самое	9	2
28	чем иным как	2	2
29	ни в каком	7	2
30	и тем не	8	2
31	то что мы	11	2
32	мы никогда не	3	2
33	то или иное	2	2
34	что же такое	5	2
35	хотя бы и	3	2
36	как раз и	11	2
37	заключается в том	2	2
38	ни о каком	2	2
39	в конце концов	11	2
40	с одной стороны	4	2
41	в каком случае	6	2
42	по своему содержанию	3	2
43	а также и	2	2
44	не чем иным	2	2
45	в этом смысле	8	2
46	но если мы	4	2
47	сказать и о	3	2
48	и ни в	2	2
