N	2gram	Vygotskiy_	UchenyiS
1	и в	37	14
2	не только	29	10
3	а не	5	10
4	и не	15	8
5	прежде всего	12	8
6	то что	32	7
7	не может	16	7
8	вот почему	5	7
9	в этом	32	7
10	может быть	19	6
11	и только	2	5
12	то же	12	5
13	хотя бы	7	5
14	все это	9	5
15	в конечном	4	4
16	но и	23	4
17	в этой	13	4
18	конечном счете	4	4
19	с другой	16	4
20	в их	5	4
21	в частности	8	3
22	для этого	7	3
23	и т.д	15	3
24	это не	5	3
25	очевидно что	4	3
26	как такового	2	3
27	и то	3	3
28	в своей	7	3
29	все же	6	3
30	как и	20	3
31	в то	7	3
32	но в	9	3
33	же время	2	3
34	по нашему	2	3
35	к сожалению	2	3
36	было бы	12	3
37	в области	4	3
38	другой стороны	10	3
39	для него	5	3
40	в самом	16	2
41	в себе	8	2
42	что мы	9	2
43	мы и	3	2
44	о чем	2	2
45	нас в	2	2
46	на эту	2	2
47	же самое	4	2
48	что он	16	2
49	на каждом	2	2
50	таким образом	39	2
51	но не	6	2
52	и для	3	2
53	если бы	10	2
54	между тем	10	2
55	самом деле	8	2
56	только в	8	2
57	этом смысле	3	2
58	и является	2	2
59	что она	6	2
60	ничего не	6	2
61	всех этих	2	2
62	и с	10	2
63	должна была	2	2
64	что и	3	2
65	вопроса о	3	2
66	каждом шагу	2	2
67	могут быть	5	2
68	на первый	3	2
69	но даже	2	2
70	смысле этого	6	2
71	превращается в	3	2
72	сих пор	4	2
73	по себе	9	2
74	тем что	7	2
75	том что	42	2
76	в его	16	2
77	в том	47	2
78	что все	8	2
79	этом отношении	6	2
80	как таковой	2	2
81	если не	3	2
82	с его	7	2
83	как раз	8	2
84	фактов и	5	2
85	для всех	8	2
86	по существу	8	2
87	не в	9	2
88	думается что	7	2
89	бы и	4	2
90	в конце	2	2
91	мы не	13	2
92	до сих	4	2
93	могли бы	10	2
94	не столько	4	2
