N	2gram	Trubetskoy	Morfolog
1	может быть	10	61
2	таким образом	22	26
3	так как	9	20
4	мы имеем	2	19
5	не может	4	19
6	в этом	15	18
7	в этих	4	17
8	представляет собой	3	17
9	и в	26	17
10	и не	8	16
11	прежде всего	2	14
12	по существу	2	13
13	связи с	9	12
14	а не	5	11
15	но если	2	10
16	то же	4	10
17	в том	11	10
18	не всегда	2	10
19	то что	7	10
20	так и	6	10
21	что в	9	10
22	что и	6	10
23	в связи	3	10
24	все же	6	9
25	но и	9	9
26	с другой	8	9
27	не только	10	8
28	в результате	3	8
29	но не	8	8
30	а в	4	8
31	в качестве	3	8
32	не могут	2	7
33	том что	7	7
34	если в	3	7
35	тем не	3	7
36	не менее	3	7
37	отношению к	3	7
38	а также	2	7
39	и здесь	2	7
40	точки зрения	13	7
41	один из	2	7
42	потому что	7	7
43	во всех	2	6
44	и как	3	6
45	во время	4	6
46	и другие	3	6
47	о том	6	6
48	в образе	2	6
49	большей частью	3	6
50	с точки	6	6
51	как бы	12	6
52	вслед за	2	5
53	хотя бы	3	5
54	мы можем	2	5
55	что он	4	5
56	далеко не	4	5
57	к тому	6	5
58	из которых	4	5
59	между тем	2	5
60	главным образом	8	5
61	в других	3	5
62	все эти	6	5
63	он не	4	5
64	учение о	4	5
65	ясно что	3	5
66	сказать что	2	4
67	так же	5	4
68	в то	4	4
69	к этому	3	4
70	еще не	2	4
71	из них	7	4
72	но в	7	4
73	но все	7	4
74	и для	5	4
75	уже не	3	4
76	и к	5	4
77	несмотря на	6	4
78	того чтобы	5	4
79	на пути	2	4
80	случае не	3	4
81	некоторые из	2	3
82	утверждать что	2	3
83	мы должны	6	3
84	в которой	3	3
85	то ни	2	3
86	что это	3	3
87	и у	8	3
88	целый ряд	4	3
89	связывается с	3	3
90	только что	2	3
91	если бы	3	3
92	в виде	4	3
93	связана с	2	3
94	не в	2	3
95	для того	5	3
96	и при	3	3
97	с этой	3	3
98	того что	3	3
99	приводит к	2	3
100	так например	2	3
101	к нему	7	3
102	на то	2	3
103	состоит в	2	3
104	с того	2	3
105	благодаря этому	2	3
106	в начале	2	3
107	можно назвать	2	3
108	и что	4	3
109	то с	3	3
110	и тогда	4	3
111	и по	4	3
112	только в	4	3
113	и только	4	3
114	что эти	3	3
115	в этой	4	3
116	бы то	2	3
117	с его	2	3
118	и заставляет	2	2
119	в россии	2	2
120	путь к	3	2
121	из этих	10	2
122	одной стороны	7	2
123	и даже	3	2
124	или менее	5	2
125	и таким	3	2
126	к другу	2	2
127	образом если	2	2
128	что именно	2	2
129	превращается в	2	2
130	этом отношении	2	2
131	только для	2	2
132	ни было	2	2
133	одним из	2	2
134	на друга	2	2
135	ничем не	4	2
136	с одной	7	2
137	всех других	2	2
138	друг на	2	2
139	а с	7	2
140	не с	2	2
141	одной из	5	2
142	что о	2	2
143	на этот	4	2
144	с тем	18	2
145	не имеет	5	2
146	друг за	3	2
147	или по	2	2
148	более или	5	2
149	но с	3	2
150	быть и	2	2
151	в которых	4	2
152	с другими	4	2
153	очень много	2	2
154	что мы	2	2
155	точно так	3	2
156	всяком случае	6	2
157	и больше	2	2
158	все это	6	2
159	можно сказать	3	2
160	для него	3	2
161	в одном	3	2
162	во всяком	6	2
163	по своему	2	2
164	тем и	2	2
