N	3gram	Tiupa_Narr	TeoriaLi
1	в том что	11	10
2	по отношению к	5	10
3	не сводится к	7	9
4	в то же	7	8
5	я в мире	3	8
6	то же время	7	8
7	присутствия я в	2	7
8	в отличие от	6	7
9	в конечном счете	4	6
10	присутствия в мире	2	6
11	состоит в том	5	6
12	более или менее	2	6
13	того или иного	3	6
14	так и не	2	5
15	в данном случае	12	5
16	для того чтобы	4	5
17	не может быть	6	5
18	и того же	2	4
19	одного и того	2	4
20	по сути дела	2	3
21	с точки зрения	2	3
22	с одной стороны	5	3
23	тем не менее	6	3
24	подобно тому как	4	3
25	той или иной	6	3
26	можно сказать что	5	3
27	в равной степени	3	3
28	в связи с	3	3
29	в свою очередь	2	3
30	одно и то	2	2
31	не только не	2	2
32	и то же	2	2
33	тем или иным	2	2
34	в известном смысле	4	2
35	войне и мире	2	2
36	тогда как в	2	2
37	в самом деле	3	2
38	а с другой	2	2
39	мы имеем дело	4	2
40	к тому что	4	2
41	в соответствии с	7	2
42	и тем самым	6	2
43	и в то	2	2
44	в войне и	2	2
45	по большей части	5	2
46	не могло быть	2	2
