N	3gram	Losev_Vesc	Myslijsy
1	в том что	9	47
2	не может быть	22	19
3	тем не менее	11	18
4	по крайней мере	10	17
5	только тогда когда	2	17
6	и т д	36	15
7	сам по себе	4	14
8	в свою очередь	5	14
9	само по себе	4	14
10	от того что	4	13
11	то же время	4	13
12	в то же	5	13
13	во всяком случае	2	12
14	с другой стороны	3	12
15	более или менее	4	12
16	и в этом	2	12
17	подобно тому как	5	11
18	сами по себе	3	11
19	для того чтобы	2	11
20	то что я	2	10
21	в то время	4	10
22	с одной стороны	3	10
23	то и другое	6	9
24	мы не можем	3	9
25	о том что	4	9
26	на то что	7	9
27	вместе с тем	3	8
28	как бы ни	2	8
29	и то же	5	7
30	можно сказать что	3	7
31	одно и то	5	7
32	не только не	4	7
33	не только в	5	7
34	с точки зрения	6	7
35	сама по себе	7	7
36	в этом смысле	2	7
37	может быть только	6	6
38	то что мы	3	6
39	к тому что	2	5
40	и таким образом	2	5
41	и то что	5	5
42	не есть ни	12	4
43	все то что	2	4
44	что только в	2	4
45	или по крайней	2	4
46	так что в	3	4
47	вопрос о том	2	4
48	в данном случае	2	4
49	мы видели что	3	4
50	не что иное	12	4
51	с этой точки	3	4
52	в этом отношении	2	4
53	то время как	4	4
54	в собственном смысле	3	4
55	что иное как	12	4
56	дело в том	4	4
57	в том чтобы	2	4
58	бы то ни	12	3
59	из того что	3	3
60	в первом случае	2	3
61	этой точки зрения	3	3
62	я и не	2	3
63	том что он	2	3
64	в применении к	2	3
65	а не в	2	3
66	можно было бы	3	3
67	между собою и	3	3
68	в одном и	2	3
69	что то же	2	3
70	а так как	2	3
71	хотя бы и	2	3
72	заключается в том	3	3
73	есть то что	4	3
74	так или иначе	5	3
75	не есть только	5	3
76	не есть еще	2	3
77	равно как и	4	3
78	быть не только	2	2
79	не только к	2	2
80	мы говорим что	3	2
81	это значит что	25	2
82	нельзя сказать что	2	2
83	то или другое	2	2
84	так же как	2	2
85	есть прежде всего	4	2
86	только то что	3	2
87	что в ней	3	2
88	только один из	2	2
89	не потому что	5	2
90	в свое время	2	2
91	и не в	3	2
92	то ни было	12	2
93	вбирает в себя	3	2
94	что есть в	2	2
95	а следовательно и	2	2
96	того что она	2	2
97	о том как	4	2
98	в себе или	2	2
99	хотя бы даже	2	2
100	и не только	6	2
101	у нас в	2	2
102	мы имеем дело	2	2
103	или что то	2	2
104	но все же	2	2
105	потому что я	2	2
106	в себе в	4	2
