N	2gram	Kanaev_Sov	StatiiOP
1	в и	2	145
2	и в	7	103
3	в том	4	89
4	в этом	7	76
5	что в	2	74
6	не только	4	60
7	в его	2	42
8	и не	6	41
9	может быть	12	38
10	было бы	3	32
11	в этой	3	31
12	все это	3	29
13	таким образом	11	28
14	а в	4	27
15	а не	3	27
16	но в	3	26
17	что это	2	25
18	все же	3	23
19	не в	3	23
20	точки зрения	12	23
21	в области	3	22
22	прежде всего	5	22
23	у нас	3	22
24	в которой	2	22
25	и пр	2	21
26	это не	4	20
27	не может	17	18
28	самом деле	2	17
29	в самом	2	17
30	как бы	4	17
31	с этим	2	16
32	как и	6	15
33	из этих	2	15
34	у него	2	15
35	то же	3	14
36	но все	2	14
37	с точки	5	14
38	и что	2	14
39	в конце	3	13
40	в нем	3	13
41	во всяком	2	13
42	из них	4	13
43	всяком случае	2	13
44	жизни и	4	13
45	вместе с	4	13
46	не менее	2	12
47	так как	4	12
48	вопрос о	4	11
49	все эти	5	11
50	и по	2	11
51	ясно что	3	11
52	ничего не	6	10
53	в целом	4	10
54	что такое	2	10
55	в каждом	8	9
56	такого рода	2	9
57	что же	5	9
58	в одном	3	9
59	времени и	2	9
60	и к	3	9
61	для нас	3	9
62	могут быть	2	8
63	той же	2	8
64	по мнению	2	8
65	что она	3	8
66	в результате	6	8
67	тем не	2	8
68	и даже	2	8
69	совершенно не	2	8
70	такой же	2	8
71	еще более	2	8
72	уже в	3	7
73	в виде	2	7
74	что все	2	7
75	с самого	3	7
76	отличается от	3	7
77	еще не	3	7
78	на этот	2	7
79	можно назвать	2	7
80	в себе	3	6
81	из которых	2	6
82	и все	3	6
83	на его	2	6
84	и во	2	6
85	мы не	9	6
86	этих двух	2	6
87	говорить о	2	6
88	в некоторых	2	6
89	тем же	2	6
90	как он	3	5
91	точку зрения	4	5
92	и потому	3	5
93	при этом	3	5
94	самого начала	3	5
95	с одной	2	5
96	нет и	4	5
97	уже не	2	5
98	о значении	2	5
99	не могут	2	4
100	одна из	3	4
101	на этом	2	4
102	в развитии	4	4
103	с общим	2	4
104	мы видим	2	4
105	в первом	3	4
106	как мы	2	4
107	же это	4	4
108	из двух	3	4
109	в наших	3	4
110	каждая из	2	4
111	как известно	2	4
112	для его	2	4
113	свою собственную	2	4
114	а на	2	4
115	в таком	2	4
116	и именно	2	4
117	конечно в	2	3
118	или иной	2	3
119	не подлежит	3	3
120	и наконец	5	3
121	это за	2	3
122	или же	2	3
123	он должен	2	3
124	на котором	2	3
125	о жизни	2	3
126	то и	2	3
127	при таком	3	3
128	каждого из	2	3
129	со всеми	2	3
130	их в	4	3
131	в свою	2	3
132	может не	3	3
133	в один	2	3
134	то ни	2	3
135	что при	2	3
136	не дает	2	3
137	с помощью	4	3
138	в системе	3	3
139	в настоящее	2	2
140	состоит из	3	2
141	ведь это	3	2
142	свою очередь	2	2
143	отличие от	2	2
144	мы знаем	2	2
145	мы видели	4	2
146	на этой	3	2
147	настоящее время	2	2
148	между собой	3	2
149	которой он	2	2
150	в зависимости	4	2
151	и они	2	2
152	тот же	2	2
153	в которую	2	2
154	отдельном случае	5	2
155	когда мы	3	2
156	у всех	3	2
157	так сказать	2	2
158	который как	2	2
159	зависимости от	4	2
160	каждом отдельном	5	2
161	каждый раз	6	2
162	в отличие	2	2
163	значение в	2	2
164	он может	3	2
165	собою разумеется	2	2
166	роль в	2	2
167	но очень	2	2
168	же самое	2	2
169	в живом	2	2
170	быть и	2	2
171	само собою	3	2
