N	2gram	Tiupa_Disk	EvropaiE
1	и в	27	37
2	в пределах	4	25
3	точки зрения	6	23
4	что в	8	21
5	не только	36	18
6	с точки	3	17
7	в то	8	16
8	хотя бы	3	15
9	то же	12	15
10	в своем	11	14
11	но в	15	14
12	но и	22	14
13	и не	25	14
14	же время	9	14
15	в качестве	45	14
16	в этом	29	12
17	в том	29	11
18	в их	5	11
19	в области	3	11
20	так и	14	10
21	не может	17	9
22	отнюдь не	11	9
23	в себе	22	9
24	прежде всего	17	9
25	только в	9	9
26	одной стороны	12	8
27	между тем	5	8
28	в ее	4	8
29	в своей	10	8
30	с одной	12	8
31	к тому	6	8
32	по своему	3	7
33	также и	6	7
34	с другой	14	7
35	а также	15	7
36	как и	27	7
37	того что	4	7
38	том что	27	6
39	во всех	6	6
40	то есть	29	6
41	и даже	4	6
42	может быть	29	6
43	и на	8	6
44	стороны и	3	6
45	с этой	2	6
46	то что	10	6
47	как бы	9	6
48	но не	17	5
49	тем самым	6	5
50	и по	2	5
51	и потому	3	5
52	столь же	6	5
53	в той	2	5
54	как мы	2	5
55	со стороны	17	5
56	не в	8	5
57	в частности	18	5
58	одной из	4	5
59	сказать что	4	4
60	вопрос о	2	4
61	или иного	2	4
62	или иной	8	4
63	можно сказать	7	4
64	именно в	5	4
65	в процессе	6	4
66	в самом	4	4
67	мы не	2	4
68	в ней	2	4
69	по себе	3	4
70	мира в	6	4
71	той или	6	4
72	не на	3	4
73	как это	2	4
74	того или	3	4
75	никогда не	3	3
76	и от	2	3
77	в данной	3	3
78	о том	12	3
79	к ним	3	3
80	идет о	2	3
81	в данном	9	3
82	того же	5	3
83	в которых	5	3
84	когда он	3	3
85	мира и	3	3
86	в свою	3	3
87	и к	4	3
88	в результате	3	3
89	из них	6	3
90	и прежде	2	3
91	в них	6	3
92	всяком случае	2	3
93	место в	2	3
94	на себя	2	3
95	что и	5	3
96	и тем	2	3
97	по своим	4	3
98	тем что	4	3
99	этом отношении	4	3
100	не является	5	3
101	жизни в	4	3
102	в культуре	3	3
103	не более	3	3
104	потому что	7	3
105	себе не	4	3
106	представляет собой	24	3
107	как в	16	3
108	большинстве случаев	2	3
109	во всяком	3	3
110	дело в	3	3
111	известной степени	3	3
112	есть в	3	2
113	данном случае	6	2
114	для понимания	2	2
115	в мире	9	2
116	если в	2	2
117	в его	9	2
118	не есть	3	2
119	ни столь	2	2
120	и то	4	2
121	не могут	2	2
122	а в	5	2
123	с этим	3	2
124	в котором	7	2
125	заметить что	2	2
126	но как	2	2
127	в сторону	4	2
128	далеко не	10	2
129	в своих	6	2
130	в большинстве	3	2
131	и с	2	2
132	не нужно	2	2
133	в случае	2	2
134	что на	3	2
135	во втором	5	2
136	могут быть	5	2
137	по преимуществу	2	2
138	не говоря	2	2
139	другой стороны	5	2
140	в значительной	3	2
141	по своей	15	2
142	в одном	5	2
143	как их	2	2
144	в сферу	3	2
145	и как	9	2
146	что же	4	2
147	целый ряд	2	2
148	иначе говоря	5	2
149	в этих	4	2
150	но также	2	2
151	жизни и	2	2
152	в силу	5	2
153	частности в	2	2
154	более чем	3	2
155	как не	3	2
156	и того	6	2
157	а не	35	2
158	и что	2	2
159	и во	2	2
160	и наконец	2	2
161	свою очередь	3	2
162	точка зрения	3	2
163	одном из	2	2
164	начало в	2	2
165	и все	5	2
166	или в	2	2
167	таким образом	4	2
168	в истории	5	2
169	он не	4	2
170	как будто	3	2
171	говоря уже	2	2
172	не к	3	2
173	в этой	5	2
174	между собой	2	2
175	всего в	2	2
176	хотя и	3	2
177	в какой	2	2
178	должна быть	2	2
179	к той	4	2
180	вместе с	3	2
181	заключается в	3	2
182	он сам	2	2
183	имеет место	4	2
