N	2gram	Voloshinov	Sovremen
1	не может	8	17
2	точки зрения	7	12
3	может быть	8	12
4	таким образом	6	11
5	мы не	4	9
6	в каждом	4	8
7	и в	13	7
8	в этом	2	7
9	и не	8	6
10	как и	3	6
11	мы можем	4	6
12	что же	3	5
13	с точки	5	5
14	все эти	2	5
15	и наконец	5	5
16	прежде всего	9	5
17	зависимости от	2	4
18	не только	6	4
19	в том	2	4
20	в зависимости	2	4
21	мы должны	6	4
22	как бы	6	4
23	так как	3	4
24	точку зрения	3	4
25	в целом	2	4
26	а в	2	4
27	с помощью	2	4
28	и т.д	5	3
29	но в	4	3
30	с самого	2	3
31	при этом	2	3
32	но мы	4	3
33	не в	3	3
34	все же	5	3
35	было бы	4	3
36	в области	2	3
37	уже в	2	3
38	в себе	3	3
39	и все	3	3
40	все это	4	3
41	в нем	2	3
42	а не	2	3
43	и к	2	3
44	на две	2	3
45	мы получим	2	3
46	то же	4	3
47	в одном	3	3
48	самого начала	2	3
49	может иметь	2	2
50	конечно в	2	2
51	роль в	2	2
52	не менее	2	2
53	мы видим	2	2
54	в его	7	2
55	с этим	3	2
56	и пр	7	2
57	говорить об	2	2
58	в самом	2	2
59	что в	3	2
60	в которой	3	2
61	самом деле	3	2
62	могут быть	2	2
63	тот же	2	2
64	с одной	2	2
65	говорить о	3	2
66	в которую	2	2
