N	3gram	Vygotskiy_	Mirosoze
1	не может быть	6	28
2	в том что	24	9
3	для того чтобы	24	7
4	друг к другу	3	6
5	о том что	4	6
6	вместе с тем	6	6
7	и в этом	2	6
8	прежде всего в	2	5
9	и вместе с	2	5
10	до сих пор	6	5
11	от того что	2	4
12	по отношению к	9	4
13	на то что	5	4
14	заключает в себе	2	4
15	то время как	7	4
16	потому что он	4	4
17	можно было бы	5	4
18	в то время	8	4
19	том что он	2	3
20	одной и той	5	3
21	как и в	4	3
22	же как и	3	3
23	и той же	5	3
24	к тому что	10	3
25	так же как	13	3
26	по своему значению	3	3
27	не до конца	2	3
28	по сравнению с	20	3
29	и в конце	2	2
30	по своей природе	4	2
31	смысле этого слова	4	2
32	подобно тому как	2	2
33	в этом отношении	7	2
34	не только в	2	2
35	том что в	3	2
36	не могут быть	3	2
37	в том смысле	2	2
38	и не может	2	2
