N	2gram	Medvedev_S	Vladivir
1	и в	3	116
2	то что	2	71
3	не только	3	65
4	в этом	5	53
5	в том	5	52
6	том что	2	51
7	что в	2	48
8	но и	2	47
9	в конце	2	41
10	в его	3	40
11	только в	2	30
12	может быть	2	23
13	для нас	3	20
14	и что	2	20
15	таким образом	2	19
16	не в	3	18
17	было бы	2	16
18	то же	2	15
19	в результате	2	13
20	все это	7	11
21	конце концов	2	11
22	еще не	2	10
23	по существу	2	9
24	как бы	2	8
25	в смысле	2	8
26	и мы	2	7
27	за пределы	2	7
28	тем более	2	6
29	главным образом	2	6
30	в частности	2	5
31	далеко не	2	5
32	и только	3	5
33	это и	2	4
34	только как	2	3
35	дело не	2	3
36	как будто	2	3
37	нужно было	2	2
38	и заключается	2	2
39	должна быть	2	2
40	литературы и	2	2
41	заключается что	2	2
