N	2gram	Kanaev_Sov	Otkroven
1	у него	2	22
2	и в	7	19
3	и не	6	13
4	в этом	7	12
5	не только	4	11
6	не в	3	11
7	а не	3	11
8	может быть	12	11
9	и все	3	10
10	в нем	3	10
11	вопрос о	4	10
12	прежде всего	5	9
13	в его	2	7
14	как и	6	6
15	все это	3	6
16	а в	4	5
17	в том	4	5
18	в самом	2	5
19	в этой	3	5
20	что в	2	4
21	все эти	5	4
22	не может	17	4
23	в себе	3	3
24	это не	4	3
25	не могут	2	3
26	было бы	3	3
27	еще не	3	3
28	и есть	2	3
29	как бы	4	3
30	могут быть	2	3
31	это за	2	3
32	уже в	3	2
33	что же	5	2
34	что все	2	2
35	ничего не	6	2
36	и потому	3	2
37	но в	3	2
38	все же	3	2
39	он в	3	2
40	ведь это	3	2
41	так как	4	2
42	же это	4	2
43	и к	3	2
44	в которой	2	2
