N	2gram	Propp_Morf	Myshleni
1	в том	10	195
2	в этом	18	167
3	то что	10	166
4	и в	17	162
5	том что	7	161
6	таким образом	26	147
7	точки зрения	7	143
8	что в	10	119
9	не только	8	116
10	того что	3	109
11	так же	4	100
12	потому что	7	95
13	того чтобы	4	91
14	может быть	61	89
15	с точки	6	89
16	что он	5	86
17	не может	19	81
18	как и	4	79
19	так как	20	78
20	для того	3	78
21	и не	16	78
22	только в	3	75
23	в целом	5	74
24	как мы	8	72
25	но и	9	70
26	сказать что	4	65
27	как бы	6	64
28	в качестве	8	60
29	и что	3	60
30	было бы	5	60
31	представляет собой	17	60
32	то же	10	58
33	в основе	2	58
34	могли бы	2	54
35	что мы	2	53
36	между собой	5	53
37	в сущности	3	51
38	мы должны	3	50
39	к тому	5	49
40	что они	5	48
41	мы можем	5	48
42	тем что	4	48
43	мы не	8	47
44	если бы	3	46
45	но не	8	45
46	с другой	9	45
47	по отношению	7	45
48	с тем	2	43
49	как это	7	42
50	тому что	5	42
51	отношению к	7	42
52	в ходе	5	41
53	не является	4	41
54	одной стороны	2	40
55	о том	6	40
56	так и	10	39
57	с одной	2	39
58	вопрос о	10	37
59	не в	3	37
60	если мы	6	37
61	в этой	3	37
62	и к	4	37
63	мы видим	15	37
64	все эти	5	36
65	и его	3	36
66	как в	5	36
67	а не	11	36
68	можно было	4	35
69	он не	5	35
70	в которой	3	35
71	и как	6	34
72	связи с	12	34
73	приводит к	3	34
74	прежде всего	14	33
75	что и	10	32
76	по своему	2	32
77	но в	4	32
78	и тем	3	32
79	все же	9	31
80	этом отношении	2	30
81	на то	3	30
82	между тем	5	29
83	могут быть	21	29
84	от того	4	29
85	с этим	14	28
86	самом деле	4	28
87	только что	3	27
88	с этой	3	27
89	в результате	8	27
90	в то	4	27
91	перед нами	14	27
92	этом случае	10	27
93	другой стороны	5	27
94	в частности	2	26
95	что это	3	26
96	для него	2	26
97	в собственном	3	26
98	собственном смысле	3	26
99	все это	2	25
100	еще не	4	25
101	что она	2	25
102	это не	6	25
103	в чем	2	25
104	можно сказать	2	25
105	мы уже	4	25
106	целый ряд	3	24
107	в какой	3	24
108	что эта	2	24
109	того как	2	24
110	на этот	2	24
111	как уже	3	24
112	состоит в	3	23
113	друг друга	3	23
114	бы в	2	23
115	ни в	3	23
116	этот вопрос	4	23
117	во всяком	2	22
118	не могут	7	22
119	то время	3	22
120	и более	2	21
121	в нашем	6	21
122	его в	4	21
123	там где	5	21
124	показать что	4	21
125	к этому	4	21
126	ее в	3	21
127	и ее	5	21
128	не имеет	2	21
129	по существу	13	20
130	а в	8	20
131	время как	3	20
132	из них	4	20
133	в другом	2	20
134	и их	3	20
135	на вопрос	2	20
136	на этом	4	20
137	не менее	7	20
138	из этих	2	20
139	но мы	3	19
140	в данном	2	19
141	из которых	5	19
142	но если	10	19
143	а с	2	19
144	и по	3	19
145	во всех	6	19
146	один из	7	19
147	в связи	10	19
148	независимо от	4	19
149	чем в	2	18
150	всяком случае	2	18
151	но это	6	18
152	и для	4	17
153	в своих	2	17
154	в одном	2	17
155	это положение	2	17
156	и есть	3	17
157	и только	3	17
158	ту же	2	17
159	в этих	17	17
160	их в	2	17
161	тем же	2	17
162	нами в	4	17
163	в совершенно	2	17
164	у него	2	17
165	раньше чем	5	16
166	вовсе не	6	16
167	тому как	5	16
168	и другие	6	16
169	для нас	2	16
170	то в	3	16
171	и даже	2	16
172	в которых	2	16
173	мы имеем	19	16
174	данном случае	2	15
175	но как	3	15
176	является в	2	15
177	значит что	4	15
178	в начале	3	15
179	подобно тому	6	15
180	что при	3	15
181	хотя бы	5	15
182	вообще не	2	15
183	ничего не	5	15
184	он должен	3	14
185	что эти	3	14
186	одной из	2	14
187	который в	2	14
188	об этом	5	14
189	с его	3	14
190	одним из	2	14
191	и здесь	7	14
192	совершается в	2	13
193	она не	2	13
194	благодаря этому	3	13
195	на его	5	13
196	но все	4	13
197	и тот	2	13
198	в виде	3	13
199	точно так	2	13
200	связана с	3	13
201	как они	2	13
202	они не	3	13
203	если в	7	13
204	смысле слова	4	13
205	с другими	2	13
206	а затем	10	12
207	в первом	5	12
208	тем не	7	12
209	входит в	4	12
210	тем и	2	12
211	это и	3	12
212	к другу	2	12
213	в самых	2	12
214	несмотря на	4	12
215	это мы	2	12
216	в другую	2	12
217	нашей работы	2	12
218	на первый	3	12
219	ясно что	5	12
220	в одной	2	12
221	к нему	3	12
222	к другому	2	12
223	на самом	4	11
224	в каком	2	11
225	действия и	2	11
226	что этот	2	11
227	с собой	3	11
228	мы будем	3	11
229	и при	3	11
230	на котором	4	11
231	ответ на	2	11
232	например в	2	11
233	в других	5	11
234	в пределах	3	11
235	не означает	2	11
236	мы увидим	10	11
237	наряду с	7	11
238	в один	3	11
239	или менее	2	11
240	не знает	2	11
241	не по	2	11
242	здесь мы	3	10
243	у нас	3	10
244	что такое	3	10
245	вслед за	5	10
246	вопроса о	3	10
247	в основу	2	10
248	представляют собой	16	10
249	что его	4	10
250	но для	3	10
251	на друга	2	10
252	во второй	2	10
253	вытекает из	2	10
254	чем это	2	10
255	и у	3	10
256	друг на	2	10
257	перейти к	2	10
258	учение о	5	10
259	что именно	2	10
260	также и	6	9
261	только для	2	9
262	он может	2	9
263	а по	3	9
264	животных и	3	9
265	друг к	2	9
266	хотя и	5	9
267	в тех	8	9
268	более или	2	9
269	приводят к	3	9
270	должны быть	2	9
271	то как	2	9
272	та же	3	9
273	оно не	2	9
274	но с	2	9
275	иначе чем	2	9
276	может не	2	9
277	что же	2	9
278	в ином	3	9
279	не с	2	9
280	говорить о	4	9
281	или в	6	9
282	относятся к	2	8
283	во время	6	8
284	со стороны	5	8
285	главным образом	5	8
286	и др	12	8
287	увидим что	2	8
288	из двух	3	8
289	а другой	2	8
290	с логической	2	8
291	не на	2	8
292	рассматриваться как	3	8
293	и функции	3	8
294	том как	2	8
295	один раз	2	8
296	к другой	2	8
297	и тогда	3	8
298	при помощи	12	7
299	к вопросу	2	7
300	должна быть	2	7
301	первом случае	3	7
302	а также	7	7
303	с теми	4	7
304	же в	3	7
305	его и	2	7
306	не существует	3	7
307	к целому	2	7
308	следующим образом	4	7
309	во втором	7	7
310	на него	4	7
311	но они	2	7
312	без всякого	2	7
313	вывод что	2	7
314	в ход	3	7
315	в обоих	2	7
316	ничем не	2	7
317	случае не	4	7
318	значение и	3	6
319	к началу	4	6
320	это было	3	6
321	что иное	2	6
322	обоих случаях	2	6
323	как таковой	2	6
324	роль в	2	6
325	как например	2	6
326	и больше	2	6
327	уже не	4	6
328	эти функции	2	6
329	в отдельных	3	6
330	иное как	2	6
331	и таким	2	6
332	но так	2	6
333	вопросу о	2	6
334	ответить на	2	6
335	момент когда	3	6
336	и другим	3	6
337	этот момент	5	6
338	одна из	5	6
339	образом мы	7	6
340	мы постараемся	2	6
341	тех же	4	6
342	очень часто	6	6
343	к ней	3	6
344	не что	2	6
345	увидим ниже	6	6
346	оно может	4	6
347	к чему	3	6
348	в различных	2	6
349	мы приходим	3	5
350	от него	2	5
351	то мы	5	5
352	у нее	2	5
353	если это	3	5
354	это так	2	5
355	вопрос в	2	5
356	идет по	2	5
357	в свое	2	5
358	при определении	2	5
359	себя в	2	5
360	самых различных	2	5
361	из ряда	3	5
362	в данной	2	5
363	заметить что	11	5
364	возникает вопрос	3	5
365	видим что	12	5
366	тех случаях	2	5
367	а потому	2	5
368	в наши	2	5
369	встречается в	4	5
370	никто не	4	5
371	случаях когда	2	5
372	или на	3	5
373	прежде чем	5	5
374	есть нечто	3	5
375	когда в	2	5
376	затем уже	2	5
377	дело не	2	5
378	самого себя	2	5
379	как такового	2	5
380	что функции	4	5
381	в форме	6	5
382	кроме того	3	5
383	а потом	2	4
384	на пути	4	4
385	от других	2	4
386	так например	3	4
387	с того	3	4
388	однако в	2	4
389	эти формы	2	4
390	в одну	2	4
391	или не	3	4
392	этой формы	3	4
393	если он	2	4
394	в море	5	4
395	не происходит	3	4
396	означает что	3	4
397	как таковое	3	4
398	составные части	10	4
399	должны будем	2	4
400	совсем не	3	4
401	и когда	2	4
402	из его	2	4
403	бы то	3	4
404	лишь после	2	4
405	но эти	3	4
406	собой в	2	4
407	также в	2	4
408	может существовать	3	4
409	в середине	2	4
410	она в	2	4
411	ни было	2	4
412	себя и	2	4
413	функции не	2	4
414	могут иметь	2	4
415	превращается в	2	4
416	то здесь	3	4
417	огромное значение	2	4
418	есть и	4	4
419	иное чем	3	4
420	что там	2	4
421	путь к	2	4
422	как будто	2	4
423	в очень	2	4
424	бы они	2	4
425	или по	2	4
426	здесь не	3	4
427	приходим к	3	4
428	о его	4	4
429	то это	5	4
430	как их	2	4
431	за ней	2	4
432	эта функция	4	4
433	начинается с	5	4
434	в некоторых	4	4
435	вопрос как	3	4
436	а и	3	3
437	не входит	2	3
438	он получает	2	3
439	как же	3	3
440	такой случай	2	3
441	поставить вопрос	2	3
442	эта форма	14	3
443	о происхождении	2	3
444	и задачи	2	3
445	самым различным	2	3
446	и затем	5	3
447	вот как	2	3
448	вопрос что	3	3
449	и становятся	2	3
450	следует за	3	3
451	тогда как	2	3
452	функций между	2	3
453	это еще	2	3
454	сразу и	2	3
455	если она	2	3
456	нельзя было	2	3
457	ход и	2	3
458	как таковая	2	3
459	или нет	2	3
460	это явление	5	3
461	при различных	2	3
462	всех других	2	3
463	не так	2	3
464	и этот	2	3
465	за которым	2	3
466	без всякой	2	3
467	их на	2	3
468	не исключает	2	3
469	появляется в	2	3
470	далеко не	5	3
471	для каждой	3	3
472	другу и	2	3
473	они даны	2	3
474	имеем в	8	3
475	связи функций	2	3
476	в плоскости	3	3
477	если же	5	3
478	момент в	2	3
479	многих других	2	3
480	в глаза	2	3
481	оно как	2	3
482	в настоящее	3	3
483	с двумя	2	3
484	нам еще	2	3
485	все известные	2	3
486	настоящее время	3	3
487	и наоборот	4	3
488	на ход	2	3
489	раз он	3	3
490	этого момента	3	3
491	могла бы	4	3
492	ее из	2	3
493	то ни	3	3
494	это делается	2	3
495	и пр	45	3
496	в научной	2	3
497	в большинстве	3	3
498	на другие	2	3
499	этих случаях	15	3
500	показать как	2	2
501	состоит из	3	2
502	большинстве случаев	3	2
503	а во	3	2
504	но здесь	2	2
505	эти задачи	2	2
506	вступают в	3	2
507	ни одна	4	2
508	связывается с	3	2
509	случае он	2	2
510	можно сделать	2	2
511	ни к	2	2
512	или другой	2	2
513	другой не	2	2
514	это можно	2	2
515	входить в	2	2
516	уже видели	2	2
517	в таких	3	2
518	существовать без	2	2
519	за другим	2	2
520	не всегда	10	2
521	этого не	2	2
522	в руки	4	2
523	из первых	2	2
524	а то	3	2
525	как то	2	2
526	так называемых	2	2
527	как эти	2	2
528	очень многих	3	2
529	или наоборот	2	2
530	имеет свои	2	2
531	совершенно другой	2	2
532	который может	3	2
533	он действует	2	2
534	играют в	2	2
535	заставляет его	2	2
536	на составные	2	2
537	или с	3	2
538	что ни	2	2
539	вопрос не	2	2
540	все еще	3	2
541	что изучение	3	2
542	для этой	3	2
543	в точности	5	2
544	а если	4	2
545	и вне	3	2
546	задачи в	4	2
547	но вот	2	2
548	и т	62	2
549	другого и	2	2
550	лишь на	2	2
551	так если	3	2
552	мы получаем	2	2
553	их как	2	2
554	даже не	3	2
555	к себе	2	2
556	на новые	2	2
557	то можно	5	2
558	они и	5	2
559	всегда требует	2	2
560	является результатом	2	2
561	на той	2	2
562	здесь же	3	2
563	и вызывает	3	2
564	увидеть что	2	2
565	стороны ее	2	2
566	с этого	2	2
567	том случае	3	2
568	случае если	2	2
569	от другого	3	2
570	образом если	2	2
571	другой вопрос	2	2
572	не хватает	4	2
573	на нем	3	2
574	должны рассматриваться	3	2
575	же может	2	2
576	можно назвать	3	2
577	может дать	2	2
