N	2gram	Bakhtin_Pr	Mirosoze
1	и в	38	97
2	может быть	26	64
3	не только	9	63
4	в этом	15	55
5	но и	9	54
6	он не	3	53
7	а не	5	53
8	в нем	15	49
9	не может	27	49
10	и не	42	39
11	никогда не	5	38
12	в ней	4	37
13	не было	2	36
14	не в	7	34
15	и есть	2	33
16	человека в	2	30
17	есть лишь	3	30
18	не есть	6	30
19	прежде всего	13	29
20	как и	7	29
21	но в	4	27
22	и он	2	27
23	в мире	3	27
24	и это	3	25
25	в своей	7	25
26	и все	3	24
27	у нас	2	24
28	в своем	5	23
29	что в	7	23
30	что он	2	22
31	в самом	7	21
32	в себе	4	20
33	отношение к	10	20
34	в россии	2	19
35	как бы	22	19
36	ивана карамазова	2	18
37	в его	43	18
38	и потому	4	17
39	того что	2	17
40	в том	8	16
41	том что	3	16
42	то что	8	16
43	было бы	8	16
44	и его	16	16
45	не знает	3	15
46	в котором	2	15
47	она не	2	14
48	человек в	2	14
49	и на	3	13
50	это не	5	12
51	и у	2	12
52	к нему	10	12
53	смысле слова	2	12
54	в них	5	12
55	все это	3	12
56	но не	12	12
57	но это	3	11
58	менее всего	3	11
59	хотя бы	4	11
60	только в	13	11
61	как в	4	11
62	и для	11	11
63	и к	3	11
64	не могут	2	10
65	есть не	2	10
66	должна быть	4	10
67	то же	5	10
68	не имеет	9	10
69	в самой	2	10
70	а в	6	9
71	что и	2	9
72	и во	2	9
73	я не	2	9
74	должно быть	5	9
75	то есть	46	9
76	все что	3	9
77	в свою	2	9
78	с ним	5	9
79	лишь в	2	9
80	ничего не	6	8
81	от него	3	8
82	в этих	2	8
83	они не	3	8
84	что не	4	8
85	того чтобы	2	8
86	с его	2	8
87	себя в	2	8
88	за пределы	12	8
89	тем что	2	8
90	для того	2	8
91	нет и	3	8
92	о том	4	8
93	и с	17	8
94	высшей степени	5	7
95	должен быть	2	7
96	что все	2	7
97	точки зрения	8	7
98	себя и	3	7
99	на этом	2	7
100	в высшей	5	7
101	также и	3	7
102	в нашем	4	7
103	отношения к	6	7
104	во всем	2	7
105	чем в	2	7
106	его в	9	6
107	в ее	4	6
108	его не	2	6
109	и те	2	6
110	и от	3	6
111	что это	2	6
112	можно было	4	6
113	если бы	3	6
114	бы не	2	6
115	к чему	2	6
116	и более	2	6
117	на то	2	6
118	и здесь	2	6
119	не к	6	6
120	оно не	3	5
121	в то	4	5
122	к которому	4	5
123	лишь момент	3	5
124	в их	10	5
125	так и	5	5
126	в более	4	5
127	должны быть	4	5
128	сказать что	4	5
129	в основе	5	5
130	да и	3	5
131	и мир	2	5
132	вопроса о	3	5
133	с самим	2	5
134	отличается от	2	5
135	и как	8	5
136	мы увидим	3	5
137	еще не	7	5
138	культуры и	3	5
139	по отношению	21	4
140	в каждом	2	4
141	к себе	2	4
142	как к	2	4
143	он должен	2	4
144	не всегда	6	4
145	в чем	2	4
146	в него	2	4
147	и этим	6	4
148	место в	8	4
149	могут быть	5	4
150	в начале	2	4
151	все эти	5	4
152	мир в	2	4
153	в истории	2	4
154	не все	2	4
155	к миру	3	4
156	и даже	3	4
157	ни в	11	4
158	человека как	2	4
159	и только	4	4
160	особенно в	2	4
161	отношению к	19	4
162	ни с	2	4
163	понять его	4	4
164	в своих	2	4
165	и что	2	4
166	к его	2	3
167	в иных	3	3
168	можно и	2	3
169	не остается	2	3
170	а лишь	2	3
171	и тем	3	3
172	но она	2	3
173	все же	6	3
174	она может	3	3
175	мы должны	2	3
176	между тем	7	3
177	в виду	4	3
178	что оно	2	3
179	души и	2	3
180	хотя и	3	3
181	проникает в	2	3
182	но нельзя	2	3
183	а к	2	3
184	и эта	2	3
185	к этому	2	3
186	конечно не	5	3
187	в значительной	2	3
188	от всех	4	3
189	со всеми	3	3
190	чем не	2	3
191	в пределах	6	3
192	лишь как	4	3
193	во всех	11	3
194	не с	4	3
195	есть выражение	2	3
196	он может	2	3
197	на почве	3	3
198	не вполне	2	3
199	входит в	8	3
200	приводит к	3	3
201	их и	2	3
202	лишь для	2	3
203	и должно	3	3
204	но с	3	3
205	на самом	4	2
206	к личности	2	2
207	в плане	7	2
208	или иной	2	2
209	не имеют	2	2
210	есть только	2	2
211	а как	3	2
212	и других	2	2
213	к своему	2	2
214	самом деле	6	2
215	тем как	5	2
216	была бы	2	2
217	от них	2	2
218	не менее	4	2
219	тем самым	4	2
220	между ними	4	2
221	дано в	3	2
222	художник и	2	2
223	связи с	2	2
224	связаны с	2	2
225	и ее	2	2
226	столь же	2	2
227	направленной на	4	2
228	относится к	4	2
229	самим собою	2	2
230	не могли	2	2
231	его как	3	2
232	этом отношении	2	2
233	можно сделать	2	2
234	за его	3	2
235	и о	5	2
236	ни к	2	2
237	но они	4	2
238	в какой	2	2
239	это отношение	2	2
240	с предметом	2	2
241	и искусства	2	2
242	так называемый	2	2
243	вообще не	7	2
244	с другой	7	2
245	отношения и	2	2
246	и именно	2	2
247	характерно для	2	2
248	момент его	2	2
249	природу и	3	2
250	что эта	2	2
251	и весь	2	2
