N	2gram	Medvedev_F	slovoVRo
1	и в	54	92
2	и т	22	82
3	т п	11	72
4	в нем	25	59
5	может быть	30	59
6	и его	27	59
7	и не	34	51
8	не только	14	44
9	не может	26	41
10	но и	18	39
11	до конца	9	37
12	литературного языка	3	37
13	в этом	39	36
14	а не	11	34
15	во всех	9	32
16	так и	24	30
17	точки зрения	21	30
18	могут быть	7	29
19	и др	8	29
20	языка и	13	29
21	в пределах	13	29
22	в его	30	27
23	слова в	2	26
24	все это	11	25
25	языка в	8	25
26	слово в	2	24
27	слова и	5	24
28	как бы	10	24
29	то же	16	23
30	и на	10	22
31	не в	16	21
32	в сущности	3	21
33	как в	12	21
34	вовсе не	18	21
35	в то	14	20
36	в процессе	17	20
37	прежде всего	34	19
38	как мы	10	19
39	как и	18	18
40	язык и	8	18
41	же время	13	18
42	с ним	3	18
43	все же	8	17
44	оно не	6	17
45	все эти	12	17
46	в истории	10	17
47	в основе	7	17
48	и даже	7	17
49	в большинстве	6	17
50	таким образом	28	17
51	отличие от	2	16
52	при этом	14	16
53	в них	4	16
54	но в	9	16
55	литературный язык	6	15
56	там где	3	15
57	и с	17	15
58	в той	3	15
59	с точки	17	15
60	в отличие	2	14
61	так сказать	6	14
62	только в	6	14
63	это не	4	13
64	точка зрения	3	13
65	с его	12	13
66	в особенности	7	13
67	отношении к	2	13
68	и для	5	13
69	с другой	8	13
70	поэтического слова	3	13
71	на фоне	7	13
72	в слове	4	13
73	никогда не	6	12
74	в отношении	3	12
75	и потому	9	12
76	отношение к	4	12
77	а в	11	12
78	или в	2	12
79	во всяком	6	12
80	и наконец	7	12
81	еще не	6	12
82	и к	7	12
83	один из	4	11
84	языка как	11	11
85	большинстве случаев	5	11
86	на его	2	11
87	одной стороны	5	11
88	слова как	2	11
89	в этих	3	11
90	язык в	2	11
91	с одной	5	11
92	для него	9	11
93	роман и	2	11
94	в своем	12	10
95	и их	13	10
96	в том	17	10
97	и все	9	10
98	она не	8	10
99	в себе	4	10
100	с другими	11	10
101	всех этих	6	10
102	в него	2	10
103	т д	11	10
104	лишь в	15	10
105	в языке	5	10
106	далеко не	2	10
107	уже не	9	10
108	его в	5	9
109	и от	9	9
110	у толстого	2	9
111	и других	4	9
112	в основном	3	9
113	или менее	7	9
114	более того	6	9
115	к нему	3	9
116	более или	7	9
117	здесь в	2	9
118	в их	16	9
119	в своей	16	9
120	сказать что	3	9
121	одна из	2	9
122	так как	4	9
123	языка а	4	9
124	с ее	7	9
125	языком и	2	9
126	но не	5	9
127	в смысле	2	9
128	на почве	20	9
129	конечно не	5	9
130	он не	8	9
131	быть и	5	9
132	не могут	8	8
133	п в	2	8
134	в поэтическом	6	8
135	установка на	3	8
136	в зависимости	4	8
137	в ней	15	8
138	не на	3	8
139	все время	7	8
140	с этим	6	8
141	в значительной	3	8
142	зависимости от	5	8
143	в самом	17	8
144	входит в	8	8
145	всяком случае	6	8
146	стиля и	2	7
147	перед нами	3	7
148	том что	3	7
149	от него	2	7
150	друг друга	4	7
151	язык как	8	7
152	но именно	2	7
153	по преимуществу	6	7
154	его не	2	7
155	в целом	7	7
156	у тургенева	2	7
157	связи с	12	7
158	известной степени	4	7
159	смысла и	3	7
160	мышления и	2	7
161	слово и	2	7
162	и иных	2	7
163	значительной степени	3	7
164	здесь не	5	7
165	за пределы	2	7
166	но все	4	7
167	еще более	6	7
168	жизни и	10	7
169	на своем	3	7
170	не было	7	7
171	и непосредственно	4	7
172	в таком	2	7
173	кроме того	3	7
174	же и	2	7
175	во всем	3	7
176	даже в	2	6
177	ничего не	5	6
178	наконец в	3	6
179	как к	5	6
180	роль в	2	6
181	на этом	2	6
182	единство и	2	6
183	языка то	2	6
184	что в	10	6
185	поэтического стиля	2	6
186	ни в	3	6
187	нем и	2	6
188	в контексте	2	6
189	в качестве	2	6
190	можно сказать	2	6
191	другой стороны	5	6
192	говорить о	4	6
193	в новое	2	6
194	этого языка	2	6
195	и здесь	8	6
196	стороны и	4	6
197	хотя бы	10	6
198	взаимодействии с	3	6
199	он в	3	6
200	именно в	12	6
201	в свою	8	6
202	подхода к	4	6
203	по себе	10	6
204	в одном	2	6
205	со всею	5	6
206	эпохи и	2	6
207	между тем	4	6
208	становления и	3	6
209	языка не	2	5
210	между этими	2	5
211	в каждом	3	5
212	не как	7	5
213	а как	5	5
214	только на	8	5
215	а вовсе	2	5
216	характерно что	2	5
217	поэтического языка	63	5
218	не менее	12	5
219	в поэзии	5	5
220	отношению к	4	5
221	и форм	2	5
222	мы не	6	5
223	и по	3	5
224	должен быть	5	5
225	эти формы	2	5
226	в других	5	5
227	хотя и	3	5
228	особенно в	6	5
229	для этого	6	5
230	в данном	2	5
231	по отношению	4	5
232	с их	2	5
233	в результате	8	5
234	идеологического становления	2	5
235	связанных с	2	5
236	борьба с	5	5
237	и может	6	5
238	этом отношении	7	5
239	не является	3	5
240	для того	3	5
241	его и	2	5
242	должна быть	11	5
243	и более	4	5
244	не с	2	5
245	как такового	8	5
246	они не	7	5
247	в дальнейшем	3	5
248	системы языка	2	5
249	и этим	2	5
250	к его	3	5
251	той же	2	5
252	в чужом	2	5
253	или даже	3	5
254	и чисто	2	5
255	в противовес	2	5
256	как его	3	5
257	но он	2	5
258	с помощью	13	5
259	вместе с	8	5
260	литературы и	6	4
261	следовательно и	2	4
262	в различных	2	4
263	для всех	2	4
264	к предмету	4	4
265	так же	5	4
266	но как	2	4
267	и ее	15	4
268	а на	2	4
269	оно было	3	4
270	в другом	2	4
271	в понимании	7	4
272	что и	10	4
273	ни были	2	4
274	в виду	2	4
275	что он	8	4
276	он должен	4	4
277	свою очередь	6	4
278	в виде	2	4
279	влияние на	3	4
280	в частности	4	4
281	истории литературы	18	4
282	от других	2	4
283	того что	7	4
284	мы видели	5	4
285	как предмет	3	4
286	до сих	7	4
287	но конечно	2	4
288	лучшем случае	3	4
289	речи и	2	4
290	именно как	14	4
291	даже и	5	4
292	так в	3	4
293	в чем	2	4
294	что оно	4	4
295	языку как	2	4
296	не столько	5	4
297	того чтобы	4	4
298	одним словом	8	4
299	и во	2	4
300	всех своих	2	4
301	же как	3	4
302	и стилей	2	4
303	только и	7	4
304	одной из	2	4
305	характер и	2	4
306	с этими	2	4
307	но это	4	4
308	бы ни	5	4
309	его как	5	4
310	в которой	5	4
311	громадное значение	3	4
312	и как	6	4
313	если бы	8	4
314	языковой системы	2	4
315	своего исторического	2	4
316	с этой	4	4
317	со всеми	3	4
