N	2gram	Propp_Morf	formyVre
1	и в	17	148
2	в этом	18	73
3	прежде всего	14	46
4	и т	62	40
5	и не	16	37
6	и его	3	36
7	вовсе не	6	35
8	но и	9	33
9	то же	10	32
10	не только	8	32
11	но в	4	31
12	так и	10	29
13	может быть	61	27
14	не в	3	26
15	как мы	8	26
16	как и	4	25
17	как бы	6	25
18	мы уже	4	24
19	точки зрения	7	24
20	в то	4	23
21	только в	3	23
22	то что	10	22
23	в том	10	22
24	все эти	5	21
25	связи с	12	21
26	во всех	6	21
27	и др	12	19
28	и для	4	19
29	у него	2	18
30	по существу	13	18
31	еще не	4	18
32	таким образом	26	18
33	с этим	14	17
34	так как	20	17
35	в пределах	3	17
36	все же	9	16
37	в связи	10	16
38	в основе	2	16
39	не может	19	16
40	и их	3	16
41	в одном	2	15
42	с точки	6	15
43	с его	3	15
44	так же	4	14
45	все это	2	14
46	и как	6	14
47	а не	11	14
48	роль в	2	13
49	в частности	2	13
50	а в	8	13
51	того чтобы	4	13
52	же в	3	13
53	во время	6	13
54	для того	3	13
55	как в	5	13
56	ничего не	5	12
57	значение и	3	12
58	но не	8	12
59	потому что	7	12
60	он не	5	12
61	что в	10	12
62	его в	4	11
63	и у	3	11
64	в образе	6	11
65	хотя и	5	11
66	ни в	3	11
67	из них	4	11
68	со смертью	2	10
69	здесь не	3	10
70	кроме того	3	10
71	и другие	6	10
72	также и	6	10
73	входит в	4	10
74	уже не	4	10
75	в большинстве	3	10
76	могут быть	21	9
77	к себе	2	9
78	в других	5	9
79	наряду с	7	9
80	том что	7	9
81	и даже	2	9
82	та же	3	9
83	с другой	9	9
84	для него	2	9
85	но все	4	9
86	их в	2	9
87	оно не	2	9
88	это не	6	8
89	к тому	5	8
90	в целом	5	8
91	большинстве случаев	3	8
92	один из	7	8
93	что и	10	8
94	во всяком	2	8
95	здесь мы	3	8
96	а также	7	8
97	время как	3	8
98	но эти	3	8
99	в результате	8	8
100	и по	3	8
101	если бы	3	8
102	героя и	3	8
103	в этих	17	8
104	отношению к	7	8
105	с одной	2	8
106	и к	4	8
107	в некоторых	4	8
108	не знает	2	7
109	того что	3	7
110	между собой	5	7
111	было бы	5	7
112	себя и	2	7
113	например в	2	7
114	к этому	4	7
115	из этих	2	7
116	в которой	3	7
117	т д	60	7
118	этом отношении	2	7
119	ее в	3	7
120	то время	3	7
121	в форме	6	7
122	не могут	7	6
123	и ее	5	6
124	есть и	4	6
125	одной из	2	6
126	с тем	2	6
127	ту же	2	6
128	одной стороны	2	6
129	в основу	2	6
130	мы видим	15	6
131	в качестве	8	6
132	сказать что	4	6
133	тех же	4	6
134	в начале	3	6
135	мы не	8	6
136	мы можем	5	6
137	на первый	3	6
138	в сущности	3	6
139	не является	4	6
140	только для	2	6
141	смысле слова	4	6
142	о том	6	6
143	имеем в	8	6
