N	2gram	Ircho_Kome	Morfolog
1	и т	5	62
2	может быть	14	61
3	таким образом	16	26
4	т е	18	25
5	действующих лиц	7	22
6	могут быть	3	21
7	так как	16	20
8	мы имеем	4	19
9	не может	9	19
10	в этом	18	18
11	в этих	2	17
12	представляет собой	5	17
13	и в	37	17
14	и не	28	16
15	представляют собой	3	16
16	мы видим	2	15
17	с этим	5	14
18	прежде всего	7	14
19	по существу	4	13
20	связи с	5	12
21	чаще всего	2	11
22	а не	5	11
23	вопрос о	2	10
24	но если	3	10
25	то же	14	10
26	в том	24	10
27	не всегда	2	10
28	то что	5	10
29	так и	4	10
30	что в	11	10
31	что и	12	10
32	а затем	4	10
33	в связи	4	10
34	этом случае	2	10
35	все же	9	9
36	но и	18	9
37	с другой	5	9
38	из дома	8	9
39	не только	13	8
40	в тех	4	8
41	в результате	2	8
42	но не	9	8
43	а в	12	8
44	имеем в	2	8
45	мы не	6	8
46	в качестве	4	8
47	как мы	6	8
48	не могут	2	7
49	том что	22	7
50	если в	4	7
51	по отношению	6	7
52	тем не	3	7
53	наряду с	4	7
54	не менее	9	7
55	отношению к	4	7
56	как это	5	7
57	а также	3	7
58	и здесь	11	7
59	и этим	3	7
60	точки зрения	8	7
61	во втором	2	7
62	один из	6	7
63	потому что	19	7
64	это не	3	6
65	во всех	4	6
66	и как	3	6
67	во время	8	6
68	о том	21	6
69	если мы	2	6
70	в образе	5	6
71	с точки	6	6
72	как бы	7	6
73	вовсе не	6	6
74	ничего не	6	5
75	и ее	3	5
76	хотя бы	5	5
77	мы можем	7	5
78	было бы	7	5
79	об этом	12	5
80	то мы	2	5
81	со стороны	16	5
82	что он	15	5
83	начинается с	2	5
84	как в	4	5
85	то это	5	5
86	далеко не	3	5
87	тому что	5	5
88	прежде чем	4	5
89	к тому	11	5
90	из которых	7	5
91	между тем	6	5
92	в целом	4	5
93	видно что	2	5
94	главным образом	2	5
95	другой стороны	2	5
96	между собой	5	5
97	на его	5	5
98	в других	4	5
99	что они	3	5
100	он не	11	5
101	в первом	2	5
102	если же	2	5
103	хотя и	6	5
104	ясно что	12	5
105	сказать что	4	4
106	его в	9	4
107	к началу	3	4
108	тех же	3	4
109	независимо от	4	4
110	так же	8	4
111	в то	14	4
112	можно было	3	4
113	в руки	2	4
114	к этому	11	4
115	на него	6	4
116	тем что	12	4
117	не является	5	4
118	еще не	10	4
119	самом деле	13	4
120	из них	11	4
121	но в	7	4
122	но все	5	4
123	что его	10	4
124	и для	7	4
125	как и	10	4
126	этот вопрос	2	4
127	и к	4	4
128	на этом	3	4
129	несмотря на	7	4
130	№ и	2	4
131	того чтобы	9	4
132	о его	4	4
133	на пути	2	4
134	говорить о	6	4
135	никто не	2	4
136	от того	2	4
137	как же	2	3
138	время как	3	3
139	не слишком	5	3
140	здесь не	2	3
141	в которой	6	3
142	а на	3	3
143	то ни	4	3
144	даже не	5	3
145	всего это	2	3
146	и у	4	3
147	целый ряд	5	3
148	друг друга	7	3
149	только что	11	3
150	если бы	18	3
151	и тем	4	3
152	же можно	2	3
153	сам он	3	3
154	из двух	3	3
155	не в	7	3
156	для того	9	3
157	с этой	5	3
158	к ней	9	3
159	в пределах	3	3
160	в какой	4	3
161	приводит к	4	3
162	к нему	8	3
163	они не	2	3
164	на то	3	3
165	ни в	14	3
166	состоит в	2	3
167	с собой	4	3
168	с просьбой	3	3
169	а по	5	3
170	в начале	5	3
171	и что	8	3
172	то время	3	3
173	и по	3	3
174	же в	3	3
175	и его	10	3
176	только в	3	3
177	в сущности	3	3
178	и есть	3	3
179	все еще	2	3
180	в этой	7	3
181	из дому	10	3
182	по всему	3	3
183	бы то	3	3
184	с его	6	3
185	и когда	2	2
186	же между	2	2
187	в доме	17	2
188	себя в	3	2
189	как например	2	2
190	действия и	2	2
191	из этих	2	2
192	том как	5	2
193	от него	2	2
194	одной стороны	4	2
195	дело не	2	2
196	бы в	5	2
197	во второй	2	2
198	у нее	2	2
199	ответ на	7	2
200	если она	2	2
201	ее из	2	2
202	в обоих	2	2
203	в глаза	3	2
204	к себе	9	2
205	в другом	2	2
206	также в	2	2
207	ее отца	3	2
208	и даже	6	2
209	по очереди	2	2
210	и тот	6	2
211	сразу же	5	2
212	или менее	2	2
213	что она	10	2
214	роль в	3	2
215	в жены	6	2
216	после чего	2	2
217	этом отношении	2	2
218	не на	3	2
219	в частности	4	2
220	только для	2	2
221	ни было	3	2
222	одним из	2	2
223	ничем не	4	2
224	вывод что	2	2
225	его и	3	2
226	на вопрос	5	2
227	что ни	7	2
228	в чем	7	2
229	не знает	7	2
230	с одной	5	2
231	сына и	2	2
232	должна быть	2	2
233	в свое	2	2
234	а с	2	2
235	вопрос не	2	2
236	не с	2	2
237	одной из	4	2
238	не по	7	2
239	на этот	6	2
240	с тем	6	2
241	не так	4	2
242	к вопросу	2	2
243	не имеет	6	2
244	она не	3	2
245	друг за	2	2
246	более или	2	2
247	их в	3	2
248	ни одной	2	2
249	один раз	2	2
250	в своих	4	2
251	в которых	7	2
252	за другом	2	2
253	однако в	5	2
254	с другими	2	2
255	если он	3	2
256	для нас	7	2
257	такую же	3	2
258	что мы	4	2
259	что же	2	2
260	в одной	2	2
261	всяком случае	3	2
262	к другому	2	2
263	незадолго до	2	2
264	что эта	2	2
265	за ней	2	2
266	себя и	2	2
267	все это	7	2
268	в основе	3	2
269	у него	10	2
270	как будто	3	2
271	например в	3	2
272	из его	3	2
273	который в	3	2
274	в одном	3	2
275	во всяком	3	2
276	без всякого	2	2
277	от отца	4	2
278	по своему	3	2
279	тем же	3	2
280	того как	5	2
281	чем в	5	2
