N	3gram	Bakhtin_Pr	Dialekti
1	с точки зрения	6	46
2	в том что	3	25
3	не может быть	11	18
4	тем не менее	3	16
5	то же время	3	15
6	в то же	3	14
7	с другой стороны	4	12
8	в самом деле	3	10
9	то или иное	2	9
10	в этом смысле	3	8
11	той или иной	2	7
12	можно сказать что	2	7
13	и в частности	2	7
14	коем случае не	2	6
15	в коем случае	2	6
16	и прежде всего	5	6
17	для того чтобы	2	6
18	ни в коем	2	6
19	с одной стороны	3	6
20	и в то	2	6
21	на самом деле	3	5
22	на первый план	2	5
23	то же самое	2	4
24	может быть только	3	4
25	в данном случае	4	4
26	не может и	2	4
27	и т п	13	4
28	ни в чем	2	4
29	в этом отношении	2	4
30	можно было бы	3	4
31	не могут быть	2	4
32	мы можем сказать	2	4
33	может и не	2	4
34	бы то ни	3	3
35	души и тела	2	3
36	точки зрения самого	2	3
37	и в нем	3	3
38	не только в	2	3
39	и не может	2	3
40	есть таким образом	2	3
41	того или иного	2	3
42	не выходя за	3	2
43	и не должна	2	2
44	никогда не может	2	2
45	в чем не	2	2
46	в лучшем случае	2	2
47	далеко не всегда	3	2
48	выходя за пределы	2	2
49	за его пределы	2	2
50	имеет место в	2	2
51	мы имеем дело	2	2
