N	2gram	Bakhtin_fo	EvropaiC
1	таким образом	14	34
2	в том	16	31
3	и в	84	24
4	том что	7	20
5	все эти	12	19
6	не может	8	18
7	то что	13	18
8	может быть	18	17
9	до сих	4	15
10	все же	12	15
11	сих пор	4	15
12	точки зрения	14	14
13	в этом	41	13
14	все это	10	13
15	в своем	8	12
16	с этим	11	12
17	самом деле	2	12
18	по отношению	3	11
19	но и	14	11
20	отношению к	5	11
21	не только	16	10
22	так и	17	10
23	во всех	13	10
24	как и	15	10
25	все что	2	10
26	как бы	11	10
27	в результате	6	9
28	друг с	5	9
29	и не	19	9
30	не в	10	9
31	что в	9	9
32	и все	10	9
33	с другом	5	9
34	того же	9	9
35	потому что	11	9
36	при этом	8	9
37	так же	7	8
38	из этих	5	8
39	если бы	6	8
40	для того	12	8
41	к тому	6	8
42	в самом	9	8
43	того чтобы	11	8
44	с точки	9	8
45	мы говорили	3	8
46	ясно что	2	8
47	так как	12	7
48	что он	2	7
49	того что	5	7
50	о том	4	7
51	что и	5	7
52	в этой	3	7
53	по существу	17	7
54	вместе с	9	7
55	в мире	4	6
56	только в	12	6
57	все они	4	6
58	у них	4	6
59	еще не	8	6
60	друг от	2	6
61	так что	4	6
62	в то	13	6
63	и для	12	6
64	с другой	4	6
65	от друга	2	6
66	и на	13	6
67	мы можем	2	6
68	как на	2	6
69	тому же	2	6
70	с ним	5	6
71	и от	3	5
72	его в	8	5
73	но все	6	5
74	по сравнению	3	5
75	в себе	7	5
76	должно быть	6	5
77	к этому	5	5
78	оказывается что	2	5
79	в которой	3	5
80	лишь в	8	5
81	и их	11	5
82	из них	8	5
83	по своему	3	5
84	у него	8	5
85	что все	4	5
86	далеко не	3	5
87	но в	16	5
88	именно в	5	5
89	и с	10	5
90	и к	4	5
91	в целом	2	5
92	между двумя	6	5
93	в его	19	5
94	сравнению с	3	5
95	быть и	4	5
96	никогда не	8	4
97	и то	5	4
98	не могут	4	4
99	мы должны	2	4
100	всех этих	9	4
101	хотя бы	2	4
102	в конце	11	4
103	отношение к	5	4
104	и у	8	4
105	целый ряд	2	4
106	и т.д	2	4
107	та же	4	4
108	то же	18	4
109	в их	9	4
110	том же	4	4
111	совершенно не	3	4
112	в течение	2	4
113	и проч	5	4
114	то они	2	4
115	между собой	5	4
116	с тем	5	4
117	ни один	2	4
118	и культур	2	4
119	что мы	2	4
120	связи с	14	4
121	в таком	4	4
122	он не	6	4
123	если мы	2	4
124	в дальнейшем	10	4
125	хотя и	5	4
126	мы уже	17	4
127	данном случае	2	3
128	и вообще	3	3
129	вопрос о	2	3
130	это не	8	3
131	и потому	4	3
132	и до	7	3
133	на земле	2	3
134	в начале	3	3
135	тем более	4	3
136	каждый из	2	3
137	с этой	3	3
138	в этих	6	3
139	конечно не	7	3
140	и других	5	3
141	в связи	13	3
142	и наконец	6	3
143	одного и	6	3
144	за ними	3	3
145	как у	2	3
146	у нас	2	3
147	вследствие этого	4	3
148	но по	2	3
149	прежде всего	28	3
150	отличие от	3	3
151	жизнь и	4	3
152	с одной	5	3
153	в разных	6	3
154	одно из	3	3
155	в жизни	6	3
156	но не	9	3
157	и это	5	3
158	в данном	4	3
159	на этой	4	3
160	а в	6	3
161	на почве	2	3
162	в нем	28	3
163	в ней	4	3
164	тогда когда	2	3
165	для нас	2	3
166	можно назвать	2	3
167	должны быть	2	3
168	было бы	2	3
169	и по	5	3
170	и может	2	3
171	на нас	3	3
172	в истории	6	3
173	во всем	3	3
174	в нашем	3	3
175	в совершенно	3	3
176	же как	2	3
177	и того	7	3
178	тот же	4	3
179	как мы	19	3
180	слагается из	2	3
181	мы будем	5	3
182	чем в	3	3
183	образом и	2	2
184	одна из	3	2
185	все то	2	2
186	нет в	2	2
187	тех же	2	2
188	то в	2	2
189	в процессе	4	2
190	между этими	4	2
191	к ним	3	2
192	одну из	2	2
193	и ее	4	2
194	есть только	2	2
195	этот процесс	5	2
196	то время	4	2
197	и поэтому	2	2
198	этими двумя	3	2
199	эту черту	2	2
200	то есть	42	2
201	в другом	2	2
202	из нее	2	2
203	в отдельных	2	2
204	для себя	8	2
205	друг друга	3	2
206	должен быть	2	2
207	на первый	2	2
208	в виду	5	2
209	не было	8	2
210	не без	2	2
211	следовательно и	3	2
212	он должен	2	2
213	в частности	11	2
214	что они	3	2
215	на друга	4	2
216	точку зрения	3	2
217	в один	2	2
218	никто не	2	2
219	не знает	4	2
220	в одно	3	2
221	друг на	4	2
222	для него	5	2
223	мы видели	2	2
224	есть в	3	2
225	и так	2	2
226	весьма часто	2	2
227	не имеет	5	2
228	также и	6	2
229	совершенно иной	3	2
230	она не	2	2
231	они не	4	2
232	в самой	3	2
233	в котором	8	2
234	их в	6	2
235	все его	7	2
236	те же	5	2
237	вступают в	3	2
238	ту же	4	2
239	во втором	2	2
240	в свою	2	2
241	к другу	2	2
242	что на	3	2
243	в которых	4	2
244	одной стороны	3	2
245	но для	2	2
246	но на	4	2
247	на этом	2	2
248	и те	4	2
249	между ними	5	2
250	отнюдь не	7	2
251	по этому	2	2
252	в них	11	2
253	со своей	3	2
254	же что	3	2
255	жизни и	12	2
256	друг к	2	2
257	а затем	3	2
258	во всяком	5	2
259	и уже	4	2
260	себя и	6	2
261	и его	26	2
262	в сущности	5	2
263	же время	13	2
264	и только	3	2
265	а следовательно	4	2
266	с ее	7	2
267	и сам	2	2
268	во всей	3	2
269	развития человечества	3	2
270	и весь	2	2
271	и более	3	2
272	этого слова	2	2
273	в себя	3	2
274	только один	2	2
275	широком смысле	3	2
276	той же	2	2
277	все в	3	2
278	имеет место	6	2
279	вовсе не	20	2
280	мы и	4	2
281	в основе	9	2
282	почти все	4	2
283	тем же	3	2
