N	3gram	Losev_Vlad	Problema
1	тем не менее	8	56
2	о том что	9	39
3	в том что	13	37
4	и т д	3	33
5	в настоящее время	2	30
6	в связи с	7	29
7	во всяком случае	8	25
8	с другой стороны	3	25
9	в конце концов	6	23
10	и то что	7	20
11	на то что	6	19
12	в этом смысле	4	19
13	как раз и	2	18
14	для того чтобы	3	17
15	в то же	7	17
16	необходимо сказать что	4	16
17	точно так же	2	16
18	не что иное	2	14
19	что иное как	2	14
20	не может быть	4	12
21	в то время	6	12
22	можно сказать что	3	12
23	также и то	3	12
24	так или иначе	3	12
25	но даже и	3	12
26	то время как	2	12
27	и в частности	3	12
28	бы то ни	2	11
29	дело в том	7	11
30	более или менее	5	10
31	вместе с тем	2	10
32	не только в	3	10
33	что же касается	8	9
34	не говоря уже	3	9
35	по этому поводу	2	9
36	в сравнении с	2	9
37	у нас выше	4	8
38	говоря уже о	3	7
39	хотя и не	2	7
40	к тому же	3	7
41	и в его	2	6
42	на первый план	4	6
43	в этом отношении	2	6
44	не имеет никакого	2	6
45	ни в каких	2	5
46	том что он	4	5
47	а также и	2	5
48	на этот раз	7	5
49	до некоторой степени	2	5
50	на эту тему	2	4
51	так что в	2	4
52	иной раз даже	4	4
53	еще и потому	2	4
54	и потому что	3	4
55	если не прямо	2	4
56	также и в	2	4
57	в это время	5	4
58	на первом плане	2	4
59	то обстоятельство что	2	4
60	как это мы	4	4
61	мы хотели бы	3	4
62	само собой разумеется	2	4
63	никакого отношения к	3	4
64	до тех пор	2	4
65	как мы уже	3	4
66	в том чтобы	4	4
67	а иной раз	4	3
68	после того как	2	3
69	но в то	2	3
70	но это не	2	3
71	и в то	3	3
72	в те времена	7	3
73	мы увидим ниже	4	3
74	вот что пишет	2	3
75	что и в	2	3
76	в истории философии	2	3
77	за то что	2	3
78	то что он	6	3
79	как мы сказали	2	3
80	автор настоящей работы	2	3
81	никак не мог	2	3
82	как мы увидим	2	3
83	том что в	3	3
84	то что у	2	3
85	не то что	2	3
86	можно судить по	6	2
87	с ним в	2	2
88	но в том	2	2
89	что он не	3	2
90	и на его	2	2
91	из них не	2	2
92	и все же	2	2
93	нам кажется что	2	2
94	в том же	3	2
95	так как он	2	2
96	и в том	2	2
97	в этом же	2	2
98	ввиду того что	2	2
99	в свою очередь	2	2
100	указать хотя бы	2	2
101	и к его	2	2
102	и тот же	2	2
103	бы обратить внимание	2	2
104	даже больше того	2	2
105	а к толстого	15	2
106	а в дальнейшем	2	2
107	в последнее время	2	2
108	или иначе но	2	2
109	достаточно указать хотя	2	2
110	истории философии и	2	2
111	мы уже сказали	2	2
112	один и тот	2	2
113	и не раз	2	2
114	а в том	3	2
115	хотя бы на	2	2
