N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	6	7
2	в том	12	5
3	в этом	28	5
4	метод в	3	4
5	не только	21	3
6	в его	21	3
7	но ведь	3	3
8	не в	2	3
9	и в	68	3
10	это и	4	2
11	дело не	3	2
12	отношению к	2	2
13	по отношению	3	2
14	еще не	3	2
15	только в	9	2
16	что в	14	2
17	в частности	4	2
18	том что	6	2
19	было бы	4	2
20	таким образом	22	2
21	то же	14	2
22	как будто	2	2
23	и что	2	2
24	конце концов	3	2
25	к которому	2	2
26	то что	11	2
27	как бы	7	2
28	но и	17	2
29	главным образом	3	2
30	в конце	8	2
31	и мы	2	2
32	далеко не	3	2
33	может быть	10	2
34	ведь это	3	2
