N	2gram	Voloshinov	Sotsiolo
1	все это	4	7
2	в том	13	5
3	в этом	27	5
4	как же	5	3
5	не только	18	3
6	и только	2	3
7	в его	10	3
8	но ведь	4	3
9	не в	13	3
10	и в	32	3
11	социологического метода	3	3
12	это и	3	2
13	она может	3	2
14	должна быть	6	2
15	отношению к	9	2
16	по отношению	10	2
17	еще не	7	2
18	только в	14	2
19	что в	5	2
20	тем более	3	2
21	в частности	2	2
22	том что	12	2
23	было бы	8	2
24	таким образом	29	2
25	в смысле	11	2
26	то же	19	2
27	и что	2	2
28	конце концов	3	2
29	то что	12	2
30	как бы	31	2
31	но и	17	2
32	главным образом	2	2
33	в конце	5	2
34	за пределы	8	2
35	или даже	2	2
36	далеко не	5	2
37	может быть	50	2
38	в результате	9	2
