N	2gram	Losev_Vesc	UchenyiS
1	и в	44	14
2	не только	48	10
3	а не	34	10
4	и не	57	8
5	прежде всего	17	8
6	то что	47	7
7	не может	44	7
8	вот почему	3	7
9	в этом	17	7
10	может быть	37	6
11	перестает быть	3	5
12	и только	11	5
13	то же	12	5
14	хотя бы	9	5
15	все это	7	5
16	но и	19	4
17	в этой	4	4
18	что такое	20	4
19	с другой	8	4
20	в россии	2	4
21	в их	4	4
22	конечно не	2	4
23	не о	2	3
24	у нас	9	3
25	в частности	3	3
26	для этого	5	3
27	это не	9	3
28	только к	2	3
29	очевидно что	2	3
30	и то	14	3
31	в своей	6	3
32	все же	18	3
33	не как	2	3
34	как и	15	3
35	в то	11	3
36	но в	8	3
37	же время	4	3
38	и формы	2	3
39	ни было	12	3
40	было бы	24	3
41	бы то	12	3
42	то ни	13	3
43	другой стороны	3	3
44	для него	8	3
45	в самом	13	2
46	в себе	23	2
47	как принцип	2	2
48	что мы	17	2
49	и у	4	2
50	о чем	2	2
51	же не	4	2
52	нас в	3	2
53	является в	2	2
54	что он	7	2
55	крайней мере	10	2
56	таким образом	16	2
57	но не	9	2
58	ни от	7	2
59	и для	13	2
60	если бы	8	2
61	не все	3	2
62	самом деле	7	2
63	только в	23	2
64	этом смысле	2	2
65	не есть	79	2
66	что она	23	2
67	ничего не	12	2
68	даже и	5	2
69	и с	11	2
70	не случайно	2	2
71	тех или	6	2
72	что и	11	2
73	или иных	2	2
74	по крайней	10	2
75	вопроса о	3	2
76	но даже	3	2
77	это было	2	2
78	превращается в	3	2
79	по себе	22	2
80	тем что	7	2
81	том что	13	2
82	в его	5	2
83	это уже	2	2
84	сводится к	4	2
85	в том	15	2
86	что все	2	2
87	этом отношении	2	2
88	если не	3	2
89	с его	2	2
90	как раз	16	2
91	должна быть	8	2
92	конце концов	2	2
93	его и	4	2
94	но это	14	2
95	по существу	3	2
96	не в	14	2
97	бы и	9	2
98	в конце	3	2
99	мы не	8	2
100	конечно нет	2	2
101	не столько	2	2
