N	3gram	Voloshinov	Analitik
1	в том что	4	25
2	не может быть	7	19
3	по отношению к	11	18
4	в данном случае	2	14
5	с одной стороны	2	9
6	с другой стороны	2	9
7	с точки зрения	2	8
8	тем не менее	3	6
9	до известной степени	2	4
10	и не в	3	4
11	и не может	3	4
12	то ни было	3	3
13	бы то ни	3	3
14	то же самое	2	3
15	можно сказать что	5	3
16	дело в том	4	3
17	в зависимости от	2	3
18	одно и то	2	2
19	как если бы	4	2
20	в такой же	2	2
21	и то же	2	2
22	этой точки зрения	3	2
23	до сих пор	3	2
24	но отнюдь не	2	2
