N	2gram	Ircho_Kome	VerxiiNi
1	и в	40	26
2	таким образом	13	22
3	с тем	5	18
4	в этом	9	15
5	вместе с	8	15
6	точки зрения	7	13
7	как бы	3	12
8	в том	19	11
9	не только	12	10
10	из этих	5	10
11	и с	8	10
12	может быть	16	10
13	после смерти	6	10
14	что в	12	9
15	так как	6	9
16	в области	3	9
17	связи с	3	9
18	но и	14	9
19	но не	3	8
20	с другой	7	8
21	в общем	2	8
22	главным образом	4	8
23	и у	3	8
24	и не	19	8
25	как на	2	8
26	но все	4	7
27	к нему	5	7
28	потому что	8	7
29	связанные с	2	7
30	одной стороны	5	7
31	из них	16	7
32	то что	8	7
33	с одной	5	7
34	но в	6	7
35	том что	19	7
36	представление о	3	6
37	в отношении	6	6
38	все же	7	6
39	к тому	15	6
40	о том	12	6
41	того же	4	6
42	в себе	3	6
43	в конце	7	6
44	несмотря на	5	6
45	всяком случае	4	6
46	что и	10	6
47	все это	7	6
48	так и	17	6
49	во всяком	4	6
50	в мире	3	5
51	одной из	6	5
52	и для	4	5
53	так же	4	5
54	том числе	4	5
55	и к	2	5
56	в силу	4	5
57	отношение к	3	5
58	того чтобы	4	5
59	в его	8	5
60	для того	3	5
61	тому же	14	5
62	образом в	2	5
63	сих пор	3	5
64	до сих	3	5
65	или менее	2	5
66	на этот	5	4
67	и от	2	4
68	а в	9	4
69	в котором	6	4
70	в самом	5	4
71	в нем	8	4
72	не может	3	4
73	при жизни	2	4
74	из которых	5	4
75	в так	2	4
76	целый ряд	2	4
77	в виде	3	4
78	то же	7	4
79	и что	2	4
80	и по	6	4
81	в этих	5	4
82	только в	6	4
83	что он	11	4
84	он не	5	4
85	во время	11	4
86	в течение	5	4
87	в этой	9	4
88	в то	14	4
89	что это	5	3
90	в рамках	3	3
91	в своем	6	3
92	из всех	2	3
93	с самого	3	3
94	европейской культуры	2	3
95	так или	4	3
96	если в	3	3
97	не вполне	2	3
98	большей частью	3	3
99	или иначе	4	3
100	и если	2	3
101	хотя бы	2	3
102	к этому	8	3
103	путь к	2	3
104	в результате	5	3
105	в которой	9	3
106	тем не	3	3
107	и даже	5	3
108	и как	3	3
109	за собой	3	3
110	если бы	4	3
111	же как	3	3
112	в других	3	3
113	при этом	5	3
114	конце концов	4	3
115	не менее	6	3
116	к концу	3	3
117	в качестве	8	3
118	с этой	3	3
119	в связи	3	3
120	и другие	3	3
121	так что	6	3
122	ясно что	9	3
123	и о	3	3
124	отношению к	5	3
125	и таким	2	3
126	к сожалению	2	3
127	в народном	7	3
128	в одном	10	3
129	по своему	5	2
130	мы видели	2	2
131	от них	3	2
132	которые в	3	2
133	для этого	2	2
134	в эту	2	2
135	из этого	2	2
136	и это	3	2
137	а также	5	2
138	на то	3	2
139	надо было	3	2
140	в самой	2	2
141	для всех	5	2
142	или по	3	2
143	относится к	2	2
144	ли это	2	2
145	тех пор	2	2
146	больше не	2	2
147	ко всему	2	2
148	мы можем	6	2
149	в начале	7	2
150	связь с	2	2
151	ему в	2	2
152	больше чем	5	2
153	между тем	9	2
154	одним из	3	2
155	только что	2	2
156	к его	3	2
157	в свою	2	2
158	связанных с	2	2
159	не могла	2	2
160	именно в	5	2
161	в образе	4	2
162	но если	4	2
163	в них	7	2
164	и особенно	7	2
165	и на	9	2
166	и здесь	6	2
167	уже в	9	2
168	с целью	2	2
169	еще не	7	2
170	к которому	4	2
171	по своей	2	2
172	все что	3	2
173	наконец в	3	2
174	жизни и	4	2
175	что именно	3	2
176	самого начала	2	2
177	так называемой	3	2
178	когда же	5	2
179	этом отношении	3	2
180	и мир	2	2
181	не в	8	2
182	не всегда	2	2
183	то ни	4	2
184	ни было	4	2
185	на все	3	2
186	и все	4	2
187	же время	5	2
188	один из	9	2
189	в виду	2	2
190	должна была	3	2
191	и после	3	2
192	не к	2	2
193	быть даже	2	2
194	в пользу	3	2
195	прежде всего	8	2
196	бы то	4	2
197	и из	2	2
198	тот же	5	2
199	с его	4	2
200	во всех	4	2
201	же самое	2	2
202	вслед за	4	2
