N	2gram	Bakhtin_Pr	Psycholo
1	то что	14	193
2	и в	83	190
3	в том	22	163
4	что в	5	123
5	потому что	9	114
6	том что	9	113
7	и что	3	108
8	может быть	23	107
9	таким образом	9	102
10	в этом	24	100
11	то есть	86	97
12	все время	2	86
13	в самом	7	82
14	как бы	27	80
15	что он	6	76
16	не только	14	75
17	на то	2	73
18	и не	41	73
19	что она	2	71
20	точки зрения	17	69
21	не может	18	68
22	если мы	5	66
23	так как	12	63
24	так же	4	63
25	было бы	6	56
26	то же	10	54
27	о том	3	54
28	при этом	6	52
29	как и	13	51
30	что и	4	50
31	а не	19	50
32	что это	2	49
33	только в	10	46
34	в сущности	15	46
35	сказать что	12	46
36	по себе	3	46
37	к тому	2	45
38	не в	10	45
39	в этой	3	43
40	никогда не	10	42
41	и все	14	42
42	вместе с	5	41
43	как это	2	40
44	но и	16	40
45	как раз	6	39
46	и это	3	37
47	мы видим	2	37
48	вовсе не	12	34
49	и если	4	34
50	и его	13	34
51	что все	3	33
52	когда он	2	33
53	все же	3	33
54	все это	11	32
55	в себе	10	32
56	в ней	8	31
57	мы не	7	31
58	в его	15	31
59	он не	5	31
60	как будто	3	30
61	как в	10	30
62	и для	5	29
63	с точки	13	29
64	в нем	21	29
65	что мы	2	28
66	что они	2	28
67	и то	2	28
68	мы можем	9	28
69	в основе	6	27
70	с другой	4	27
71	в своих	4	27
72	а в	4	27
73	все то	4	27
74	и на	27	27
75	совершенно не	4	26
76	и здесь	4	25
77	жизни и	13	25
78	до конца	3	24
79	в целом	3	24
80	указывает на	2	24
81	и совершенно	3	24
82	до сих	8	24
83	тем что	2	24
84	в своем	2	23
85	сих пор	8	23
86	для этого	2	23
87	могут быть	5	23
88	один из	7	23
89	и даже	5	22
90	казалось бы	4	22
91	с этим	3	22
92	между тем	2	22
93	из них	7	22
94	в своей	5	21
95	как мы	12	21
96	в конце	5	21
97	но только	2	21
98	ни в	4	21
99	в котором	8	21
100	в которых	2	21
101	той же	6	21
102	в двух	3	21
103	она не	4	20
104	все эти	9	20
105	в то	8	20
106	тот же	2	20
107	это не	10	20
108	несмотря на	3	20
109	там где	3	20
110	мы имеем	4	20
111	другой стороны	3	20
112	на этом	4	20
113	мы должны	4	19
114	в ее	3	19
