N	3gram	Bakhtin_fo	EvropaiE
1	с точки зрения	9	16
2	в то же	10	15
3	то же время	13	14
4	с одной стороны	3	8
5	и в то	7	8
6	одной стороны и	2	6
7	в том что	4	6
8	для того чтобы	11	5
9	так же как	2	5
10	той или иной	3	4
11	не только в	6	4
12	и в этом	2	4
13	и прежде всего	4	3
14	же как и	2	3
15	в этом отношении	5	3
16	друг с другом	5	3
17	в той или	2	3
18	прежде всего в	3	2
19	в данном случае	2	2
20	друг от друга	2	2
21	и все другие	2	2
22	и в частности	2	2
23	в большинстве случаев	2	2
24	но в то	2	2
25	по сравнению с	3	2
26	не может быть	4	2
