N	2gram	Medvedev_U	Komedia
1	и в	14	77
2	и не	8	47
3	в том	2	44
4	том что	2	42
5	но и	4	32
6	может быть	6	30
7	таким образом	2	29
8	в то	3	28
9	в этом	7	27
10	что он	2	26
11	не только	10	25
12	как и	3	23
13	что и	2	22
14	если бы	2	22
15	в самом	2	22
16	в конце	2	21
17	то же	5	21
18	в его	2	20
19	в этой	4	18
20	тем что	2	17
21	же время	3	17
22	все же	3	16
23	сих пор	2	16
24	до сих	2	16
25	не в	2	15
26	между тем	2	15
27	прежде всего	8	15
28	было бы	3	15
29	все это	5	14
30	и с	2	14
31	о чем	2	13
32	то что	7	13
33	самом деле	2	13
34	но в	3	13
35	что она	2	13
36	как раз	2	13
37	с другой	4	12
38	не может	7	12
39	но не	2	12
40	в их	4	11
41	в частности	3	11
42	и для	2	11
43	ничего не	2	10
44	мы не	2	10
45	с его	2	10
46	более чем	2	10
47	в своей	3	9
48	только в	2	9
49	то ни	3	8
50	другой стороны	3	8
51	если не	2	8
52	в себе	2	7
53	и у	2	7
54	бы то	3	7
55	хотя бы	5	7
56	ни было	3	7
57	конце концов	2	7
58	в области	3	6
59	надо было	2	6
60	не приходится	2	6
61	могут быть	2	6
62	это было	2	6
63	а не	10	6
64	этом отношении	2	5
65	это не	3	5
66	для всех	2	5
67	одним из	2	5
68	по существу	2	5
69	же не	2	5
70	для этого	3	5
71	конечно не	4	5
72	же самое	2	5
73	не о	3	4
74	не столько	2	4
75	к сожалению	3	4
76	материал для	2	4
77	у нас	3	4
78	нас в	2	4
79	не случайно	2	4
80	должна была	2	4
81	что мы	2	4
82	этой области	3	4
83	не следует	3	4
84	не могут	2	3
85	а как	2	3
86	а его	2	3
87	его и	2	3
88	конечном счете	4	3
89	по себе	2	3
90	очевидно что	3	2
91	не как	3	2
92	в конечном	4	2
93	и формы	3	2
94	что все	2	2
95	должна быть	2	2
96	бы и	2	2
97	при таком	2	2
98	но это	2	2
99	не все	2	2
100	а о	2	2
101	превращается в	2	2
102	формы и	2	2
103	для него	3	2
104	это уже	2	2
105	и является	2	2
106	представляется нам	2	2
107	этом смысле	2	2
108	сводится к	2	2
109	на первый	2	2
110	и только	5	2
