N	2gram	Voloshinov	VerxiiNi
1	и в	42	26
2	таким образом	8	22
3	с тем	8	18
4	в этом	10	15
5	вместе с	5	15
6	точки зрения	11	13
7	как бы	30	12
8	в том	3	11
9	не только	28	10
10	из этих	2	10
11	и с	5	10
12	может быть	13	10
13	так как	8	9
14	в области	6	9
15	связи с	3	9
16	но и	16	9
17	но не	2	8
18	главным образом	3	8
19	и не	14	8
20	но все	5	7
21	к нему	2	7
22	потому что	7	7
23	связанные с	2	7
24	из них	3	7
25	то что	9	7
26	но в	5	7
27	том что	3	7
28	а с	5	7
29	в отношении	2	6
30	все же	9	6
31	к тому	4	6
32	о том	4	6
33	мы должны	10	6
34	в себе	10	6
35	в конце	6	6
36	несмотря на	3	6
37	что и	3	6
38	с точки	5	6
39	и т.д	21	6
40	все эти	3	6
41	все это	4	6
42	и потому	2	6
43	так и	7	6
44	никогда не	7	5
45	в мире	2	5
46	одной из	2	5
47	и для	3	5
48	так же	4	5
49	и к	4	5
50	отношение к	2	5
51	того чтобы	7	5
52	лишь в	4	5
53	в его	6	5
54	для того	9	5
55	а не	7	5
56	тому же	2	5
57	сих пор	2	5
58	на этот	2	4
59	и от	7	4
60	а в	5	4
61	с другими	2	4
62	в котором	3	4
63	в самом	5	4
64	в нем	6	4
65	не может	13	4
66	и тогда	2	4
67	в которых	2	4
68	что оно	3	4
69	то есть	5	4
70	из которых	3	4
71	в так	2	4
72	целый ряд	3	4
73	то же	16	4
74	в этих	2	4
75	только в	7	4
76	что он	2	4
77	он не	2	4
78	ничем не	2	4
79	в этой	6	4
80	в то	9	4
81	что это	4	3
82	с самого	4	3
83	к достижению	2	3
84	уже не	4	3
85	хотя бы	18	3
86	и нет	2	3
87	к этому	2	3
88	с ней	2	3
89	в которой	7	3
90	в значительной	2	3
91	представляет собой	2	3
92	и даже	3	3
93	и как	10	3
94	что эти	3	3
95	если бы	4	3
96	и те	2	3
97	при этом	9	3
98	конце концов	3	3
99	у них	3	3
100	в качестве	4	3
101	и при	2	3
102	в связи	2	3
103	подойти к	2	3
104	ясно что	2	3
105	можно сказать	4	3
106	отношению к	2	3
107	в одном	4	3
108	того что	4	3
109	так называемые	4	3
110	для него	3	3
111	по своему	3	2
112	мы видели	5	2
113	сказать что	3	2
114	которые в	2	2
115	для этого	2	2
116	и является	5	2
117	и это	8	2
118	или иной	6	2
119	но при	3	2
120	для всех	2	2
121	относится к	2	2
122	мы имеем	2	2
123	ни один	2	2
124	в процессе	6	2
125	мы можем	7	2
126	в начале	3	2
127	связь с	2	2
128	между тем	3	2
129	в свою	6	2
130	связанных с	5	2
131	должно было	3	2
132	конечно не	3	2
133	если не	3	2
134	связанный с	2	2
135	те же	5	2
136	что мы	11	2
137	и на	7	2
138	и здесь	3	2
139	уже в	5	2
140	еще не	3	2
141	для каждого	2	2
142	к которому	2	2
143	по своей	2	2
144	то или	4	2
145	жизни и	3	2
146	либо в	2	2
147	что именно	4	2
148	не было	2	2
149	и больше	2	2
150	самого начала	4	2
151	так называемой	4	2
152	этом отношении	2	2
153	не в	6	2
154	не всегда	2	2
155	и наконец	5	2
156	той или	4	2
157	ее с	2	2
158	и все	4	2
159	же время	7	2
160	один из	4	2
161	в виду	3	2
162	заключает в	4	2
163	связано с	2	2
164	должна была	2	2
165	не к	4	2
166	прежде всего	22	2
167	его не	2	2
168	или иное	4	2
169	тот же	2	2
170	с его	8	2
171	во всех	6	2
172	в разных	3	2
173	же самое	5	2
174	оно является	2	2
175	тем и	2	2
176	не с	3	2
