N	2gram	Propp_Isto	PoTuStor
1	может быть	37	17
2	и в	40	16
3	и пр	11	12
4	мы можем	7	9
5	в этом	13	9
6	и только	4	9
7	таким образом	13	9
8	прежде всего	15	9
9	и с	5	8
10	не может	19	8
11	и его	5	8
12	сказать что	7	7
13	не только	28	7
14	и это	2	6
15	конечно не	2	6
16	самом деле	2	6
17	для него	2	6
18	при этом	6	6
19	ни в	2	5
20	все эти	6	5
21	что такое	3	5
22	как бы	6	5
23	только для	3	5
24	еще не	14	5
25	в него	2	5
26	как мы	3	4
27	и на	6	4
28	все это	6	4
29	на самом	3	4
30	его в	15	4
31	в его	10	4
32	и ее	3	4
33	но и	21	4
34	и не	19	4
35	но в	13	4
36	с самого	4	4
37	в этой	9	4
38	но мы	2	4
39	с ее	2	4
40	и наконец	5	4
41	так как	20	4
42	и их	4	4
43	только в	16	4
44	в нем	8	4
45	хотя бы	5	4
46	с ними	2	4
47	так и	13	4
48	для всех	2	4
49	самого начала	4	4
50	отнюдь не	2	4
51	и даже	4	4
52	едва ли	2	3
53	ребенка и	2	3
54	и она	4	3
55	что в	19	3
56	даже не	2	3
57	и оно	2	3
58	и как	3	3
59	и потому	3	3
60	на этой	2	3
61	а в	15	3
62	в том	12	3
63	их в	7	3
64	и вот	2	3
65	с другими	2	3
66	между ними	2	3
67	в области	2	3
68	до сих	11	3
69	в основном	4	3
70	только на	2	3
71	и есть	5	3
72	во время	5	3
73	но оно	4	3
74	большинстве случаев	4	3
75	в большинстве	4	3
76	в этих	17	3
77	в конечном	2	3
78	отношения к	2	3
79	как это	6	3
80	то что	17	3
81	во всех	3	3
82	могут быть	5	3
83	сих пор	12	3
84	вместе с	13	3
85	в одном	8	3
86	к себе	2	3
87	и др	11	3
88	на этом	3	3
89	мы знаем	10	3
90	том что	11	3
91	в основе	4	3
92	один из	10	2
93	никогда не	25	2
94	для нас	17	2
95	что мы	9	2
96	может иметь	2	2
97	мы видим	16	2
98	есть и	2	2
99	на них	2	2
100	в них	2	2
101	здесь же	2	2
102	не можем	4	2
103	в жизни	2	2
104	в каком	2	2
105	к ним	4	2
106	в мир	2	2
107	для этого	3	2
108	же как	7	2
109	и для	5	2
110	что не	2	2
111	в область	4	2
112	что это	12	2
113	другими словами	8	2
114	оно и	2	2
115	и по	4	2
116	так называемый	2	2
117	что и	9	2
118	не менее	7	2
119	ее в	7	2
120	на первый	2	2
121	не существует	2	2
122	и мы	2	2
123	было бы	11	2
124	не могут	3	2
125	о том	12	2
126	можно назвать	3	2
127	то же	21	2
128	они не	8	2
129	с этим	5	2
130	как и	5	2
131	что он	32	2
132	сделать это	3	2
133	так же	18	2
134	образов и	2	2
135	в своей	2	2
136	мы не	12	2
137	себя и	2	2
138	это делает	2	2
139	ни было	2	2
140	из этих	2	2
141	но как	2	2
142	находится в	6	2
143	знаем что	9	2
144	в начале	3	2
145	а может	2	2
146	не на	2	2
147	в частности	3	2
148	войти в	2	2
149	связанные с	3	2
150	он не	10	2
151	у него	5	2
152	во всей	2	2
153	если мы	4	2
154	не есть	2	2
155	к этому	2	2
156	путь к	2	2
157	связанных с	2	2
158	не знает	7	2
159	в пределах	4	2
160	и так	3	2
161	и этим	3	2
162	почти не	4	2
163	мы уже	7	2
164	на основе	6	2
165	с ним	3	2
166	смерти но	3	2
167	между собой	4	2
168	но это	8	2
