N	3gram	Tiupa_Hudo	Formalny
1	с точки зрения	5	40
2	не может быть	5	29
3	то же время	11	20
4	в то же	11	20
5	и т д	5	19
6	и т п	10	18
7	в связи с	3	16
8	по отношению к	15	12
9	в самом деле	5	11
10	в этом отношении	4	11
11	для того чтобы	2	8
12	до сих пор	3	8
13	с одной стороны	4	8
14	и в этом	3	7
15	того или иного	4	7
16	в данном случае	3	6
17	и в то	2	6
18	не только не	3	6
19	в том что	15	6
20	в значительной степени	3	5
21	связи с этим	2	5
22	к тому что	8	5
23	тем не менее	6	4
24	подобно тому как	4	4
25	не в том	2	4
26	но все же	2	4
27	то и другое	2	3
28	то же самое	3	3
29	что же касается	2	3
30	но в то	3	3
31	вместо того чтобы	2	3
32	мы уже знаем	2	3
33	так или иначе	3	3
34	так и от	2	3
35	но при этом	3	2
36	в такой же	2	2
37	в том случае	2	2
38	в предыдущей главе	3	2
39	так же как	2	2
40	в следующей главе	3	2
41	одних и тех	2	2
42	как и в	5	2
43	только тем что	2	2
44	в это время	2	2
45	так и не	3	2
46	друг от друга	2	2
47	не только в	4	2
48	на то чтобы	2	2
49	о том как	4	2
50	и тех же	2	2
