N	2gram	Tiupa_Vved	Problema
1	и в	23	182
2	то есть	13	165
3	и не	24	152
4	то что	9	144
5	не есть	2	113
6	не только	32	104
7	потому что	7	89
8	в этом	27	88
9	может быть	25	82
10	том что	16	81
11	в том	21	81
12	не просто	2	80
13	только в	9	73
14	но и	31	70
15	у нас	4	68
16	также и	6	68
17	и даже	3	66
18	по себе	2	64
19	не менее	4	58
20	о том	7	57
21	так и	14	56
22	тем не	3	56
23	а не	31	56
24	но в	14	55
25	для нас	4	50
26	отнюдь не	14	48
27	в себе	15	48
28	было бы	4	46
29	в своей	10	45
30	прежде всего	11	45
31	что в	6	44
32	в его	9	44
33	не в	12	43
34	таким образом	6	42
35	как раз	5	42
36	то же	8	42
37	а именно	3	42
38	что мы	2	40
39	что он	2	40
40	и что	2	40
41	не может	14	39
42	в этой	2	39
43	такого рода	23	39
44	и тем	3	39
45	во всяком	3	39
46	как бы	8	39
47	той или	5	38
48	в данном	22	38
49	никак не	2	37
50	хотя бы	2	37
51	того что	7	37
52	в нем	9	37
53	еще не	8	36
54	и все	8	36
55	в виду	3	34
56	и с	2	34
57	указывает на	2	34
58	как и	21	34
59	уже не	7	34
60	не является	7	33
61	или иной	5	33
62	в таком	2	33
63	же самое	2	33
64	в то	5	32
65	здесь не	2	32
66	едва ли	4	32
67	но не	9	32
68	в своем	9	31
69	в конце	3	31
70	связи с	2	31
71	все это	3	31
72	что такое	23	31
73	так же	2	31
74	но это	4	31
75	ясно что	2	30
76	с другой	10	30
77	и для	8	30
78	подобного рода	3	30
79	как мы	5	29
80	перед нами	13	29
81	все же	10	29
82	об этом	5	29
83	можно сказать	6	29
84	данном случае	15	28
85	и о	4	28
86	что же	6	28
87	мы не	6	28
88	а в	15	28
89	и как	2	27
90	ничего не	3	27
91	и это	2	27
92	хотя и	10	27
93	еще и	2	26
94	в результате	5	26
95	как будто	6	26
96	вместе с	2	26
97	это не	7	26
98	да и	3	26
99	другой стороны	3	26
100	и его	9	26
101	тем самым	6	25
102	и на	5	25
103	мы можем	2	25
104	всяком случае	3	25
105	на самом	5	24
106	тем более	3	24
107	не имеет	3	24
108	в нашем	9	24
109	и притом	3	23
110	а только	3	23
111	тут же	3	23
112	на то	3	23
113	при этом	43	23
114	в качестве	18	23
115	по своему	3	23
116	то и	2	23
117	никогда не	6	22
118	и есть	2	22
119	только на	2	22
120	нет ничего	2	22
121	что и	6	22
122	и от	3	22
123	раз и	2	22
124	есть в	2	22
125	тоже не	2	22
126	и к	2	22
127	и ее	2	21
128	а также	12	21
129	для себя	2	21
130	в самом	6	21
131	говорить о	5	21
132	и только	2	21
133	и потому	2	20
134	как о	2	20
135	о чем	4	20
136	можно было	2	20
137	несмотря на	2	20
138	или в	3	20
139	тем что	2	20
140	если бы	10	19
141	он не	6	19
142	с ним	3	19
143	уже в	2	19
144	самом деле	6	19
145	в них	4	19
146	как в	8	19
147	жизни и	8	19
148	того чтобы	2	18
149	в этих	5	18
150	мы и	2	18
151	не было	5	18
152	не существует	3	18
153	в ней	5	18
154	ни о	2	17
155	и здесь	2	17
156	пока еще	6	17
157	что они	2	17
158	совершенно не	2	17
159	во всех	2	17
160	к тому	9	16
161	же в	3	16
162	далеко не	5	16
163	для этого	2	16
164	как это	2	16
165	что она	2	16
166	будто бы	3	16
167	он и	2	16
168	в чем	2	15
169	и более	5	15
170	в частности	19	15
171	у него	8	15
172	что не	2	15
173	в той	5	15
174	и сам	2	15
175	все равно	2	14
176	определенного рода	2	14
177	в котором	11	14
178	который в	5	13
179	или даже	2	13
180	в их	2	13
181	бы и	4	13
182	тому что	2	13
183	мы имеем	8	13
184	в области	5	13
185	но именно	3	12
186	на первый	3	12
187	в другом	2	12
188	с одной	9	12
189	значения и	2	12
190	в целом	4	12
191	для них	3	12
192	что это	2	12
193	в начале	3	12
194	в литературе	2	12
195	или иначе	2	12
196	не о	2	11
197	могли бы	3	11
198	и во	2	11
199	о которых	2	11
200	одной стороны	9	11
201	и у	2	11
202	по поводу	5	11
203	жизни в	5	11
204	к нему	2	11
205	заключается в	2	11
206	свидетельствует о	5	11
207	один из	3	10
208	однако в	9	10
209	у гоголя	2	10
210	быть и	2	10
211	быть только	2	10
