N	2gram	Tiupa_Lite	Sovremen
1	не может	10	17
2	точки зрения	8	12
3	может быть	24	12
4	таким образом	4	11
5	мы не	5	9
6	в каждом	2	8
7	не можем	2	7
8	и в	26	7
9	в этом	19	7
10	и не	19	6
11	ничего не	3	6
12	как и	13	6
13	в результате	2	6
14	с точки	4	5
15	все эти	2	5
16	и наконец	2	5
17	прежде всего	14	5
18	это не	4	4
19	не только	29	4
20	в том	22	4
21	как бы	8	4
22	так как	2	4
23	же это	3	4
24	в целом	10	4
25	жизни и	6	4
26	вместе с	5	4
27	а в	5	4
28	из них	5	4
29	для нас	3	3
30	и т.д	8	3
31	и мы	2	3
32	следующим образом	2	3
33	но в	5	3
34	при этом	23	3
35	не в	11	3
36	все же	6	3
37	как он	2	3
38	было бы	4	3
39	в области	5	3
40	уже в	7	3
41	в себе	8	3
42	еще не	4	3
43	одна из	8	3
44	у нас	5	3
45	в нем	4	3
46	а не	28	3
47	в этой	7	3
48	то же	13	3
49	в одном	2	3
50	отнюдь не	4	3
51	так называемых	2	3
52	в конце	6	3
53	всяком случае	2	2
54	роль в	2	2
55	каждого из	2	2
56	не менее	11	2
57	той же	5	2
58	в третьем	3	2
59	в его	9	2
60	и что	2	2
61	то и	5	2
62	во всяком	3	2
63	что такое	2	2
64	такого рода	18	2
65	приводит к	4	2
66	свою очередь	2	2
67	из этих	2	2
68	в самом	4	2
69	и есть	3	2
70	что в	7	2
71	у него	5	2
72	такой же	3	2
73	самом деле	2	2
74	со всеми	2	2
75	уже не	9	2
76	в свою	2	2
77	в нашем	2	2
78	могут быть	4	2
79	в отличие	6	2
80	отличие от	6	2
81	с одной	9	2
82	на этом	3	2
83	как мы	2	2
84	мы с	3	2
85	и будет	2	2
86	или иной	3	2
87	тем не	4	2
88	из которых	3	2
89	и даже	9	2
90	тем же	5	2
