N	2gram	Berdyaev_M	FransuaR
1	и в	61	367
2	то есть	3	209
3	в этом	34	112
4	и не	26	101
5	и его	13	99
6	в его	10	98
7	прежде всего	18	92
8	не только	42	87
9	но и	34	84
10	как бы	10	82
11	все эти	3	79
12	как и	14	76
13	в нем	26	75
14	но в	12	75
15	в эпоху	2	75
16	и на	9	72
17	в том	9	71
18	то же	4	66
19	и все	13	66
20	так и	5	65
21	в этой	12	65
22	в них	5	65
23	в сущности	2	64
24	и с	6	64
25	в то	2	63
26	все это	6	62
27	во всех	3	62
28	что в	12	52
29	в своем	17	51
30	только в	7	48
31	так как	10	46
32	том что	7	45
33	то что	10	41
34	жизни и	6	40
35	у него	38	40
36	в самом	15	38
37	точки зрения	6	37
38	в ней	23	37
39	с его	6	36
40	может быть	42	35
41	мы видим	4	35
42	он был	18	35
43	о том	5	35
44	сказать что	5	34
45	в себе	12	34
46	в конце	11	32
47	он не	34	32
48	для него	28	32
49	в своей	18	31
50	до конца	16	31
51	так же	5	30
52	никогда не	30	30
53	и потому	17	30
54	той же	3	30
55	один из	9	30
56	потому что	25	30
57	но он	17	30
58	в духе	6	29
59	в этих	6	29
60	не может	39	29
61	его в	6	29
62	не в	16	29
63	что он	16	29
64	в основе	4	28
65	в той	3	28
66	также и	6	28
67	и к	9	28
68	роль в	2	27
69	сих пор	5	27
70	по своему	3	27
71	до сих	5	27
72	и их	3	27
73	все же	2	27
74	на самом	2	25
75	но это	8	25
76	мира и	6	25
77	отношение к	9	24
78	того чтобы	4	24
79	в ее	3	24
80	и от	3	24
81	но не	8	24
82	как в	9	24
83	и у	3	24
84	он и	2	24
85	и для	7	23
86	это не	10	23
87	в их	4	23
88	с ним	5	23
89	и здесь	6	23
90	есть и	6	23
91	к нему	8	23
92	и во	5	22
93	а в	4	22
94	что и	6	22
95	и других	2	22
96	тем что	7	22
97	вместе с	7	22
98	не было	25	22
99	в своих	4	21
100	что это	5	21
101	в отношении	6	21
102	ни в	3	21
103	одним из	2	21
104	культуры и	2	21
105	есть в	3	21
106	и как	3	21
107	уже в	6	21
108	в образе	4	20
109	в виду	2	20
110	они были	2	20
111	в значительной	2	20
112	самом деле	2	20
113	и это	16	20
114	во всем	5	19
115	хотя и	2	19
116	к этому	3	19
117	было бы	11	19
118	за пределы	5	19
119	на протяжении	2	19
120	на этом	5	18
121	это и	7	18
122	для того	4	17
123	того что	13	17
124	связана с	9	17
125	и вот	7	17
126	еще более	3	17
127	конечно не	3	17
128	а не	36	17
129	между тем	2	16
130	ничего не	4	16
131	в свете	3	16
132	в начале	2	16
133	они не	4	16
134	одно из	3	15
135	в истории	2	15
136	никто не	3	15
137	мысли и	2	15
138	мы еще	4	15
139	еще в	4	15
140	в нашем	2	15
141	xix века	4	15
142	особенно в	3	15
143	с их	2	15
144	в которой	8	15
145	от всех	2	15
146	в самой	8	15
147	не мог	6	15
148	не были	2	15
149	мы не	2	14
150	все что	5	14
151	и он	21	14
152	в более	4	14
153	и по	4	14
154	в чем	3	14
155	в котором	9	14
156	как он	4	13
157	что все	5	13
158	о мире	2	13
159	с этим	4	13
160	и еще	3	13
161	бы в	3	13
162	жизнь и	5	13
163	в жизни	7	13
164	в мире	12	13
165	и есть	21	13
166	мира в	2	13
167	и эта	3	13
168	его к	2	13
169	о чем	3	13
170	на все	3	13
