N	2gram	Propp_Isto	TeoriaLi
1	в качестве	13	33
2	не только	17	24
3	и в	44	24
4	в частности	9	23
5	может быть	31	22
6	в том	13	20
7	при этом	4	20
8	и не	19	17
9	а в	9	15
10	но и	16	14
11	так и	9	14
12	а не	5	14
13	такого рода	2	13
14	но не	8	13
15	представляет собой	8	13
16	в этом	20	12
17	то же	9	12
18	но в	7	12
19	в его	16	12
20	том что	12	11
21	точки зрения	3	11
22	и его	15	11
23	по отношению	2	10
24	лишь в	2	10
25	отношению к	2	10
26	как это	5	10
27	что в	18	10
28	в данном	3	9
29	не в	11	9
30	с другой	11	9
31	в то	5	9
32	только в	8	9
33	не может	10	8
34	как бы	4	8
35	в своей	3	8
36	в своем	3	7
37	а также	5	7
38	мы имеем	22	7
39	себя в	6	7
40	отношение к	3	7
41	на смену	4	7
42	однако в	2	7
43	в нем	10	7
44	тем самым	2	6
45	другой стороны	10	6
46	со стороны	6	6
47	не менее	6	6
48	героя и	3	6
49	еще не	16	6
50	то что	16	6
51	как и	12	6
52	с другими	4	6
53	в русской	8	6
54	уже не	14	6
55	приводит к	2	6
56	между ними	2	6
57	в ее	4	6
58	в основе	3	6
59	с его	3	6
60	данном случае	2	5
61	как в	11	5
62	как правило	2	5
63	ни в	2	5
64	и тем	7	5
65	для того	3	5
66	и о	2	5
67	в пределах	5	5
68	для него	2	5
69	могут быть	9	5
70	того чтобы	3	5
71	того что	3	5
72	он не	5	5
73	в себя	3	5
74	можно сказать	2	5
75	никогда не	5	4
76	сказать что	2	4
77	его в	17	4
78	это не	8	4
79	так в	5	4
80	в форме	5	4
81	в другом	2	4
82	в силу	7	4
83	в этих	7	4
84	что он	29	4
85	того же	3	4
86	мира и	2	4
87	входит в	5	4
88	в свою	3	4
89	в целом	4	4
90	и что	13	4
91	и сам	2	4
92	но он	2	4
93	даже в	4	3
94	и то	5	3
95	перед нами	2	3
96	герой не	3	3
97	и потому	2	3
98	во всех	3	3
99	из этих	5	3
100	одной стороны	7	3
101	о чем	6	3
102	в которой	4	3
103	и для	3	3
104	в иной	12	3
105	человека с	2	3
106	тем не	6	3
107	и как	5	3
108	если бы	5	3
109	роль в	3	3
110	или в	7	3
111	он должен	2	3
112	подобно тому	2	3
113	как говорит	3	3
114	в таком	2	3
115	одним из	4	3
116	с этой	4	3
117	а именно	8	3
118	и вот	4	3
119	никто не	4	3
120	с одной	7	3
121	и др	6	3
122	а с	2	3
123	есть в	2	3
124	в роли	4	3
125	их в	7	3
126	потому что	18	3
127	тому как	2	3
128	том числе	3	3
129	имеем в	2	3
130	прежде всего	7	3
131	к его	2	3
132	и к	3	3
133	мог бы	2	3
134	от себя	2	3
135	а на	2	3
136	все эти	11	3
137	не обязательно	2	3
138	и по	3	3
139	связи с	10	3
140	в связи	6	3
141	таким образом	21	3
142	например в	11	3
143	в этой	5	3
144	в одном	2	3
145	вовсе не	6	3
146	между двумя	7	3
147	одно и	2	2
148	еще и	2	2
149	видим в	2	2
150	не могут	2	2
151	право на	2	2
152	то в	2	2
153	так же	14	2
154	если в	4	2
155	но как	2	2
156	таких случаях	2	2
157	одну из	5	2
158	не всегда	9	2
159	человека и	2	2
160	что она	3	2
161	вокруг него	3	2
162	это было	2	2
163	об этом	6	2
164	и даже	4	2
165	на свою	2	2
166	и здесь	12	2
167	это и	3	2
168	превращается в	10	2
169	к своему	2	2
170	только на	2	2
171	и другие	5	2
172	в формах	2	2
173	у него	7	2
174	самом деле	2	2
175	на вопрос	3	2
176	вместе с	26	2
177	в одно	2	2
178	не могло	2	2
179	на котором	3	2
180	здесь мы	7	2
181	с человеком	2	2
182	одной из	3	2
183	к нему	5	2
184	тот кто	7	2
185	числе и	2	2
186	и это	5	2
187	ее в	8	2
188	о том	11	2
189	мы легко	2	2
190	должен быть	2	2
191	и на	11	2
192	на себя	4	2
193	этой точки	2	2
194	на этом	5	2
195	из которых	7	2
196	один из	6	2
197	в них	3	2
198	по себе	2	2
199	несмотря на	3	2
200	здесь не	3	2
201	что и	11	2
202	а затем	7	2
203	с ними	4	2
204	все это	4	2
205	что они	3	2
206	как будто	2	2
207	обращается к	2	2
