N	3gram	Losev_Dial	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	18	6
3	во всяком случае	3	6
4	по крайней мере	11	5
5	до сих пор	4	5
6	друг с другом	2	5
7	более или менее	5	5
8	но все же	2	4
9	к тому же	2	4
10	о том что	6	4
11	в конце концов	4	3
12	точно так же	3	3
13	так или иначе	3	3
14	тем не менее	3	3
15	в том что	12	3
16	в связи с	3	3
17	но все это	2	2
18	и в этом	4	2
19	можно сказать что	6	2
20	ничего общего с	3	2
21	на то что	4	2
22	то же самое	3	2
23	то или иное	4	2
24	в то же	7	2
25	той или иной	4	2
26	с тех пор	2	2
27	может быть и	6	2
28	то же время	8	2
29	с самого начала	2	2
30	в этом отношении	2	2
31	по сравнению с	2	2
32	потому что и	2	2
