N	3gram	Vygotskiy_	Tvorches
1	и т д	6	17
2	в том что	30	11
3	о том что	15	8
4	в конечном счете	2	6
5	не может быть	4	6
6	и т п	5	5
7	по отношению к	2	5
8	в самом деле	8	5
9	с точки зрения	5	4
10	с самого начала	5	4
11	до сих пор	9	4
12	дело в том	2	4
13	том что в	2	3
14	с другой стороны	8	3
15	сами по себе	2	3
16	в отличие от	3	3
17	что он не	3	2
18	на самом деле	8	2
19	на этот вопрос	5	2
20	потому что он	3	2
21	не только в	5	2
22	для того чтобы	41	2
23	можно сказать что	3	2
24	та же самая	2	2
25	не то что	3	2
26	вместе с тем	4	2
27	заключается в том	9	2
28	в конце концов	6	2
29	так же как	3	2
30	заключает в себе	6	2
31	в данном случае	3	2
32	и что в	5	2
33	и та же	3	2
34	именно в этом	2	2
35	и в самом	3	2
