N	2gram	Tiupa_Vved	KulturaY
1	и в	23	84
2	в том	21	74
3	потому что	7	68
4	не только	32	60
5	в этом	27	57
6	было бы	4	53
7	и не	24	52
8	может быть	25	47
9	том что	16	44
10	того чтобы	2	44
11	что в	6	44
12	в самом	6	41
13	у нас	4	38
14	самом деле	6	37
15	хотя бы	2	37
16	в области	5	34
17	таким образом	6	33
18	а не	31	33
19	можно было	2	32
20	если бы	10	32
21	не в	12	30
22	прежде всего	11	30
23	в его	9	30
24	все же	10	29
25	того что	7	28
26	не менее	4	28
27	в силу	2	26
28	уже не	7	26
29	не может	14	25
30	то что	9	25
31	еще не	8	24
32	с другой	10	24
33	так и	14	23
34	то же	8	23
35	только в	9	23
36	тем не	3	21
37	во всяком	3	20
38	но и	31	20
39	по себе	2	20
40	и что	2	20
41	что он	2	19
42	но в	14	19
43	тем что	2	19
44	о том	7	19
45	всяком случае	3	19
46	что же	6	19
47	между тем	3	18
48	связи с	2	18
49	все это	3	18
50	в качестве	18	18
51	к тому	9	18
52	в сущности	3	18
53	как бы	8	18
54	и с	2	18
55	вместе с	2	18
56	это не	7	17
57	как раз	5	17
58	как это	2	17
59	что это	2	17
60	другой стороны	3	17
61	в той	5	17
62	слова и	3	17
63	в виду	3	16
64	ничего не	3	16
65	что не	2	16
66	что и	6	16
67	но не	9	16
68	по отношению	11	15
69	и тем	3	15
70	один из	3	15
71	а в	15	15
72	при этом	43	15
73	в данном	22	15
74	целый ряд	2	15
75	лишь в	4	15
76	ни к	3	15
77	том чтобы	2	15
78	не было	5	15
79	в нашем	9	15
80	в них	4	14
81	хотя и	10	14
82	как мы	5	14
83	мы имеем	8	14
84	отношению к	11	14
85	также и	6	14
86	что такое	23	14
87	и на	5	14
88	в ней	5	14
89	слово это	2	13
90	что она	2	13
91	в пределах	3	13
92	в этой	2	13
93	в которых	2	13
94	для нас	4	13
95	и его	9	13
96	той же	3	13
97	для этого	2	12
98	как в	8	12
99	а только	3	12
100	могут быть	5	12
101	в рамках	5	12
102	в результате	5	12
103	но также	2	12
104	говорить о	5	12
105	однако не	2	12
106	ясно что	2	12
107	еще и	2	11
108	или иной	5	11
109	должен быть	3	11
110	в их	2	11
111	в своем	9	11
112	те же	2	11
113	язык как	2	11
114	из этих	5	11
115	должна быть	3	11
116	в нем	9	11
117	этом отношении	7	11
118	совершенно не	2	11
119	и здесь	2	11
120	слова в	3	11
121	в какой	4	11
122	уже в	2	11
123	он не	6	11
124	тем самым	6	10
125	так же	2	10
126	в то	5	10
127	к этому	3	10
128	со стороны	15	10
129	они не	3	10
130	как и	21	10
131	речь идет	3	10
132	бы и	4	10
133	тех же	2	10
134	тем более	3	10
135	бы в	4	10
136	несмотря на	2	10
137	в особенности	3	10
138	в речи	3	10
139	в первом	3	10
140	на фоне	3	10
141	не просто	2	10
142	очевидно что	2	9
143	ли не	2	9
144	в целом	4	9
145	здесь не	2	9
146	и для	8	9
147	в своей	10	9
148	можно сказать	6	9
149	а также	12	9
150	но это	4	9
151	и вот	3	9
152	не имеет	3	9
153	на то	3	9
154	что мы	2	9
155	и есть	2	9
156	подобного рода	3	9
157	на самом	5	8
158	в частности	19	8
159	мере в	2	8
160	мы видели	3	8
161	в своих	5	8
162	состоит в	23	8
163	что на	4	8
164	в чем	2	8
165	с одной	9	8
166	и о	4	8
167	что они	2	8
168	своего рода	20	8
169	да и	3	8
170	то и	2	8
171	и как	2	8
172	об этом	5	8
173	в этих	5	8
174	тому что	2	8
175	заключается в	2	8
176	далеко не	5	8
177	что я	2	8
178	не есть	2	8
179	может служить	4	8
180	отнюдь не	14	8
181	в таком	2	8
182	тому же	6	8
183	же в	3	8
184	до конца	5	7
185	в свою	5	7
186	идет о	3	7
187	той мере	2	7
188	как он	2	7
189	свою очередь	5	7
190	и потому	2	7
191	не знает	2	7
192	а с	4	7
193	одной стороны	9	7
194	с ними	2	7
195	например в	2	7
196	никак не	2	7
197	так сказать	2	7
198	не все	2	7
199	как о	2	7
200	все равно	2	7
201	а именно	3	7
202	не следует	3	7
203	что касается	5	7
