N	3gram	Propp_Isto	Myslijsy
1	в том что	7	47
2	по отношению к	3	26
3	не может быть	5	19
4	тем не менее	4	18
5	и т д	25	15
6	во всяком случае	3	12
7	с другой стороны	17	12
8	более или менее	3	12
9	до сих пор	4	12
10	а в том	2	11
11	но тем не	2	10
12	в то время	4	10
13	с одной стороны	11	10
14	то и другое	2	9
15	мы не можем	2	9
16	о том что	9	9
17	но и в	4	9
18	что и в	3	9
19	с тем что	2	8
20	так и в	3	8
21	вместе с тем	6	8
22	в этом случае	4	8
23	как и в	3	7
24	не только в	9	7
25	после того как	4	6
26	то же что	2	5
27	то что в	4	5
28	и то и	2	4
29	в данном случае	7	4
30	мы видели что	4	4
31	с этой точки	3	4
32	то время как	4	4
33	на этот вопрос	3	4
34	в том чтобы	2	4
35	этой точки зрения	3	3
36	с этой стороны	4	3
37	таким образом мы	3	3
38	но так как	4	3
39	нам кажется что	4	3
40	можно было бы	3	3
41	на первый взгляд	5	3
42	точно так же	2	3
43	но это не	3	3
44	мы увидим что	2	3
45	так или иначе	2	3
46	но вместе с	2	2
47	это значит что	2	2
48	в некоторых случаях	2	2
49	так же как	4	2
50	и в других	2	2
51	выше мы видели	2	2
52	друг на друга	2	2
53	как мы видели	3	2
54	о том как	3	2
55	отсюда видно что	5	2
56	что это не	2	2
57	в этих случаях	12	2
58	но все же	3	2
