N	2gram	Propp_Russ	KulturaY
1	и т	13	143
2	т е	41	102
3	и в	59	84
4	в том	33	74
5	потому что	15	68
6	не только	28	60
7	точки зрения	3	59
8	в этом	18	57
9	было бы	3	53
10	и не	6	52
11	может быть	14	47
12	том что	33	44
13	того чтобы	6	44
14	что в	35	44
15	т д	12	42
16	для того	6	41
17	у нас	11	38
18	так как	25	36
19	с точки	3	36
20	в области	3	34
21	таким образом	10	33
22	а не	3	33
23	можно было	3	32
24	не в	2	30
25	прежде всего	2	30
26	в его	3	30
27	и пр	4	30
28	все же	7	29
29	того что	6	28
30	не менее	3	28
31	все эти	5	28
32	в силу	2	26
33	уже не	9	26
34	не может	6	25
35	то что	10	25
36	вопрос о	4	24
37	еще не	7	24
38	так и	8	23
39	то же	6	23
40	только в	4	23
41	тем не	3	21
42	но и	20	20
43	и что	8	20
44	что он	2	19
45	но в	5	19
46	тем что	7	19
47	о том	14	19
48	между тем	9	18
49	связи с	6	18
50	все это	12	18
51	в качестве	5	18
52	к тому	4	18
53	с тем	14	18
54	как бы	18	18
55	и с	12	18
56	вместе с	16	18
57	это не	14	17
58	как это	11	17
59	можно говорить	2	17
60	что это	4	17
61	в виду	3	16
62	ничего не	4	16
63	в русском	4	16
64	что и	8	16
65	тот же	2	16
66	но не	7	16
67	один из	10	15
68	а в	16	15
69	при этом	11	15
70	того как	6	15
71	в данном	7	15
72	должно быть	2	15
73	том чтобы	3	15
74	именно в	3	15
75	не было	3	15
76	как на	2	15
77	в нашем	2	15
78	в них	10	14
79	в связи	4	14
80	хотя и	3	14
81	как мы	11	14
82	мы имеем	7	14
83	и на	14	14
84	в ней	3	14
85	по существу	7	13
86	между прочим	2	13
87	что она	4	13
88	в пределах	2	13
89	не случайно	2	13
90	в этой	4	13
91	в которых	8	13
92	для нас	12	13
93	там где	3	13
94	и его	2	13
95	этот вопрос	4	12
96	для этого	6	12
97	с этой	2	12
98	как в	10	12
99	тогда когда	4	12
100	могут быть	3	12
101	этого слова	3	12
102	говорить о	2	12
103	в таких	3	11
104	должен быть	2	11
105	в их	5	11
106	в своем	3	11
107	из этих	6	11
108	в нем	3	11
109	и здесь	3	11
110	и то	2	11
111	слова в	3	11
112	в какой	3	11
113	уже в	2	11
114	так же	7	10
115	в то	3	10
116	к этому	7	10
117	как и	19	10
118	ту же	2	10
119	вряд ли	2	10
120	с этим	4	10
121	несмотря на	4	10
122	в особенности	3	10
123	после того	3	10
124	не просто	3	10
125	очевидно что	2	9
126	в целом	2	9
127	что все	2	9
128	и для	3	9
129	а также	6	9
130	но это	5	9
131	в которой	3	9
132	не имеет	9	9
133	на то	2	9
134	на самом	3	8
135	в частности	2	8
136	только тогда	3	8
137	мы видели	3	8
138	в своих	3	8
139	состоит в	18	8
140	что на	5	8
141	и о	4	8
142	в тех	5	8
143	что они	8	8
144	этом случае	9	8
145	своего рода	3	8
146	то и	4	8
147	независимо от	3	8
148	и как	2	8
149	об этом	11	8
150	в этих	3	8
151	тому что	4	8
152	но все	3	8
153	далеко не	5	8
154	отнюдь не	3	8
155	в таком	5	8
156	же в	5	8
157	до конца	5	7
158	в свою	3	7
159	как он	2	7
160	свою очередь	2	7
161	всякого рода	3	7
162	и потому	3	7
163	а с	6	7
164	как например	6	7
165	к вопросу	2	7
166	она не	4	7
167	с ними	6	7
168	стоит в	3	7
169	например в	3	7
170	когда мы	2	7
171	не все	4	7
172	а именно	2	7
173	и более	3	7
174	в г	6	7
175	есть в	2	7
176	на этот	3	7
177	в котором	2	7
178	когда он	3	7
179	с ним	2	7
180	в одном	4	7
181	только как	2	7
182	не значит	2	7
183	перед нами	2	6
184	данном случае	8	6
185	о них	2	6
186	его к	3	6
187	на этом	6	6
188	е в	17	6
189	не всегда	4	6
190	п в	25	6
191	отличие от	4	6
192	которые в	2	6
193	от этого	2	6
194	на этой	3	6
195	на себя	4	6
196	в отличие	4	6
197	не столько	3	6
198	что с	2	6
199	не на	2	6
200	что эти	2	6
201	именно с	3	6
202	как будто	6	6
203	что если	2	6
204	дело не	2	6
205	мы не	11	6
206	в числе	2	6
207	или в	7	6
208	только для	3	6
209	не с	5	6
