N	3gram	Losev_Vlad	Freidism
1	не может быть	4	14
2	в том что	13	9
3	во всяком случае	8	8
4	в то же	7	6
5	мы знаем что	2	6
6	то же время	7	6
7	можно сказать что	3	5
8	как мы уже	3	5
9	тем не менее	8	4
10	на первый план	4	4
11	в этом отношении	2	4
12	и до конца	2	4
13	в свою очередь	2	4
14	но в общем	2	3
15	бы то ни	2	3
16	но в то	2	3
17	и тот же	2	3
18	о том что	9	3
19	один и тот	2	3
20	для того чтобы	3	3
21	что же касается	8	3
22	к этому времени	3	2
23	том что он	4	2
24	шопенгауэра и гартмана	2	2
25	то обстоятельство что	2	2
26	как раз и	2	2
27	в конце концов	6	2
28	что и в	2	2
29	а также и	2	2
30	в этом смысле	4	2
31	он не только	2	2
