N	2gram	Savitsky_P	Morfolog
1	и т	3	62
2	может быть	5	61
3	и пр	5	45
4	т е	3	25
5	могут быть	3	21
6	не может	4	19
7	в этом	10	18
8	и в	14	17
9	и не	12	16
10	с этим	2	14
11	прежде всего	3	14
12	а не	2	11
13	то же	9	10
14	в том	9	10
15	то что	4	10
16	что в	4	10
17	но и	6	9
18	с другой	5	9
19	не только	17	8
20	но не	3	8
21	а в	4	8
22	мы не	3	8
23	в качестве	9	8
24	том что	4	7
25	если в	2	7
26	наряду с	3	7
27	не менее	2	7
28	а также	4	7
29	точки зрения	3	7
30	потому что	3	7
31	это не	3	6
32	во всех	2	6
33	и как	3	6
34	с точки	3	6
35	как бы	4	6
36	одна из	2	5
37	вслед за	3	5
38	хотя бы	8	5
39	не будем	2	5
40	было бы	6	5
41	со стороны	2	5
42	между тем	3	5
43	главным образом	2	5
44	хотя и	3	5
45	к началу	2	4
46	в то	7	4
47	из них	2	4
48	но в	9	4
49	и к	4	4
50	на пути	4	4
51	говорить о	2	4
52	мы должны	4	3
53	если бы	4	3
54	в виде	2	3
55	есть нечто	2	3
56	и тем	2	3
57	не в	5	3
58	для того	3	3
59	в пределах	8	3
60	того что	2	3
61	к чему	2	3
62	в начале	2	3
63	же в	4	3
64	только в	7	3
65	и есть	2	3
66	в россии	3	2
67	одной стороны	3	2
68	является в	2	2
69	д а	3	2
70	в частности	2	2
71	с одной	3	2
72	с тем	3	2
73	в которых	5	2
74	знать что	2	2
75	для нас	2	2
76	что мы	3	2
77	все это	2	2
78	например в	2	2
