N	3gram	Vygotskiy_	Hudozhes
1	по отношению к	11	10
2	в том что	30	8
3	в то же	2	7
4	в отличие от	3	7
5	то же время	2	7
6	с другой стороны	10	6
7	в конечном счете	4	5
8	состоит в том	4	5
9	для того чтобы	19	5
10	той или иной	2	5
11	не может быть	8	4
12	одно и то	2	3
13	и то же	2	3
14	с точки зрения	34	3
15	с одной стороны	14	3
16	в том числе	3	3
17	подобно тому как	2	3
18	в этом смысле	3	3
19	в связи с	3	3
20	можно сказать что	5	3
21	и в самом	2	3
22	в известном смысле	3	2
23	том числе и	3	2
24	этой точки зрения	2	2
25	в самом деле	5	2
26	в значительной степени	2	2
27	том что он	2	2
28	к тому что	3	2
29	в единое целое	2	2
30	по своей природе	3	2
31	а с другой	6	2
32	сама по себе	3	2
33	приводит к тому	3	2
34	в свою очередь	3	2
