N	2gram	Tiupa_Anal	Stilisti
1	и в	36	42
2	как бы	14	30
3	не только	40	28
4	и т.п	7	25
5	прежде всего	7	22
6	и т.д	3	21
7	то же	7	16
8	но и	26	16
9	и не	14	14
10	не может	3	13
11	может быть	19	13
12	как и	27	12
13	точки зрения	3	11
14	что мы	2	11
15	мы уже	2	11
16	в себе	7	10
17	и как	5	10
18	отнюдь не	7	10
19	в этом	19	10
20	как мы	4	10
21	в то	8	9
22	все же	6	9
23	то что	5	9
24	при этом	19	9
25	мы не	4	9
26	тем самым	8	8
27	ничего не	3	8
28	с тем	2	8
29	в ней	2	8
30	таким образом	4	8
31	с его	15	8
32	никогда не	7	7
33	и от	3	7
34	мы можем	2	7
35	и той	2	7
36	же время	7	7
37	так и	19	7
38	только в	9	7
39	а не	16	7
40	и на	5	7
41	было бы	6	7
42	и его	18	7
43	той же	7	7
44	и тем	3	7
45	или иной	9	6
46	когда мы	2	6
47	во всех	4	6
48	не в	9	6
49	в конце	6	6
50	в нем	3	6
51	в свою	9	6
52	на его	3	6
53	в его	12	6
54	в форме	2	6
55	слова в	2	6
56	в этой	10	6
57	и то	2	5
58	того или	6	5
59	в нашем	4	5
60	то есть	15	5
61	не является	5	5
62	и их	3	5
63	своей жизни	2	5
64	самом деле	2	5
65	как это	7	5
66	а с	2	5
67	и является	3	5
68	а в	17	5
69	но в	8	5
70	или иного	5	5
71	те же	3	5
72	в самом	7	5
73	уже в	5	5
74	в той	3	5
75	с точки	2	5
76	вместе с	3	5
77	да и	3	4
78	в одном	4	4
79	так сказать	2	4
80	о своей	2	4
81	вопроса о	2	4
82	его в	4	4
83	если бы	2	4
84	лишь в	9	4
85	были бы	3	4
86	свою очередь	7	4
87	слова как	2	4
88	того что	4	4
89	можно было	2	4
90	один из	6	4
91	с появлением	2	4
92	одной и	2	4
93	и все	3	4
94	в каждом	4	4
95	к тому	10	4
96	о том	9	4
97	уже не	9	4
98	и к	7	4
99	в целом	8	4
100	той или	6	4
101	связаны с	2	4
102	все это	5	4
103	в качестве	22	4
104	себя в	6	4
105	можно сказать	5	4
106	в слове	5	4
107	и без	3	4
108	сказать что	2	3
109	это не	4	3
110	иметь дело	2	3
111	том что	19	3
112	нуждается в	2	3
113	в начале	10	3
114	в тех	2	3
115	перед нами	7	3
116	о своем	4	3
117	внутренней и	2	3
118	об этом	3	3
119	и даже	12	3
120	этого слова	3	3
121	и здесь	4	3
122	роль в	5	3
123	во второй	8	3
124	в том	16	3
125	в частности	19	3
126	высказывания как	2	3
127	еще не	7	3
128	совершенно не	3	3
129	как в	9	3
130	и вот	2	3
131	не знает	2	3
132	для него	8	3
133	не с	3	3
134	по своему	3	3
135	не так	2	3
136	и для	4	3
137	всякое высказывание	2	3
138	что у	3	3
139	и внешней	3	3
140	ответ на	3	3
141	жизни это	2	3
142	между ними	3	3
143	из которых	2	3
144	не будет	3	3
145	из них	4	3
146	хотя и	4	3
147	несмотря на	2	3
148	жизни и	2	3
149	что и	10	3
150	в ее	5	3
151	все эти	2	3
152	перед ним	2	3
153	отношения к	6	3
154	между тем	8	3
155	в основе	2	3
156	не мог	4	3
157	еще и	4	2
158	в отношении	2	2
159	очевидно что	2	2
160	и потому	3	2
161	значительной степени	3	2
162	с этим	4	2
163	для всех	5	2
164	на два	2	2
165	мы имеем	5	2
166	из этих	4	2
167	но как	4	2
168	на эту	2	2
169	формы высказывания	2	2
170	человека и	2	2
171	своего героя	2	2
172	в первой	10	2
173	бы и	2	2
174	каждый из	2	2
175	к этому	3	2
176	по отношению	9	2
177	с самим	3	2
178	забывать что	2	2
179	при условии	2	2
180	и конечно	2	2
181	отношение к	2	2
182	ли не	5	2
183	есть не	2	2
184	к которому	2	2
185	а на	2	2
186	я и	6	2
187	но эта	2	2
188	тем что	3	2
189	человека в	3	2
190	этом отношении	3	2
191	в их	7	2
192	тот или	3	2
193	не всегда	4	2
194	в значительной	3	2
195	художественного высказывания	3	2
196	в этих	2	2
197	что он	5	2
198	по своей	5	2
199	и сам	8	2
200	ни к	3	2
201	отношению к	9	2
202	к чему	2	2
203	его не	3	2
204	в пределах	5	2
205	не должен	2	2
206	литературное произведение	3	2
207	ведь и	2	2
208	одной из	6	2
209	в жизни	2	2
210	в мире	17	2
211	но не	13	2
212	между внутренней	2	2
213	как уже	4	2
214	не должно	3	2
215	тому же	7	2
216	гораздо более	3	2
217	в своих	3	2
218	связь с	3	2
219	либо в	2	2
220	не есть	6	2
221	из трех	2	2
222	однако в	6	2
223	представляет собой	7	2
224	и ту	2	2
225	и он	4	2
226	на наш	5	2
227	место в	4	2
228	о чем	5	2
229	человека с	2	2
230	не было	3	2
231	здесь не	8	2
232	но это	3	2
233	в своей	12	2
234	в нас	2	2
235	или в	4	2
236	таким же	4	2
237	он не	9	2
238	в дальнейшем	2	2
239	с ним	2	2
240	тот же	3	2
241	вовсе не	2	2
242	и ситуации	2	2
243	к миру	2	2
