N	2gram	Propp_Russ	Analitik
1	не только	28	71
2	тогда как	4	67
3	и в	59	66
4	в качестве	5	61
5	но и	20	57
6	в том	33	52
7	может быть	14	52
8	в частности	2	51
9	в этом	18	51
10	как и	19	50
11	и не	6	48
12	а не	3	42
13	том что	33	40
14	при этом	11	40
15	так и	8	35
16	то есть	3	35
17	своего рода	3	30
18	состоит в	18	30
19	представляет собой	5	30
20	не может	6	29
21	как бы	18	29
22	отнюдь не	3	29
23	а в	16	28
24	в его	3	27
25	и его	2	27
26	не в	2	26
27	но не	7	26
28	не случайно	2	24
29	к тому	4	22
30	в этой	4	22
31	что в	35	22
32	о том	14	20
33	но в	5	19
34	то же	6	19
35	в то	3	18
36	в данном	7	18
37	в целом	2	17
38	только в	4	17
39	могут быть	3	16
40	то что	10	16
41	в пределах	2	16
42	что и	8	16
43	в их	5	15
44	прежде всего	2	15
45	уже не	9	15
46	и на	14	15
47	между тем	9	15
48	данном случае	8	14
49	отличие от	4	14
50	не менее	3	14
51	мы имеем	7	14
52	в отличие	4	14
53	далеко не	5	14
54	ничего не	4	13
55	точки зрения	3	13
56	этого слова	3	13
57	а также	6	13
58	как правило	4	13
59	и к	3	12
60	как это	11	12
61	еще не	7	12
62	как в	10	12
63	в свою	3	11
64	это не	14	11
65	и как	2	11
66	не с	5	11
67	все же	7	10
68	на себя	4	10
69	один из	10	10
70	было бы	3	10
71	подобно тому	3	10
72	именно в	3	10
73	в своем	3	9
74	того что	6	9
75	не столько	3	9
76	как уже	6	9
77	свою очередь	2	9
78	имеет место	3	9
79	во всех	6	9
80	том чтобы	3	9
81	тому как	3	9
82	говорит о	3	9
83	говорить о	2	9
84	таким образом	10	9
85	вместе с	16	9
86	перед нами	2	8
87	о чем	7	8
88	не всегда	4	8
89	что он	2	8
90	и все	4	8
91	хотя и	3	8
92	между двумя	2	8
93	дело не	2	8
94	не является	2	8
95	как известно	2	8
96	с точки	3	8
97	с ним	2	8
98	вплоть до	4	7
99	иное как	3	7
100	в году	5	7
101	место в	2	7
102	все это	12	7
103	который в	2	7
104	одна из	12	7
105	себя и	2	7
106	несмотря на	4	7
107	как будто	6	7
108	что иное	3	7
109	и для	3	7
110	у него	2	7
111	приводит к	4	7
112	в одном	4	7
113	как мы	11	7
114	в таком	5	7
115	в нашем	2	7
116	его в	9	6
117	если в	3	6
118	с другим	2	6
119	не что	3	6
120	в силу	2	6
121	должен быть	2	6
122	в нем	3	6
123	что на	5	6
124	ответ на	2	6
125	или в	7	6
126	он был	2	6
127	и то	2	6
128	из этих	6	6
129	в равной	2	6
130	его как	2	6
131	же в	5	6
132	во всем	2	6
133	тем не	3	6
134	и более	3	6
135	есть в	2	6
136	на этом	6	6
137	из которых	2	6
138	из них	12	6
139	уже в	2	6
140	не более	2	6
141	по его	2	6
142	и потому	3	5
143	входит в	4	5
144	а и	7	5
145	каждый из	3	5
146	так что	4	5
147	в один	2	5
148	а с	6	5
149	в эту	3	5
150	а а	33	5
151	в них	10	5
152	исходя из	2	5
153	с той	2	5
154	а затем	5	5
155	и по	10	5
156	и до	3	5
157	все эти	5	5
158	мы не	11	5
159	к числу	2	5
160	этом случае	9	5
161	при рассмотрении	3	5
162	тот же	2	5
163	и здесь	3	5
164	одно из	6	5
165	к этому	7	5
166	с другими	3	5
167	в особенности	3	5
168	для того	6	5
169	и их	4	5
170	в этих	3	5
171	такой же	3	5
172	тем что	7	5
173	за пределами	2	5
174	в котором	2	5
175	все что	2	5
176	будто бы	10	5
177	с таким	2	5
178	еще в	6	5
179	к жизни	3	5
180	в поле	18	5
181	таким же	4	5
182	его к	3	4
183	и ее	3	4
184	в области	3	4
185	в каждом	2	4
186	и а	4	4
187	одним из	2	4
188	нас к	5	4
189	как он	2	4
190	как у	2	4
191	а именно	2	4
192	только на	4	4
193	его от	2	4
194	его и	2	4
195	на две	3	4
196	и о	4	4
197	к нему	3	4
198	и что	8	4
199	потому что	15	4
200	так в	5	4
201	равной степени	2	4
202	с ними	6	4
203	того чтобы	6	4
204	и во	2	4
205	жизнь и	2	4
206	и т	13	4
207	и от	2	4
208	по своему	2	4
209	с этим	4	4
210	но это	5	4
211	не все	4	4
212	что она	4	4
213	в которой	3	4
214	представляют собой	13	4
215	из своих	2	4
216	в двух	2	4
217	об этом	11	4
218	себя внимание	2	4
219	что по	7	4
220	ее в	7	4
221	мы уже	2	4
222	в своих	3	4
223	на которой	2	4
224	не было	3	4
225	или даже	3	4
226	на самом	3	3
227	вопрос о	4	3
228	в таких	3	3
229	очевидно что	2	3
230	которые в	2	3
231	означает что	2	3
232	мы должны	3	3
233	с целью	2	3
234	у и	2	3
235	не был	3	3
236	он же	4	3
237	в виду	3	3
238	тут же	2	3
239	и за	2	3
240	с тем	14	3
241	же не	2	3
242	она не	4	3
243	в ней	3	3
244	и те	3	3
245	между собой	4	3
246	что все	2	3
247	в тех	5	3
248	связи с	6	3
249	в связи	4	3
250	что они	8	3
251	во время	23	3
252	для этого	6	3
253	например в	3	3
254	независимо от	3	3
255	так как	25	3
256	можно было	3	3
257	должно быть	2	3
258	всех этих	2	3
259	борьбы с	2	3
260	только для	3	3
261	и наконец	2	3
262	в жизни	2	3
263	с этой	2	3
264	в какой	3	3
265	на этот	3	3
266	из наиболее	2	3
267	что у	3	3
268	на то	2	3
269	на каждом	3	3
270	когда он	3	3
271	оно не	2	3
272	и с	12	3
273	следует признать	2	3
274	тогда когда	4	3
275	ко всему	2	3
276	на место	2	3
277	в противном	2	3
278	слова в	3	3
279	после чего	4	3
280	как на	2	3
281	только одно	2	3
282	не к	3	3
283	но он	3	3
284	далее в	2	2
285	в большинстве	2	2
286	начиная с	4	2
287	своему происхождению	2	2
288	в доме	2	2
289	смерти и	3	2
290	так же	7	2
291	для нас	12	2
292	вера в	2	2
293	что именно	3	2
294	только по	2	2
295	ее и	2	2
296	том же	6	2
297	или с	4	2
298	или их	2	2
299	однако как	3	2
300	ни одно	2	2
301	в одно	2	2
302	и при	2	2
303	когда мы	2	2
304	должна была	6	2
305	в разных	3	2
306	в отдельности	2	2
