N	3gram	Potebnia_M	Vladivir
1	там же с	7	29
2	в том что	22	29
3	о том что	5	22
4	тем не менее	7	18
5	и то что	3	14
6	в то время	7	13
7	во всяком случае	3	12
8	более или менее	6	11
9	в то же	8	10
10	с точки зрения	2	10
11	не может быть	7	10
12	вместе с тем	5	10
13	то же время	8	9
14	в этом смысле	2	9
15	на то что	3	8
16	том что он	2	6
17	в данном случае	3	6
18	с другой стороны	4	6
19	само по себе	6	6
20	то время как	3	5
21	не только в	4	5
22	что и в	4	5
23	то что в	2	5
24	и в том	3	5
25	по крайней мере	8	4
26	сам по себе	9	4
27	можно сказать что	3	4
28	в этом отношении	2	4
29	в том же	2	4
30	с одной стороны	4	4
31	для того чтобы	5	4
32	и т д	5	4
33	в том чтобы	4	4
34	что он не	3	3
35	в том случае	2	3
36	потому что в	4	3
37	так что в	2	3
38	нам кажется что	3	3
39	только в том	5	3
40	не только не	4	3
41	к тому что	3	3
42	было для него	2	3
43	не в том	6	3
44	в свою очередь	6	3
45	а в том	5	3
46	но вместе с	2	2
47	и то же	7	2
48	тех пор пока	2	2
49	после того как	2	2
50	и тот же	2	2
51	или по крайней	2	2
52	так и в	2	2
53	то что мы	3	2
54	есть прежде всего	2	2
55	нельзя сказать что	2	2
56	до сих пор	4	2
57	из них не	2	2
58	в себе не	2	2
59	одно и то	7	2
60	в таком случае	2	2
61	в этом случае	2	2
62	один и тот	2	2
63	не то что	2	2
64	до тех пор	5	2
65	ответ на это	2	2
66	нетрудно заметить что	2	2
