N	2gram	Berdyaev_O	OGranits
1	и в	19	13
2	и его	4	12
3	прежде всего	9	9
4	и не	13	8
5	не может	4	8
6	может быть	11	8
7	в его	7	7
8	не только	11	6
9	как бы	3	6
10	то что	5	6
11	все же	2	5
12	хотя бы	3	5
13	но в	2	4
14	только и	4	4
15	лишь в	7	4
16	в своей	2	4
17	все это	6	4
18	было бы	3	4
19	никогда не	9	3
20	и для	2	3
21	и то	2	3
22	и все	10	3
23	в ее	2	3
24	как и	6	3
25	не в	11	3
26	так как	2	3
27	в себе	3	3
28	что в	4	3
29	так и	2	3
30	что же	2	3
31	в которой	2	3
32	но и	13	3
33	в самом	5	2
34	могут быть	3	2
35	в этом	12	2
36	уже в	2	2
37	в том	5	2
38	тем что	2	2
39	не имеет	2	2
40	ее в	2	2
41	а в	5	2
42	том что	2	2
43	и к	2	2
44	все эти	4	2
45	что они	2	2
46	в своих	3	2
47	в нем	10	2
48	и ее	3	2
49	нет ничего	7	2
50	а не	11	2
51	в другом	2	2
52	в этот	2	2
53	учение о	2	2
54	подойти к	2	2
55	для него	5	2
