N	3gram	Medvedev_F	Russkaja
1	то же время	13	10
2	в то же	13	10
3	с точки зрения	17	9
4	в том что	3	7
5	для того чтобы	3	6
6	во всяком случае	6	6
7	на самом деле	7	6
8	до сих пор	7	5
9	бы то ни	4	4
10	в том случае	2	4
11	к тому чтобы	2	4
12	более или менее	7	4
13	не может быть	11	4
14	вместе с тем	5	3
15	что бы то	3	3
16	в конце концов	2	3
17	во что бы	3	3
18	то ни стало	4	3
19	в лучшем случае	3	3
20	в данном случае	2	3
21	и не может	5	3
22	к тому что	3	2
23	и тем самым	2	2
24	в большинстве случаев	5	2
25	того или иного	6	2
26	в настоящее время	11	2
27	сама по себе	2	2
28	друг от друга	2	2
