N	2gram	Nazirov_Vr	DiskursI
1	может быть	4	56
2	не только	9	49
3	и в	8	49
4	как и	6	47
5	тогда как	2	47
6	при этом	4	46
7	в том	3	44
8	и не	5	44
9	том что	3	40
10	в этом	8	38
11	в себе	2	37
12	но и	7	35
13	и т.п	2	32
14	но в	6	28
15	не может	2	27
16	еще не	2	23
17	отнюдь не	2	23
18	а также	2	20
19	все же	6	19
20	в нем	6	19
21	в своей	2	19
22	далеко не	3	18
23	то же	5	17
24	в мире	2	17
25	точки зрения	2	16
26	в его	3	15
27	то что	7	15
28	о том	4	15
29	это не	4	14
30	не менее	2	14
31	для него	2	13
32	как бы	4	13
33	в своем	3	12
34	и все	7	12
35	в своих	4	12
36	что в	7	11
37	с его	3	11
38	и как	3	11
39	столь же	2	11
40	не было	5	11
41	а в	2	10
42	а с	2	10
43	же время	5	10
44	в то	5	9
45	между тем	5	9
46	в них	2	9
47	уже не	2	9
48	человека в	3	8
49	и о	3	8
50	и даже	6	8
51	в котором	6	8
52	из них	2	8
53	он не	3	8
54	его в	3	7
55	о чем	2	7
56	и ее	2	7
57	но это	2	7
58	в этой	2	7
59	к этому	3	7
60	в русской	3	7
61	и его	3	7
62	таким образом	2	7
63	никогда не	2	6
64	отношение к	2	6
65	что он	4	6
66	в истории	4	6
67	и то	2	6
68	одна из	2	6
69	с точки	2	6
70	в период	2	6
71	к себе	2	5
72	в виду	4	5
73	о нем	6	5
74	к ним	2	5
75	несмотря на	4	5
76	русской литературе	3	5
77	в свою	2	5
78	в той	2	5
79	как раз	2	5
80	в ней	4	5
81	тем что	3	5
82	и это	2	4
83	его на	2	4
84	в году	18	4
85	и во	3	4
86	это в	2	4
87	я не	3	4
88	связи с	3	4
89	одним из	3	4
90	с ним	4	4
91	там же	2	3
92	в момент	2	3
93	но как	2	3
94	об этом	5	3
95	в романе	6	3
96	и он	2	3
97	в начале	6	3
98	на первый	2	3
99	отношения к	2	3
100	их в	2	3
101	уже в	4	3
102	место в	2	3
103	о себе	3	3
104	и что	8	3
105	вместе с	2	3
106	записки охотника	3	2
107	о романе	2	2
108	в чем	3	2
109	в россии	5	2
110	в него	2	2
111	так в	2	2
112	ответ на	2	2
113	же не	2	2
114	речь идет	3	2
115	все это	4	2
116	же как	2	2
117	в честь	2	2
118	нашего времени	2	2
119	его с	2	2
120	х годов	4	2
121	тем более	2	2
122	этот человек	2	2
123	могли быть	2	2
124	целый ряд	4	2
125	у него	5	2
126	человека с	2	2
127	на то	3	2
128	время и	2	2
129	и с	6	2
130	он сам	2	2
131	на основе	2	2
