N	2gram	Voloshinov	Vvedenie
1	в том	6	38
2	в этом	4	35
3	и в	12	35
4	том что	5	30
5	может быть	14	30
6	не только	4	26
7	таким образом	12	21
8	не может	16	19
9	то что	5	19
10	о том	3	16
11	только в	6	16
12	так как	9	15
13	и не	10	13
14	что в	2	13
15	в самом	4	13
16	в нем	6	13
17	того что	3	12
18	точки зрения	14	12
19	в его	2	12
20	как на	2	12
21	в данном	2	11
22	то же	5	11
23	по себе	3	11
24	ясно что	3	11
25	не в	4	10
26	прежде всего	8	10
27	но в	5	10
28	между тем	3	10
29	тем не	3	9
30	все же	4	9
31	но не	2	9
32	не менее	3	9
33	дело с	2	9
34	это не	2	8
35	с другой	4	8
36	и то	2	7
37	самом деле	3	7
38	сих пор	3	7
39	как и	5	7
40	как бы	13	7
41	но и	3	7
42	до сих	3	7
43	сказать что	7	6
44	его в	4	6
45	хотя бы	5	6
46	в какой	2	6
47	уже не	4	6
48	могут быть	2	6
49	в то	2	6
50	и что	2	6
51	и его	13	6
52	все это	3	6
53	вместе с	2	6
54	данном случае	2	5
55	независимо от	2	5
56	дело в	4	5
57	в виду	5	5
58	с этой	2	5
59	что не	4	5
60	как уже	2	5
61	как это	2	5
62	не есть	2	5
63	другой стороны	2	5
64	в них	3	5
65	уже в	2	5
66	что и	2	5
67	а не	5	5
68	да и	3	4
69	мы имеем	2	4
70	одной стороны	2	4
71	и ее	3	4
72	по отношению	11	4
73	в особенности	2	4
74	еще не	3	4
75	отношению к	11	4
76	в чем	2	4
77	с одной	2	4
78	но все	2	4
79	и для	3	4
80	в котором	3	4
81	тогда когда	2	4
82	в себе	3	4
83	с точки	2	4
84	в своей	3	4
85	можно сказать	5	4
86	никогда не	5	3
87	до конца	2	3
88	в каком	3	3
89	в отношении	2	3
90	и вообще	3	3
91	в своем	2	3
92	так же	3	3
93	к этому	2	3
94	от того	4	3
95	отношение к	4	3
96	с чисто	2	3
97	и здесь	2	3
98	если бы	9	3
99	зависимости от	4	3
100	так называемой	3	3
101	в этих	2	3
102	только на	3	3
103	истории литературы	2	3
104	как в	5	3
105	свое выражение	4	3
106	стороны и	2	3
107	к нему	4	3
108	и на	4	3
109	зависит от	2	3
110	в ней	6	3
111	и к	4	3
112	сливается с	2	3
113	между ними	2	3
114	но что	2	3
115	нуждается в	3	3
116	здесь не	3	3
117	при этом	6	3
118	в зависимости	2	3
119	и уже	3	3
120	все эти	3	3
121	же самое	2	3
122	литературы и	4	2
123	одно и	2	2
124	литературы с	2	2
125	ничего не	2	2
126	и потому	2	2
127	его к	2	2
128	все время	6	2
129	еще раз	2	2
130	этой точки	3	2
131	в форме	2	2
132	и те	2	2
133	этой стороны	2	2
134	и другие	2	2
135	в формах	2	2
136	так и	4	2
137	отношении к	3	2
138	и др	5	2
139	искусства и	2	2
140	и так	2	2
141	и с	3	2
142	произведения и	3	2
143	но это	2	2
144	выражение в	2	2
145	что мы	5	2
146	и совершенно	2	2
147	мы можем	2	2
148	жизни и	4	2
149	из него	2	2
150	мы не	3	2
151	как только	2	2
152	должна быть	5	2
153	если же	2	2
154	не к	3	2
155	этих двух	2	2
156	со словом	2	2
157	с помощью	6	2
158	быть и	3	2
159	но зато	2	2
