N	2gram	Potebnia_M	VLabPisa
1	таким образом	21	32
2	в этом	18	29
3	не только	32	26
4	и в	58	26
5	и т	10	25
6	может быть	47	23
7	хотя бы	4	20
8	и не	34	20
9	не может	30	17
10	т д	6	16
11	в том	38	15
12	в его	7	15
13	прежде всего	8	13
14	все это	3	13
15	что в	34	11
16	с другой	13	11
17	из них	2	11
18	то же	13	10
19	не могут	10	10
20	но и	26	10
21	о том	6	10
22	по этому	2	10
23	к этому	3	9
24	т п	6	9
25	для него	13	9
26	в своем	3	8
27	том что	21	8
28	не следует	6	8
29	на основании	3	8
30	могут быть	17	8
31	другой стороны	7	8
32	все эти	3	8
33	было бы	21	8
34	только в	36	8
35	вместе с	12	8
36	очевидно что	5	7
37	это не	10	7
38	из этих	8	7
39	во всех	12	7
40	по отношению	15	7
41	то что	24	7
42	отношению к	13	7
43	тому что	4	7
44	как и	16	7
45	их в	2	7
46	в нем	26	7
47	главным образом	4	7
48	не было	7	7
49	же в	7	7
50	а не	38	7
51	не в	23	6
52	в то	6	6
53	в себе	22	6
54	или менее	6	6
55	все же	11	6
56	том же	3	6
57	у него	3	6
58	так и	17	6
59	более или	6	6
60	один из	2	6
61	и его	7	6
62	между тем	7	6
63	никогда не	7	5
64	сказать что	5	5
65	в одном	13	5
66	в их	3	5
67	одним из	2	5
68	и при	6	5
69	к тому	5	5
70	как бы	12	5
71	в них	7	5
72	в целом	3	5
73	связи с	6	5
74	же время	4	5
75	и есть	4	5
76	по поводу	7	4
77	одна из	4	4
78	в сознании	8	4
79	в нашей	2	4
80	одном из	3	4
81	только что	4	4
82	в виду	2	4
83	что он	5	4
84	с тем	9	4
85	что все	4	4
86	говорит следующее	2	4
87	что для	5	4
88	должен быть	2	4
89	в единстве	3	4
90	их и	2	4
91	в самом	5	4
92	в ее	2	4
93	с ними	2	4
94	познания и	2	4
95	в своей	3	4
96	в связи	2	4
97	во время	5	4
98	них не	3	4
99	в этой	3	4
100	с его	3	4
101	и от	5	3
102	никак не	3	3
103	например в	4	3
104	при помощи	2	3
105	с этим	11	3
106	так же	7	3
107	но как	4	3
108	том как	6	3
109	например что	3	3
110	вслед за	2	3
111	всех этих	2	3
112	бы в	6	3
113	но даже	2	3
114	его в	3	3
115	и как	11	3
116	тому как	8	3
117	видеть в	3	3
118	если бы	23	3
119	подобно тому	7	3
120	как он	5	3
121	для того	8	3
